location,review,name,user_profile,userloc,rating
ladakh,"The camp is very well organized and all the facilities are provided inside the camp. Although the camp did not had fans, but the air circulation was good. Lights are available between 7-11 PM. The food was very tasty and the staff was also very helpful. There is an outdoor arrangement of bonfire on extra charges. Overall a very good experience!!",Silky Jain,/Profile/silkyjain14,,50
ladakh,Treated well and made our stay memorable. Food can be pre ordered n cooked with fresh garden vegetables. Tasted home made n healthy. Chef specially prepared local delicacy Thupka for us. Which was perfect for weather. Highly recommended if ur planning.,Navya S,/Profile/670navyas,,40
ladakh,"I stayed there on 30th aug.the place is beautiful and serene , surrounded by majestic mountains on all sides. The staff is pleasant ,very helpul. The food is tasty and basic hygienic. Tents are spacious , but the zips need a bit of repairing to make them smooth and air tight.overall a pleasant warm place.",Dr Suja M,/Profile/drsujam,,30
ladakh,"Hi,  We have visited this camp in the month of July 2018. The staff is very humble and cooperative. Loved the camp location ...they have good restaurant and camps are very clean from inside.... Amazing service provided by the staff. Sharing few pictures here... hygiene is very well maintained..",sonali s,/Profile/sonalis284,,50
ladakh,Excellent stay and superb service. Rooms were neat and clean  Food was good and  staff specially manager Mr Aju thakur is so friendly and helpful for everything and always ready for your service..great experience Would love to visit again,rozyranarr,/Profile/rozyranarr,"Manali, India",50
ladakh,Excellent place for families to stay. A bit off the route but worth the travel. This place is flanked with beautiful snow clad peaks. The staff was courteous and catered to all our needs.  Food was well cooked and served with pleasure. Hot water was timely served (an important amenity with cold weather). Recommended for families.,parulgagan,/Profile/parulgagan,"Kuala Lumpur, Malaysia",50
ladakh,I stayed couple of weeks back.. Excellent place to stay.. Most loved one.. Would live to visit again.. The staffs are exceedingly polite and warm.. The food variety and taste is excellent.. The place was difficult to find out but was really nicely located.. The camps are very neat and rich looking. Very nicely laid and neat.   Ranganathan from Chennai,Ranga RS,/Profile/ranga2209,,50
ladakh,"Excellent Tents ,Excellent food & Service , Friendly & Peaceful environment,  Sand dunes & camel safari arranged by Valley flower Camps in Sumur. Exotic flowers & vegetable garden in camp,  Place full of natural scene .",Tajinder Pal B,/Profile/TajinderPalB,"Haridwar, India",50
ladakh,"We reached Valley Flower Camp after a long and arduous drive from Leh. It is a delightful property with well appointed tents and very helpful staff.  The location is at Sumur, some distance away from Hundar, the main touristy area, which can be a blessing or a negative factor depending upon how you look at it. Hundar is crowded, busy and very touristy. Valley Flower Camp is far removed, quiet, with little streams gurgling pat your tent, and a central area set up with a tent for groups to sit together. The location is some 25-30 kms from Hundar.  The food is simple vegetarian, with the vegetables being grown in the kitchen garden of the complex. There is a small market nearby, should you need any provisions. There is a small area of sand dunes and some tired looking double humped",Motumotu,/Profile/Motumotu,"Gurugram (Gurgaon), India",40
ladakh,"We stayed in the camp for a night in June. Even though it was the peak season, we were the only visitor and had the entire camp to ourselves. Tent was clean and comfortable and staff was attentive to our needs. Food was good. No TV in tent.",Chandra77,/Profile/Chandra77,"Singapore, Singapore",50
ladakh,"The Valley Flower Camp hotel is a great camp style hotel at Sumoor. Though a bit distant from Nubra Valley sand dunes, it is very well maintained and managed.   The manager: Aju Thakur and his team took good care of us during our one night stay.   Though the bedroom and a small sitting area are in camp style (but very comfortable), the connected / ensuite bathroom is constructed with standard brick-mortar-tiles with hot/cold water mixers et al. The stay was very comfortable, sleep quality very secure and good.   We enjoyed dinner and breakfast at the hotel, the food being tasty and homely. Mr. Thakur and his team were very attentive and caring.   There is no WiFi connectivity and even mobile telephone connection signal is poor.  Nonetheless, the stay was very relaxing and",Prakash S,/Profile/Prakash_Subramaniam,"Pune, India",50
ladakh,"As am having breakfast at ths awesome place ,cudnt resist to give my review . Ths place has beautiful tent stay , food and hospitality is over the top ..would love to come back and suggest my friends to visit whenever they are around nubra valley . Thankyou all ",shital74,/Profile/shital74,"Mumbai, India",50
ladakh,We stayed for 1 night. Clean and comfortable tents and polite staff. One can see the Himalayan range all around since it is situated in the valley region. Leisurely ambience; no TV in rooms makes it even more peaceful.,ratnajayaram,/Profile/ratnajayaram,"Navi Mumbai, India",40
ladakh,All I can say about this place is equivalent to luxury camping... Tent is very well maintained with all the amenities. Beautifully Surrounded by snow clad mountains​. The view is breathtaking. The hospitality is really good. It serves pure vegetarian and Jain food. ,mansi s,/Profile/320mansis,,50
ladakh,"Very nice tents ,comfortable , food is all so very good. I stayed for 1 night and really enjoyed a lot. we were a group of 16 persons . The ambince is very nice and ethnic and gives you a really good feeling of staying in camp",Vikramkolkata,/Profile/Vikramkolkata,Kolkata,50
ladakh,Stayed here for 1 Night. Booked 3 rooms for 6 of us. Stayed here on 21Sep-22Sep. Nice luxurious tents with all the basic amenities provided. Nice and good food. excellent customer service. we reached there late afternoon around 5pm. We were damm hungry. Mr Sachin gave us tea coffee and bread jam butter toast and he did not even charge us for that. it was so kind of him. The place had badminton playing area and carrom playing area which we all loved. I would surely recommend everyone to stay here.,Siya Khan,/Profile/Sia_WK_haN,"Mumbai, India",50
ladakh,"After several hours travel from Leh to Nubra Valley, to stay at Valley Flower Camp is a reward.  Tent camp is much more comfortable than my expectation plus a very good service from the manager, he even walked us around the village to show how people live. Dinner and breakfast are brilliant.  Stunning view.",Asutthida F,/Profile/asutthidaf,,50
ladakh,"Recently I visited Nubra valley, and stayed at this hotel for a night. The dinner food was too good, specially try Tomato-Sev sabji. Moreover you will experience the awesome experience of great hospitality.",Mohit S,/Profile/MohitS1982,,50
ladakh,Visited on July 5 2016. Located in Sumoor village which is about half an hour's drive from Hunder village. The camps are clean and big enough with attached bath. Service is prompt. Would surely recommend this place. Food was great (only veg options). ,SheilaCeciliaR,/Profile/SheilaCeciliaR,"Bengaluru, India",50
ladakh,"Located at the center of a beautiful valley, the tents actually provide the ambience of a five star facility with beautiful and comfortable interiors with attached bathrooms.  Sachin & team are very courteous. The whole team takes care of each and every minor detail. From Food, to Bonfires, to local viewing , to packed lunches, Everything is perfect. A must stay if visiting Nubra. Attaching the picture of the perfect crew who served us.",Deepika_chawla_2003,/Profile/Deepika_chawla_2003,"Faridabad, India",50
ladakh,You can not expect better hospitality in such a remote and challenging conditions. Served good food from vegetables grown in there kitchen garden. But garden need better maintenance and some activities to spend some time.,Deepak Gopal,/Profile/deepakvbn,"Mathura, India",50
ladakh,"The tents are reasonably comfortable with attached bathrooms to spoil you. The service was slow and lethargic, and the bathrooms could have been cleaner. The food was fine but could have been less oily. Not a great place for a couple or a small family or anyone looking for quiet and peace.",PronoyRai,/Profile/PronoyRai,"Champaign-Urbana, Illinois",30
ladakh,Property: Good well maintained property.  About 20 tents are there.  Tents: Very good tents with modern bathroom attached. No issues with cold winds.  Food: Food is tasty with many varieties. Also one can order tea/snacks anytime.  Service: Very nice.  Area: Area is surrounded by mountains with lot of trees/flowers on the property which looks beautiful.  Outside view is not very great but overall good.  Electricity: Electricity is only available for fix time. They provide emergency lights/torch in each room for night.  Cons: Only thing is it is far from Nubra valley (around 30 km) so visiting that and coming back takes time. Also it doesn't have a very beautiful surrounding as compared to Nubra Valley.,rahulasati,/Profile/rahulasati,"Belfast, United Kingdom",40
ladakh,"We checked into this property on 16th May 2016 for one night. The property was very neat and clean with trees of apple and apricot. They also had a kitchen garden which are all organic. The property has got 17 well placed tents offering a decent privacy. There is an attached toilet and bathroom with hot water option. The tents are cozy and clean. Electricity is there only between 7pm and 11pm. The dinning room is big and has a common TV with TATA SKY connection. The day we checked in, we were the only occupants in the property. The chef actually made customized lunch, dinner and breakfast. The food was really good and the stay was very comfortable. The Sumoor sand dunes are just couple of kilometeres from the property where one could have a double hump camel ride. The entire",Cabganesh,/Profile/Cabganesh,"Mumbai, India",50
