location,review,name,user_profile,userloc,rating
lahul_spiti,We had a good stay here. The people were very welcoming and helpful. They did their best to keep us comfortable in extreme weather. Nice food and nice tents. Beds weren't that comfortable but you anywhich ways aren't feeling sleepy at this height.,Naimish P,/Profile/naimishp2017,Surat,30
lahul_spiti,"I had very few expectations since it was my first camp stay. However Vijay (Goldrop camp manager) left no stone unturned. All the staff is very hoapitable. They advised us on the do's and dont's(very important to get this right or your while trip is over before it starts). Food was decent knowing that the location and supplies are difficult to get.  The place overall along with the arrangements is good. Food-3.5/5 Stay-4/5 Location -4.5/5  Tip: 1.Do ask for hot water bags during night. It helps a lot. 2.stop at Sarchu. If you get acclimatised here,less to worry in Leh.",century001ars,/Profile/century001ars,"Pune, India",40
lahul_spiti,We were travelling from leh to manali and had to take a stop over for the night at the gold drop camp. We reached in the evening on 9th july and left after breakfast the next day. Have to say its one of the best camps in sarchu. Neat and clean tents with good bathrooms. The camp lies between all the mountains so it gets freezing cold in the nights. One should be equipped with thermals. Thanks to mr vijay for being very helpful to us as we were a group of 5 family members. He did everything to make our stay comfortable. Very helpful staff too. In such cold weather to get yummy hot vegetarian food for dinner and breakfast was just great.  Would definately recommend this camp to all. It was packed with people.  Keep it up👌👌👌👌 ,Renuaan,/Profile/renuaan,,40
lahul_spiti,"Nice place, well organized buffet dinner, breakfast not so good (less choice), very less light & no charging facility, don't expect anything fancy - this is a rather basic tented camp; sadly they don't look after the garbage well enough so you'll find garbage flying around. There are a lot of cute marmites playing outside in the greenery. Owner is very friendly.",Marc C,/Profile/MarcC757,Pune,30
lahul_spiti,"You need the right attitude when you stay at Goldrop camp.  The tents are comfortable, but basic.  They go to great lengths to make your stay comfortable in this inhospitable and desolate area.   Though sheets and blankets are provided, I was more comfortable using my own  sleep-sack and  disposable pillowcase.  The staff will bring a hot water bottle at night to put in your bed; and also deliver warm washing water in the morning.  These services are on request and there may be a slight  extra charge (not sure about this - our guide arranged it).  The buffet breakfast is good and they will do eggs to order.     It is interesting to talk to other people staying at the camp - where are they going, what have they seen,etc.  This valley has several camps. I did not notice any",Esther P,/Profile/EstherP1882,"Chicago, Illinois",40
lahul_spiti,"After a long journey with breathtaking views, I needed to enjoy and raise a toast to my friends and to mountains for such a wonderful trip. I finally reached to Goldrop camps Sarchu. Believe me the way tents look at the pictures, they are exactly the same, but one thing that cannot be seen in the pictures is the hospitality they offer.Hospitality is outstanding, the way they treat you is superb. Serving food at such heights and that to too tasty is just like a cherry on the cake on that trip. Tents are pretty spacious and hygienic. Toilets are pretty cleaned too.",bakul m,/Profile/travellersbite,,50
lahul_spiti,The location of Sarchu is such that it is in a valley and thus temperatures dip like anything in night but this is where Goldrop Camps saves you ... The tent quality is wonderful and they are comparatively spacious ... The hospitality is wonderful ...  The camp is right on the Leh Manali highway ... You can stroll across the road and check out the deep gorges created by the Tsarap River ... The online booking done was hassle free too ... Highly recommended ..,anish b,/Profile/AnishBhattacharya,"Pune, India",40
lahul_spiti,They provide all basic things needed in the no man's land. They take utmost care of tourists who fall sick due to AMS. Excellent service and very friendly attitude. Food provided is also very tasty. Tents are clean,Shweta D,/Profile/464shwetad,,40
lahul_spiti,"This is exactly located in Sarchu,  Tent are Clean,  but very Basic,  with attached Washroom.   The location is just fantabulous and mesmerising..   Located almost at the end of a small place.  While we saw almost all the tent at sarchu,  this one had the best location,  view and looks.   Food was good,  and had non vegetarian too.. Hot water was provided in the morning. They do check once in a while if you need any help..   Extra Blankets were also provided on request even though rooms had 2-3 blankets already.   Very Basic amenities,  but you cannot expect anything more at such a terrain ..   The staff were very helpful and polite.   Had no problems in check in.. Rrached around 5 PM in the evening,  and rooms were already alloted to us. Did not face any problems whatsoever.  ",Sushant Kashyap,/Profile/sushantkashyap31,"Bengaluru, India",50
lahul_spiti,"We'd recently been to Goldrop Adventure Camps in Sarchu when we were doing a roadtrip to Leh. Since Goldrop was our travel partner who arranged our accomodations right from Manali to Leh, staying at their own camp in Sarchu was but obvious.  We started our day from the town of Jispa. Sarchu is like 90 odd kms from there. so the driving part is very less and you will not get tired. Why I am mentioning this may sound a bit surprising but read on. Note - Jispa is the last town where you would get a phone signal so if you're doing it like us, please make sure you call your loved ones because you then wouldnt get any phone network till you reach Leh.  We stopped at multiple places and clicked a lot of photographs before reaching Goldrop Camps in Sarchu. Its a bloody vast land in",Abhi S,/Profile/791abhis,,50
