location,review,name,user_profile,userloc,rating
lahul_spiti,"We didn’t stay here but we enjoyed a lovely evening meal here and they were kind in letting us use the WiFi on a number of different occasions! Friendly, helpful and tasty food! There were 16 of us and they were very helpful indeed and patient!",Steve Hagget,/Profile/Osprey2012,"Llanelli, United Kingdom",50
lahul_spiti,"We availed a package tour of Lahul & Spiti Valley and Vivid Himalayas booked Snow Lion hotel for us. We stayed at this hotel for three nights. The hotel accommodation was nice but there was often electricity problems. The staff are helpful and gentle. On 18.6.2018, we  arrived late in hotel at 10.30 pm and the staffs were waiting for us. After getting fresh, quickly they served us delicious dinner with Jeera rice,roti,paneer,chicken curry,salad & sweet dish at dining hall. From next day we have found the buffet system at dining hall. Food quality was good and tasty. Last day we left the hotel early morning at 5 am. They packed us the breakfast. They served us good hospitality.",sanaser,/Profile/sanaser,Ludhiana,40
lahul_spiti,"Booked two rooms one in sakya abode and one in snow lion but as we were only 2 so we asked them if they can adjust the amount and can give one room to any other traveller, after our visit to Sakya abode manager told us we have a big and clean property snow lion so please go to that property . this property is pathetic as it was not clean and had spider webs ,no warm water. we informed the manager 3-4 times to take care of our 1 extra room and adjust the amount and everytime we got that it will be settled. after our 2nd day of stay we were told that we cannot adjust the amount as the thought that main guest has not arrived and not checked in but we checked in the very first day against the main guest. we have paid the amount as we dont wanted to ruin our holiday for such petty",Nitin B,/Profile/nitinbourai,noida,10
lahul_spiti,The rooms here are very spacious and the variety of food they offer is very good. The staff here are very good and the view we get from the balcony is also good. I will definitely recommend this hotel.,Shubham214,/Profile/Shubham214,"Mumbai, India",50
lahul_spiti,"We booked this hotel by walk-in on 11th June, 2018 for a stay on 12th June, 2018. We also have paid money in advance on 11th June to confirm the booking. We checked in on 12th June 2018 after lunch. After check in, all to our surprise the manager informed us that they wrongly booked the hotel for us and we have to vacate the hotel because they already had a group booking done. This happened with another group of foreigners. The hotel manager apologized for the date goof up and arranged for another hotel nearby. Though the hotel rooms are good but this experience has left a bad taste.",Partha G,/Profile/parthag2013,"New Delhi, Delhi, India",20
lahul_spiti,"Worst experience of our lives. The staff, including the manager there, were extremely rude and unhelpful. The linens were all stained and there was no upkeep of the property. Strangely, trip Advisor reviews had said that it was the best property in kaza!!!",Anuradha m,/Profile/366anuradham,,10
lahul_spiti,"Our stay at Snow lion hotel was very important, since we were staying in Kaza for 4 days and had to travel at various places from here. On arriving here after a 12 hour journey, I suffered massive altitude sickness and also motion sickness. I had lost lot of fluid due to vomiting. By 10 pm my condition had worsened. This is when the owner who stays next to the hotel asked his manager to take his personal car and take me to a government hospital. His timely intervention helped my to enjoy rest of my trip.  The rooms were spacious and clean. Housekeeping was timely. Food was also decent. Everything was nearby and reachable by a short walk. They also shared with us their homemade beverage and made our experience all the more delightful.  A tip: Please visit the terrace in the night",Ishaan Shah,/Profile/shahishaan,,40
lahul_spiti,The hotel was good. The rooms were clean. The room which we stayed had a balcony attached with a good view of the Monastery and the kaza village. There is a restaurant attached and they offered good food. You get a good view of the town and the towering mountains from the roof of the hotel.  The host of the hotel was very courteous and well mannered gentleman.  The toilets in the room were very clean and there was hot water available.  ,Kiran B,/Profile/KiranBee,"London, United Kingdom",30
lahul_spiti,This hotel had me pleasantly surprised.  The rooms were massive with awesome views of the monastery.  Service was good AND they had wifi!!! But the best was the food. Just incredible. We thoroughly gorged on dinner. And location was good too. ,shay4654,/Profile/shay4654,"Saskatoon, Canada",50
lahul_spiti,"We were a group of 5 friends, stayed in the hotel for 2 nights in Kaza. The hotel is situated in the main town with walking distance from the main market. Nice basic hotel with extremely clean bathrooms & the bedding (mattresses, quilts & blankets). We saw in the morning that once guests from a room check out, thorough cleaning of the room is done with the mattresses put down in the sun to disinfect them..and we were so impressed with the level of hygiene!!!! Rooms are big & spacious with extra sofa cum bed for additional person. Food is good too..speciality in north Indian. Fresh food is prepared & no food is cooked & stored in advance. Staff is very helpful & always greet u with a smile on their faces. No matter how many demands u make of tea, coffee, water, green tea etc..the",aartibal,/Profile/aartibal,"New Delhi, India",40
lahul_spiti,"stayed here for three nights during our spiti trip. location wise excellent, in the kaza town, so quite convenient for town or market excursions. loved the atmosphere of this place. mostly trekkers frequent the place, so the dinner time conversations gets so interesting. food was amazing with so many options of veg and non veg. wifi too is there, but highly unreliable.  rooms are clean. comfortable and washrooms are having hot water facility (depends on the electricity too if there). power cuts are common but they do have a backup generator.. overall great place to stay.. love to go back there",sananda ghoshal,/Profile/sans_gh,"Kolkata, India",50
lahul_spiti,"Brilliant place to stop off at the beginning and end of our trek in Spiti Valley. Both rooms we had were clean and spacious with balconies. Staff exceptionally friendly and although quiet the food in the restaurant is great. Also a nice quiet location compared to area by bus station. Owner also knows a lot about local area, would definitely recommend this place :)",dlmm_87,/Profile/dlmm_87,"London, United Kingdom",40
lahul_spiti,"Hotel is situated on the main road and you can have good view of the Monestory and its surrounding from the rooms. The rooms were quite spacious and large. Though the rooms were neat and clean I felt that few corners needed mire cleaning and also room, specially doors do need some good maintenance. No T.V. was there in the room but as such never felt the need of a t.v.   Staff was very much co-operative and food was quite good. On our request they made one night dinner with local food which tasted quite good. The staff was knowledgeable and you can get tips from them as to what to see etc.  Wifi was there but very very slow and the problem got compounded due to frequent power failures though the Hotel had Power back up.   Overall we all enjoyed staying there in the Hotel.",hdg63,/Profile/hdg63,"Mumbai, India",40
lahul_spiti,Stayed in this hotel several nights in different rooms which were all nice. Clean rooms with lovely views of local monastery. Food is good with wide variety and staff are friendly. Convenient location in town with cool rooftop to see views of the whole of Kaza.,Emma H,/Profile/emmahO6944PM,,40
lahul_spiti,"Our trip to spiti valley started of with a lot of rescheduling and hassle. When we arrived, the owner of the hotel, Tsering, instantly helped us with everything and we could profit from his huge knowledge of the valley. Bashir, the hotel manager took good care of us and we also had great food at the hotel.",3silvia,/Profile/3silvia,"Zurich, Switzerland",50
lahul_spiti,"I didn't searched for other hotels in Kaza as I have heard its name quite frequently in travelogues. As such, the hotel was quite basic but the rooms were really big specifically ours one as it was family room and only room having tv. There was major problem of electricity in Kaza and the generators also run infrequently so, we were not able to get hot water for bath here. Main market was walking distance away from the hotel. We didn't have food in the hotel so can't comment on it. Next time, probably I ll try some other hotel.",drdb03,/Profile/drdb03,"New Delhi, India",40
lahul_spiti,"This hotel is a blessing in a place like Kaza - which being a cold desert at a great altitude with less oxygen can be difficult to acclimatise to. My friend and I had taken the super deadly Manali to Kaza route which offers stunning views but is akin to driving on a river bed. So we reached the hotel exhausted, hungry and disoriented at 11.30 pm at which time the manager Mr. Basheer personally received us and ensured that we ate dinner and provided whatever we asked for. The next day unfortunately my friend was down with AMS and the owner of the hotel personally drove us to the hospital and made sure she was treated and well taken care of. We are ever so grateful to the hotel staff who took such good care of us. We are also indebted to the government hospital at Kaza and Dr.",ziaahmed21,/Profile/ziaahmed21,"Mumbai, India",40
lahul_spiti,"Rooms are not very comfortable, service is poor and food is horrid. Location leaves a lot to be desired. The only dish worth eating is perhaps Magggi, The bathroom had leaking taps which could not be repaired.. Certainly not value for money.",Changezz,/Profile/Changezz,"Gwalior, India",10
lahul_spiti,"We reached Kaza after a treacherous road trip from Manali so were super exhausted. The nice bed and the warm food were super helpful to relax. Love the dining place, its stock of board games and books. The staff was sweet too. Definitely recommended",Mansee,/Profile/Mansee,"Bengaluru, India",40
lahul_spiti,"We were booked in this hotel as Deyzor was unavailable, the staff was very nice and rooms were OK. As we are very particular about the hotels where we stay, this was not our kind of place as we found it very basic and pretty ordinary. If you are travelling on a budget, do stay in this place.",pratik_bhaumik,/Profile/pratik_bhaumik,"New Delhi, India",30
lahul_spiti,"This place is great. Friendly staff, lovely food. The way of serving food here was excellent. The manager even helped us with a heater. The restaurant has nice books and great collection of Kaza Fossils stones. Will definitely recommend.",nagi7,/Profile/nagi7,"Udupi, India",50
lahul_spiti,"Positives: 1. Beautiful location 2. Very well maintained (rooms and hotels are clean and tidy) 3. Helpful and courteous staff (Dinesh, Parmar and cooking staff) 4. Tasty homely food on request 5. Down to earth, knowledgeable and friendly owner (Tsering Bodh) 6. Unending hospitality  Good experiences: 1. We were a group of 5 and we had booked two rooms for 3 nights. On reaching Kaza, we were told very politely that we had rooms available, so we are providing you 3 rooms instead of 2 at the same price as earlier decided for all 3 nights! This is something which delights a customer instantly.  2. The staff helped us with warm water whenever there was no electricity.  Not-so-positives: 1. Frequent power cuts: Not their fault. They can't do anything about it. 2. No WiFi: Again WiFi",Rajmohan89,/Profile/Rajmohan89,"Mumbai, India",50
lahul_spiti,"interior is excellent. but very poor lighting. lighting is so low that it is impossible to read anything inside the room. only one plug point in a remote corner of the room. had severe problem recharging my devices. the food is great, staffs are courteous.",nomadicSuvro,/Profile/nomadicSuvro,"Kolkata, India",30
lahul_spiti,"This is definitely the best stay in Kaza. Cozy, clean, and comfortable rooms. The food is amazing and the staff are friendly and fun. Tsering is a lovely person and really ensured we were well looked after and comfortable.",arti_jalan,/Profile/arti_jalan,"Lille, France",40
lahul_spiti,This is one of the Best locations to stay in Kaza as it is very well maintained and managed by Mr. Tsering. His staff is also very helpful. We visited in April 2015 in extreme cold conditions but still we could feel the hospitality from the team. Food is nice. The views from the rooms are very beautiful. Highly recommended to stay here.,RasikMathur,/Profile/RasikMathur,"Faridabad, Haryana, India",40
lahul_spiti,"This is the best place to stay in Kaza. The owner, Tsering bhai, is an amazing and very helpful person. Rooms are clean and the food is fantastic. Remember all hotels in Kaza are closed from December to April. So if you are planning to travel in any of the off season months, do book in advance. Highly recommended.",Deb,/Profile/debadideb,"Indore, India",50
lahul_spiti,"The owner and staff is very nice. Got really nice jain meal. The only issue is power which was not there during our stay for which government is responsible not the owner. Requested owner to put generator. As they already in work of fire place in every room there is no need to suggest them for heater. They have inverter but power cut was for more then 48 hours. Friendly Atmosphere. Will luv to visit again. The owner is very kind, friendly, & helping nature person. He is Having excellent knowledge of Spiti  region. Considering remote places nice place to stay.   ",shahsamip,/Profile/shahsamip,,40
lahul_spiti,I stayed here with my husband and another couple friend in October 2014. We arranged the booking via phone call from Losar and Mr. Tsering was ever so accommodating. We arrived late at night and were taken care of straight away. The dinner that night was just amazing. We stayed here for 2 night. The rooms are clean and the bathroom spacious. The staff are also cordial and helpful. Mr. Tsering went out of his way to help us arrange for ILP's for my friends who were from UK. He went to the SDM office and made sure we got the Permits as we were on a tight schedule and couldn't afford to lose time. The restaurant cum lounge area of the hotel is quite homely. This is a basic hotel but a very clean one.,Disha T,/Profile/dishat2013,"Manali, India",50
lahul_spiti,A calm and serene location in the kaza. Warm and welcoming owners along with their family. They make you feel comfortable and guide you about the sights and best ways to move around. It's just like a home away from home !,jagsmodi9,/Profile/jagsmodi9,"Gandhinagar, India",40
lahul_spiti,"Considering the remoteness of the place, this is a good (and probably luxurious) place to stay. One might feel that it is little expensive going by the Spiti standards, but then it's the capital region. The interiors are very well done and neatly maintained.   Hot water might be a problem due to the power cuts. The staff can arrange for hot water on request. Motu bhai and Tsering bhai are helpful chaps.  They have a decent library. Visit their other property Sakya Abode for a bigger library and common room.",TheWallStands,/Profile/TheWallStands,"Ithaca, New York",40
lahul_spiti,"Our group of nine people stayed for 2 night in Snow Lion just before the Raid de Himalayas rally was to begin. Almost the whole of Kaza was booked by the rally team.   Snow Lion is a basic but comfortable place. Hot water can be an issue due to electricity problems but it is manageable if you're a bit flexible.   The staff was helpful and forthcoming in spite of the whole place being occupied by the rally crowd and all the ongoing action.   You can visit the Pin Valley from here. The drive to Ki Monastery is beautiful up the winding roads. At dusk, you may chance upon a mountain fox flaunting its bushy tail near the monastery, or rather a mountain fox may chance upon you.   A good base to explore the surrounding areas.",TheNightjar,/Profile/TheNightjar,"Mumbai, India",30
lahul_spiti,It was really nice being there in mid October except the bitter cold...Persons handling hotel are very nice and calm and I like to visit there again. Thanks to Deepak and mota vai for the cooperation.,ArpitaShyam,/Profile/ArpitaShyam,"Bengaluru, India",40
lahul_spiti,Himachal is known for his hospitality and this surely stands out. The owner and the people who work there are all so humble and simple. They ensured we had the most comfortable stay both in terms of warmth n home cooked food. Hotel is situated at the best location .. You have an open view to the Hikkim on one side n all of Kaza town on the other and from your balcony you can surely have a spiritual high as the window opens to the Monastery. We stayed there for a night as we were crossing to Lohsar n then Chandertal but a night stay was enough to experience the local culture. The owner had 2 more properties around the same place hence you have an option to choose n decide what ur preference is from modern place to a local place.,Parul S,/Profile/parulminhas,"New Delhi, India",40
lahul_spiti,"We stayed in Snow Lion for 3 days during our trip to Spiti Valley. Tseringji, owner of Snow Lion is a very helpful person. He has plenty of knowledge about Spiti Valley & Himachal and will help you find company if you are solo traveller and also arrange for treks. The rooms are nice with hot water bath facilities and a balcony over looking Kaza monastery. The hotel is also a fantastic ground for meeting travellers, trekkers, bikers who all seem to stop here for halt. Plenty of discussions over travel, life, etc are shared over breakfast / dinner in the common dining area. Kaysang, Parmar, Michel and Suraj will take care of all your needs out there. Michel is a good cook. He will personalize pancakes, tea, eggs, porridge as per your needs. The common area also has a library and",Aish-on-d-move,/Profile/Aish-on-d-move,Mumbai,40
lahul_spiti,"Thanks to Tsering for giving us the best room to stay for 2 days.  Thanks to Mota bhai for arranging lunch @ river bed !!!! awesome experience..  Very good food and service.. makes the trip memorable. Electricity is a problem in Kaza, but staff is ready to help you in every possible way",ShilpaMonika,/Profile/ShilpaMonika,"New Delhi, India",40
lahul_spiti,"If anybody is planning to visit Kaza-Spiti it has to be Snow lion property to put upto. We started from Kalpa for Kaza a bit late and due to some road repair work which were going on we reached Kaza @11pm and warm cosy rooms with excellent views were waiting for us not to mention the excellent dinner as well. The hospitality that we received there is simply out of the world . The owner of the property Mr Tsering really needs a special mention.  His vast knowledge about the Spiti region was of great great help to us . We were accompanied by our parents as well and all of us were extremely satisfied with assistance that we received frm Mr Tsering. They too have other properties as well like Sakya Abode, Sakya Homestay , one with Sakya Monastry & each one them is good option to",swatibg1,/Profile/swatibg1,delhi,50
