location,review,name,user_profile,userloc,rating
lahul_spiti,This zostel is the best place to stay in kaza. Amazing location with a volleyball court in front. The best part is you get to meet new people and listen to their adventures which makes you more thrilled and uplift your experience. ,Aakash K,/Profile/AakashK190,"New Delhi, India",40
lahul_spiti,It was an unplanned trip which turned out to be one of the best trips of my life. It was a life changing experience there as I met so many people there and spent great quality time there with my friends and we also explore the nearby local markets. Highly Recommended.,Rishav Sharma,/Profile/whorishavsharma,"Amritsar, India",50
lahul_spiti,"An amazing place in the midst in the mesmerizing Spiti Valley. Zostel has one thing which any other place lacks - a beautiful volleyball court. Everyone gathers in the court in evening for a game or 6!. I must say this was the highlight of the trip to play at 12,000ft. Zostel provides you with an amazing stay which uplifts your entire travel experience. Everyone must stay in Zostel and interact with all the awesome people who manage that place and, if you are not running short of oxygen, then share a beedi with them.  With respect to food order well in advance as the kitchen takes time to dish out your meal.",Mukul Sharma,/Profile/MukulS190,"Mumbai, India",50
lahul_spiti,"Stayed at Zostel  for 3 days after  Pin bhaba Pass trek . This place is awesome for solo travellers and Backpackers. Night sky Views from Zostel are mersmerizing, Comfortable dorms & Friendly and supportive Staff. One of my best trips and stay at zostel made it  more memorable",Smitha,/Profile/smithau2019,,50
lahul_spiti,"When you move towards Tabo from Kaza, on the right side you see the usual Zostel Logo in orange with a background of mountains and clear sky.  Zostel Kaza, The place where I met some of my friends for life.  I visited Spiti Valley In June’18, reaching Spiti via Manali is a task in itself, after a long 16 hr bus journey, I ended up In Kaza, situated within walking distance from city center (btw everything in Kaza is in walking distance) Zostel Kaza provides Rooms, Ridge Tents and Swiss tents for stay.  The Rooms are basically dormitories with 6 bed, 4 bed and 8 bed type accommodation whereas Ridge tents are for two. Living in tents in Spiti Valley is a Experience you will never forget, so I sugeest try to book a tent if you can.  Further, Zostel kaza has two common areas, one is",Traveller Baba (insta @pranjal.clicks),/Profile/pranjalclicks,"Gurugram (Gurgaon), India",50
lahul_spiti,"Believe me, when I say I didn't knew about this incredible chain of nest for traveling folks until I arrived at zostel kaza. This place is all, what you expect it to be. Situated right in the lap of rugged golden mountains with green feilds all around. Away from the hustle of the city yet connected to the highway I would for a million times, recommend this to anyone in love with Himalayas. Please go,stay and experience zostelling in kaza. The people in zostel will go out of their way to make your memories amazing. In zostel you will definitely make friends and return with lots of stories in your bag pack.",Chiranjeeta C,/Profile/Chiranjita_chatterji,"Gurugram (Gurgaon), India",50
lahul_spiti,"zostel is the life saver for me in that cold night in october 2016 i was travelling kaza for raid de himlaya car rally i was a photographer for polaris and due to fully occupancy in kaza by my luck one of freind give me his bed which was in ZOSTEL Kaza i was very happy that i am not going to sleep in my jeep tonigt , now when i saw my bed i was completely shocked in that situation when there were no place to spend night in kaza the bed and room was beautifully managed clean and thats what i need that day, i never forget that life saver maggi and a cozy bonfire and some friend i made there at that night must stay it is a nice place and near to market  and bus stop too. ",Jatin's W,/Profile/jatinsw,"Jaipur, India",50
lahul_spiti,"Zostel Kaza is a nice property,  apt for solo travellers and backpackers. Located walking distance from the market, the hostel is located right opposite the bus station.  It's a convenient location for those who are using public transport for commuting within Spiti.   The hostel is pretty helpful in case you're trying to figure your way or travel route around Spiti. ",mitrali b,/Profile/mitralib,"Mumbai, India",40
lahul_spiti,"We stayed at Zostel Spiti  , after a week long trek of Pin Bhaba Pass trek. This place is awesome with nice views all round. the rooms were clean and neat. Staff were courteous, friendly and and helpful in guiding us to various places around kaza. Thanks to Vishal who looks after the place.",Srinivas P,/Profile/47srinivasp,,40
lahul_spiti,"The best bits of my Spiti trip were spent in this hostel, sitting on the desk and looking at the view the hostel offers. Amazing location clubbed with great hospitality by Vishal and team made this a comfortable stay. Probably the best word to describe this place is warm and all credits to the amazing staff that works hard towards achieving that. Thanks a lot for the amazing experience. :)",Shalini T,/Profile/61shalinit,,50
lahul_spiti,Zostel spiti.. One of the highest hostel in Asia with the beautiful people around. Loved everything about zostel. A complete backpackers place to stay in spiti. Eagerly waiting for my next visit to spiti 🙂,himani k,/Profile/himanik71,,50
lahul_spiti,"Firstly, The people who cook food over there didn't make me feel that I am at 4000 meter above the sea level. Beautiful atomsphere and wonderful interior and exterior. I would have given 6 stars if possible. ",Naveen Gaur,/Profile/460naveeng,"Jodhpur, India",50
lahul_spiti,"This zostel gets filled up well in advance, but it is worth trying your luck to get an accommodation against cancellation.  You ask me why? Well for starters the hosts are fantastic. Yes they aren't staff, they are hosts, they make you feel home, you love sharing experiences with them, chilling out with them. Apart for water shortage, which is all over Kaza, this hostel gave me one of the best experiences",Karan Dadure,/Profile/karandadure,"Bengaluru, India",50
lahul_spiti,"I stayed at kaza zostel for 4 nights, one of my best experiences was eating the sizzler in a remote place as kaza ... Vishal bhai and Preet didi take immense care of you right from checking your oxygen levels to managing your travel to different places in and around Spiti .. cheers to the staff at kaza zostel to be helpful for every need of yours ... Planning my next trip soon .. Regards,  Om",omgandhi24,/Profile/omgandhi24,"Mumbai, India",50
lahul_spiti,Great place to stay for as long as anyone wants. Great people specially PK Mam and Vishal Bhai ji. Watching FIFA and talking to unknown people in Common room was the highlight.  Thankyou Zostel for great memeory.,Pankaj S,/Profile/PankajS2679,,50
lahul_spiti,They have quite a nice place there up in the mountains. I had a comfortable stay there. Staff n everyone are very friendly. Food is also good. And the best part they have open space for star gazing all night. Thanks for that.,Rohit A,/Profile/RohitA132,,40
lahul_spiti,"I had a 4 night stay at Kaza Zostel. I didn't know how to ride a bike, did not have a solid plan how to roam around in Spiti, so a little concerned however, as soon as i landed in Zostel, Vishal and Preet the caretakers of the place, were so warm and receptive that i knew i was in good hands. Vishal from day one had already started looking out for shared taxi options for me, Preet giving her insights about Kaza, i ended up having a wonderful time in Kaza, never feeling alone. Zostel as usual have the best facilities, World Cup was always on TV for us fanatics, the food extremely delicious and the wifi helped me contact my family! One of my best trips ever !",Arjun K,/Profile/arjunk123,,50
lahul_spiti,The only place in the whole spiti valley where you can find wifi. Really good food served with a welcoming gesture. Hostel Spiti is the perfect place to.stay for travellers. Manager is very friendly and helps in making necessary arrangements for the trip. You can feel me a phone there to make call to your home as there is no network on Spiti. Over all. Hostel Spiti is a 5 star.,Rohan V,/Profile/RohanV182,,50
lahul_spiti,"And then it was the   S-plendid  P-leasent  I-ndigenous T-ranquil I-nviting  Zostel at Kaza.  It was an amazing stay. Friendly and welcoming Zostelites, loved the hot beverages of it's kitchen. Mesmerizing views from the location and a 2nd home like feeling",Mansi C,/Profile/MansiC81,,50
lahul_spiti,"I stayed at Zostel Kaza for 5 nights and it was the best hostel experience I have ever received. A big and special thanks to the awesomest Zostel Spiti team - Vishal, Preet, Rohit and everybody else. You guys are the best. Thank you for ensuring that I find a bunk bed every night for a comfortable sleep. The food at Zostel Spiti is definitely one of the best you'll find in the area. The hospitality is remarkable and it is a great place to meet other travelers. I made some really good friends here with whom I covered a lot of places in and around Spiti.  With many games and eccentric interior, the common room was my favorite hangout place. And if you are a dog lover, then be ready for bountiful supply of love showered by their  beautiful pet dog named Shadow. I would personally",Esha P,/Profile/Esha0306,"New Delhi, India",50
lahul_spiti,"We came to stay in kaza after staying at multiple locations in spiti like dhankar, langza, komic etc where not all the homestays were very comfortable. It was going to be our last day in spiti so we really wanted it to be relaxing and comfortable. Zostel is perfect place to stay if u r looking for great hospitality, secluded location, ease and comfort.",neha j,/Profile/nehaj667,,50
lahul_spiti,"A group of us seven friends stayed at Zostel, Kaza for three nights. The day after we reached the place we decided to take a day off and just laze around, exploring the surroundings. One of the best decisions made. Tasty food is available on order from breakfast till 9.30 at night. Considering the altitude, and the desert land with erratic water supply, the rates are reasonable.  The location of the place is the best. The Spiti river is just behind the place, a nice walk in the arms of nature away. The establishment looks tiny against the mighty dust mountains rising behind and in front of it. Though it looks tiny, it is big hearted and warm enough to give you a good night's sleep with fluffy blankets and rajais. Each bed has a plug point and a reading lamp at the head.There's",DeepSeban,/Profile/DeepSeban,"New Delhi, India",50
lahul_spiti,This place is full of positive vibes. Must try the seabuck thorn juice. Food is really really good. It's near to the spiti river and the location is mesmerizing. Vishal makes your feel very homely....,Anuraag M,/Profile/AnuraagM11,,50
lahul_spiti,"Zostel kaza is a amazing place to stay, u can enjoy your time , delicious food , must try sea buckthorns juice. All the staff n vishal bhai is very helpful. U can enjoy yourself here. Tents are very good warm n cozy at night. Thank u vishal bhai n all the staff for making my stay enjoyable.",Arun B,/Profile/839arunb,,50
lahul_spiti,"Great location, Breathtaking views from the rooms, comfortable dorms, spectacular vibe and over that yummy food.  Zostel spiti has everything that a traveler can ask for. This was my first stay in a Zostel and we totally loved it. Nightsky view is mesmerizing from the rooftop tents. Also the Host (Vishal) is very warm and welcoming. He helped us plan the local itenary and also helped us sort our transportation.",iampratzz,/Profile/iampratzz,,50
