location,review,name,user_profile,userloc,rating
mandi,"I am deeply grateful to the CG Family for the wonderful days I spent at their home in Rewalsa. No doubt, the best choice I could have done! Thank you, Geeta and Mr Thakur for your beautiful hospitality, warmth and generosity. You made me feel at home and so well taken care. Thank you to your son, Narain, for all the messages ensuring that everything was going well and anything I needed was provided. I had a great time at your homestay! My room was lovely, full of light, very clean and comfortable. The living room was great to relax and eat the most delicious and nourishing homemade meals Geeta made for me every day. The organic gardens surrounding the house were beautiful and productive and the Roof Top was the perfect place for a morning yoga practice with a view to the",Eunice Neves,/Profile/241eunice_neves,,50
mandi,"We are so thankful for meeting this amazing and nice family!! they made us feel like home, their food is super fresh and tasty! They grow all the food in their garden, it was an amazing experience to be hosted by this family.",Shahar,/Profile/shachari2014,,50
mandi,"This is not a hotel. It is home.  Narian and his mother-in-law Geeta made sure we felt as  guests at their home. They shared their food with us, set with us and talked, gave us great tips about the area and helped us when we needed help. Overall, they made us feel welcomed, more than any other place we satyed in while in India.   You have the option to eat breakfast and dinner their. Simple, home made and delicious food.   Since the home is in the village -  and not on the lake near the concentration of all the guesthouses - it is a little bit difficlut to find. but it is worth the search.   Overall, highly recommended!",Michalm,/Profile/michalmitr,,50
mandi,"Make no mistake! We have stayed in around a hundred different places in India during our 10+ months travelling this glorious country and we both firmly believe that c g home stay is THE BEST. My wife and I were thoroughly impressed.  Every single detail was thought of and auntie geeta and husband were eager to make our stay as comfortable as possible. We felt at home from the moment that we arrived. It was like going to stay with our own family.  The food provided is not your usual dhaba style food - it is lovingly prepared home cooking style, and if you have the time, I'm sure that Geeta would love to show you how to cook. If only we could learn her recipe for her chutneys, we could make a fortune selling them in England because they are divine.  There is a beautiful roof top",Carl E,/Profile/melvinon6,"Sheffield, United Kingdom",50
mandi,"My son & I stayed with Geeta at her family home.  It was lovely to stay in a family home, with home cooking.  Very comfortable & well looked after.  Plus a great affordable price.  The location is excellent, being away from the noise of the main town, yet close enough to walk to the lake in 10 minutes.",Tim Blanc,/Profile/ZenCook,,50
mandi,"A great place to stay with the loveliest people looking after you. I would highly recommend homestay to anyone staying in Rewalsar. Views, food, help and company are all perfect. Keep it simple and authentic by staying here.",Kabir W,/Profile/KabirW,London,50
mandi,"It was a really lovely and a beautiful family, I can say have made with the family running the homestay, Narainji is one of the best people I have met in my life, had come with a broken, and went back with a healed heart, aunty fed some lovely food, spoke to them the whole night about life & Rewalsar, if any one is even close to Mandi should for sure go to C.G homestay. Amazing place.",Varun K,/Profile/VarunK505,,50
mandi,"We are an English couple travelling around India and happened to stumble upon Naraian's family home. We only booked one night but kept extending our stay due to the amazing atmosphere provided. The home cooked food was delicious, the bedrooms spacious and clean, a beautiful garden with their freshly grown fruits and veg. We felt totally welcomed into their home, but also had the downstairs area to ourselves, so felt able to spend time alone as well. We had not heard of the specific location of Rewalar before staying, but we are so glad that we discovered this little beauty. Next to rewalsar lake, the stunning monastery, spot some monkeys, and an easy bus ride away to the temple caves. Even without any of the above in the area we would have stayed just for the incredible company.",Mobile829168,/Profile/Mobile829168,,50
mandi,"I intended on staying one night as I passed through but ended up staying four it was that nice. The family made me feel right at home & we spent the evenings chatting whilst eating some of the great home cooked food. The guesthouse is in a great location, just a few minutes walk from the lake and everything you want in Rewalsar. Thoroughly recommend! ",Pedr C,/Profile/pedrc2018,,50
mandi,When I was on my solo trip Himachal Pradesh. I was returning back from Manali to my home town Dehradun I booked a room in C G Homestay I went there and the environment is so much pretty I feel like home Narayan Ji is very helpful and very respectful person he treated me so much with happiness and I feel very good there it feels like home and and their family is very also helpful and caring I feel so much love there Narayan Ji thank you for welcoming me and whenever I will go rewalser I will definitely meet you you are the very nice person I have meet. Thanks,Extraordinary818849,/Profile/Extraordinary818849,,50
