location,review,name,user_profile,userloc,rating
mandi,"rooms are good, view from the hotel is panoramic except local settlement around the hotel, food is very lavish and good, staff is very courteous and ready to please you as much as possible. conference facility at hotel is also good for small groups, kids area and games also suits of all ages. approx 16 km away from shimla, over all good experience",Gagan,/Profile/Shamra1780,"New Delhi, India",50
mandi,"We stayed at this property in March 2020 for 2 nights. The rooms are ok not fancy but very clean. They need renovation for rooms & bathrooms, too outdated. Take valley view rooms as they have excellent view of mountains & valley. The resort heating facility works for only 12 hours of the day only that’s from 6 P.M to 6 A.M. Even during that period the heating is not Upto the requirement. It was snowing whole day & when we were in our room it was chilling cold whole day. We were wearing 3 layers of clothing & sitting covered in blankets. When I complaint to the staff I was told that they don’t have proper heating facility for 24 hours. That’s a very big draw back. There staff is polite & courteous. Always ready to help you to make you comfortable. Shiv, Deepika, Devraj & others",ashish1905,/Profile/ashish1905,"Mumbai, India",40
mandi,Amzining holidays at club mahindra mashobra beautiful visit LOVE their hospitality enjoyed evening activities at Happyhub I would mention name my Host mr Dulls ram thanks to club mahindra I LOVE club mahindra thanks to club mahindra mr,Abhinav,/Profile/Abbinavsharma,,50
mandi,Was very beautiful visit. Love their hospitality. Warm and healthy food. Enjoyed a lot must visit for the snow and their beautiful nature. And their extra activities with full of enjoyment. I would mention Mr.Luk and Ms.Rajkumari for their great welcome.,Andrew Cintury,/Profile/Isaaccintury,,50
mandi,I stayed here for 3 days and the experience was very good the staff was curteous and helpful and gave us a warm experience. The hospitality of the staff in Club Mahindra Mashroba was up to Mark and really heart warming.,Ameet,/Profile/AmeetVichare,,50
mandi,"This is my first visit with club mahindra mashobra ...and it was superb experience and especial thanks to all the staff of this property...thanks to kuldeep, vijay security, lak and all....love to visit again",Pawan G,/Profile/691pawang,,50
mandi,"Fantastic holidays at club mahindra mashobra shimla enjoy evening activities and YOGA Session were available on a daily basis by Yoga Instructor Mr. Pawan Singh, who's teaching how to leave life healthy and detox ones body and powerful Meditation,Suryanamaskar and it's importance on human body.",SHANU SIDDIQUI,/Profile/Ndmshanuannu,,50
mandi,We have had a fantastic time here with friends! We stayed for 2 nights and the experience was mesmerizing as usual!! MsRajkumari was superb at hosting us as guests and providing valuable information. Also the events and dinner hosted by the property was very nice.,ashuapande,/Profile/ashuapande,"Pune, India",50
mandi,"It's an old heritage property so slightly deteriorated. However, the staff and hospitality was excellent as always. We also did a village tour organized by Club Mahindra which is worth trying. Having been to Naldehra, Kandaghat and Mashobra, the best property is Naldehra as its newly built and excellent location.",Bony Dedhia,/Profile/bonydedhia,"Ahmedabad, India",40
mandi,It was good experience with club Mahindra and Mahindra staff is very coprative food was delicious and its heritage properties view was excellent Rajkumari was very coprative with our village trip I will visit again,Pankaj,/Profile/Gurtupankaj,,50
mandi,Loved the ambience and the staff. Food was awesome. Enjoyed my stay a lot and would recommend highly. Anu mam helped us a lot during our stay here and also took us for village tour which was worth it.,Prateek Jain,/Profile/FellowTraveler721645,,50
mandi,"Amazing property...amazing staff..very helpful..amazing food..came here wid family for 1st time n enjoyed a lot..village tour was d best experience ..njoyed village food ..Al d members of clud Mahindra r very herpful. Rajkimari,Anu ,dularam, vipin sir were very helpful..hope we will here visit again",Manu,/Profile/Jainmanuarshi,,50
mandi,"Most amazing experience in club Mahindra.. Next time I will definitely visit in club Mahindra.. Property of the club Mahindra and the employee are amazing and very polite..Anu,Dula ram, rajkumari and Surbhi are very polite with there customers...❤️❤️❤️❤️",Sherry,/Profile/Jainsjerry,,50
mandi,It was a good experience we had with our family holiday on holi.the resort was very nice clean and peaceful.  The staff was also very generous the welcome drink was great.  Raj kumari in the staff on reception was very communicative   Overall very nice place and people.,Vikram,/Profile/Vikramrathor8,,50
mandi,"All the activities including karaoke guitar playing,games ,dance,antakshri and many more are wonderful and memorable..my kids enjoyed magic show and care of specially Lak,Anu,dulla....love to visit again",Dr Sudesh,/Profile/Mandigovindgarh,,50
mandi,"The hospitality was very gracious. Every staff was very supportive and available. We did a village tour with Mahindra which was a highlight of our trip. We went to see a local family where we had great local Himalayan food. Also went for adventure activities and hot spring bath. The hotel was great property but the only issue was its heating system. The rooms were cold but staff comforted us by giving area heaters and blankets.   Do visit this property and do contact Sangeeta, Lak and Sanjay for Mahindra’s hospitality.",parshwa d,/Profile/parshwad2,,50
