location,review,name,user_profile,userloc,rating
mandi,"This is a unique building. It located in the midst of magnificent surroundings in a less frequented area of the normal, international tourist trails. Decorations of walls and floors is achieved using natural colours of a variety of woods etc. - and the results are stunning. The staff were friendly and efficient while the owners took a personal interest in their paying guests and were happy to chat. Being in the location it is, it is not surprising that the vast majority of the guests are likely to be agile. It must be admitted that the top floor restaurant - only accessed via steps - did present its difficulties for a couple of less agile octogenarians. Despite this, the unique nature of this hotel makes it worth consideration as a destination for all those looking for something",barryswain75,/Profile/barryswain75,"Scarborough, United Kingdom",50
mandi,"Guys dont give a second thought to it... just book ur stay.. wonderful property, location, staff.... amazing food... very friendly people... and i hav even promised the owners that next time i m coming again and too very soon....",Viral shah,/Profile/vira1811,,50
mandi,It's good room in low price with free room service. They will also provide free breakfast.there room is so luxurious. Outsider is great to sit to enjoy. And there will ab also available wheel chair for lame to get perfectly to there room ,sandeep k,/Profile/sandeepk543,"Varanasi, India",40
mandi,Me and my wife stayed here at this property for 2 nights in Dec 14-16th 2019. Our experience was just great with excellent food and clean rooms. It was very cold but we were provided with hot water bags to get the bed warm. Its before Manali but not too far away. The view around the property was very good. We had snow clad mountains visible from our balcony.,yks21,/Profile/yks21,"Bengaluru, India",50
mandi,"It was a very good experience staying in this hotel. Everything is nice and clean, very quiet and well organized. The owner and team are friendly and professionals. It was a perfect hospitality! Thanks  Avis",Avis,/Profile/avishaked12,"Tel Aviv, Israel",50
mandi,"This resort was custom designed and built by the proud owner who has put a lot of thought into creating an environmentally friendly resort. Everything (including the chairs) is built by local artisans, using local materials. The resort overlooks an apple orchard and has hill views. The rooms are very comfortable and the surrounding gardens gives a serene setting for a peaceful stay. There is a jacuzzi on-site but be sure to book it ahead so that its ready for when you want to use it. The on-site restaurant provides delicious food for lunch and dinner. Breakfast can be eaten in the garden. Staff were friendly and welcoming. We came from an 8-days motorbike ride and finishing here was the perfect ending - all in all, this is a top-notch spot and highly recommended.",Jason K,/Profile/jasonkS6394YT,"New South Wales, Australia",50
mandi,"I recommend anyone traveling to Manali to please stay at this place because  1.The Location-Its situated away from the crowdy place in the heart of Nature giving you the secnic view of mountains  2.The People-All the staff here were best in class, We stayed here for 2nights and all the  members right from the owners to the cleaners were so well behaved and friendly and made us feel like Home  3.Amenites-It truly deserves a 5Star when it comes to the infrastructure of this resort  4.Food- We were on a 10 day trip to Himachal,but the food We had here was very tasty, healthy and We felt like Home it's food is one of it's kind. It's veg pulav and dry manchurian along with mancho soup is a must try,😋  ",Devendar Jain,/Profile/122devjain,"Bengaluru, India",50
mandi,"So my fiancé and I were looking for a quiet spot to spend some quality time and this place was much more than we ever imagined! The first thing that you notice is the property is immaculate! Also, it is only three years old and constructed of local wood and stone and gives a very warm feel! The entire staff is very professionalAnd sincerely wants you to relax and enjoy yourself.  Sandeep Took exceptional care of us and the restaurants are serving us the most delicious omelettes in the morning as well as chicken curry at night and chicken tikka masala.  Ajaj is the chef and prepares the most amazing food! We had just stayed at the wildflower hall and Shamlu and the food here is so much better! I am sorry to say that I do not remember the name of the bellman but he was very",markff2017,/Profile/markff2017,"Lincoln, Nebraska",50
mandi,The property is just peaceful and beautiful. The property is just well maintained.The owners of the property had taken great care to make our stay most comfortable. All the basic amenities are there. The food was excellent.,Aakshi B,/Profile/AakshiB1,,50
mandi,Their is nothing less to say about it... but firstly thanks to the owners for this wonderful selection of location...!!! and the staff... no words for them.. excellent hospitality on their foots all the time.. best experience in our entire Himachal trip... a thumbs up recommendation for this property... hope i can visit again...,Viral Shah,/Profile/Virasha,,50
mandi,"We stayed at ShivAdya from 11th to 14th May 2019, and had amazing experience. The resort is ideal place for spending time with family, away from day to day noisy world around us. I will mention few things which differentiate this place from other luxury resorts. 1. Location - it is situated at a point from where you can enjoy beautiful sights every time you step out of your rooms or from room windows, don't miss the view from restaurant window as it feels like a 'painting'. The place surrounded by snow covered mountains and apple tree farms.      2. Rooms   - This is one the impressive reason to be here. all rooms are constructed with wooden walls and flooring. Beautiful garden surrounding all villas, with lot of open space. Rooms are artistically designed with ample of space .",prashant u,/Profile/817prashantu,,50
mandi,"The hotel has really spacious rooms and a very very very amazing ambience. The food was great. They had a lot of Jain options. Also, they modify the food according to your needs. The cleaning staff was the best. They even folded our clothes that were lying around in the room and arranged them in the wardrobes. The owners specially are very responsive and interact well with the customers and make sure they aren’t facing any problems. Last but not the least, Boxy is one of the cutest dogs I’ve ever seen.",Jinisha,/Profile/jinij327,,50
mandi,The success of any place or business depends majorly on the people who run it...This is true in case of shivadya resort Manali! The owners Riteshji n Neelam ji are such humble people...they give personal attention to each and every guest..they actually go out of their way to make you comfortable. I am a travel consultant myself and have traveled a lot..in India and outside but never came across such down to earth and lovely people like them.  Their staff too make sure that you have a comfortable stay. About the resort...it’s not in Main town...a Botique property with lovely views...it’s for the people who appreciate nature n calmness...they have all the modern facilities...it’s actually a combination of both Himachal architecture with modern facilities. They have a well equipped,Anubhuti M,/Profile/anubhutim2016,"New Delhi, India",50
mandi,"My experience on ShivAdya  ShivAdya is an experience for those who love mountains, nature and green fields. Those who are not in hurry and wish to spend great time with family & friends.  ShivAdya is located in Kullu valley with Dhauladhar mountain range and Pir Panjal Mountains running parallel to each other  ShivAdya is a wonderful base for a traveller to explore the Himalayas and unwind in the pristine Valley of Gods. There is a lot that you can do in and around ShivAdya during your stay. ShivAdya is just 25 minutes drive away from the main town of Manali and 15 minutes from the historic Naggar. The Resort itself offers splendid views of mountains, valleys, forests, villages and apple orchards. The names of rooms at ShivAdya are a tribute to the rich heritage of Himachal",Imtiaz Ullah,/Profile/nomadlawyer,"New Delhi, India",50
mandi,My wife and I stayed at  Shivadya Resort & Spa in March 2019 and the place is truly amazing. It was little difficult to find as It is tucked away from the main road . If you want to relax and away from the hustle and bustle of Manali this is the place to stay.The resort is beautifully located facing the mountains. The property is built in the traditional Himachal style and looked beautiful. Rooms are big and airy and the hot water bottles in the bed at night was a nice touch in the cold climate The resort is well maintained and Mr.Ritesh Sood the owner of the property was very passionate about  the hotel and attention to detail was evident. The staff were amazing and couldn’t do enough to make your stay perfect. We were treated to wonderful breakfast in the garden facing the,Mohan,/Profile/673900,"Slough, United Kingdom",50
mandi,"Shivadya is a truly beautiful property built to the highest standards using local stone and wood to create buildings which are both good to look at and very comfortable, with all modern amenities. The property is set in well laid out gardens with exquisite roses amidst apple orchards with great views of the Pir Pandar and Dhauladar ranges of the Himalayas. The staff are extremely kind and courteous; nothing is too much trouble. The restaurant offers Indian, Chinese and international dishes and very good service. The owner (Ritesh) and his wife are very much in evidence with an eye to ensuring that each guest is given a very personalised experience. They offer all sorts of walks and excursion opportunities and breakfast in the sunny garden. This is exactly the place to go to",PaulJanet,/Profile/PaulJanet,"Sevenoaks, United Kingdom",50
mandi,"The hotel is highly recommended. It is beautifully built with lots of wood and it is eco-friendly. The area is beautiful with lots of interesting places to visit and, of course, it is India! The service at the hotel was excellent. The food was great. It is peaceful with great views.",markF2547OX,/Profile/markF2547OX,,50
mandi,"I visited Shivadya in April and fell in love with the place. It is away from the hustle and bustle of Manali. So, if you want to enjoy Manali but do not want to become part of the crowd, then Shivadya is the place for you. It will provide you the much-needed solitude. The resort is beautifully located facing mountains. Rooms are big and airy. The resort is well maintained and I believe it is because of the involvement of Mr.Ritesh Sood the owner of the property. Also, he is a wonderful Himachali chef. One can learn a lot of Himachali culture from the resort. If you are visiting the place, would recommend you to request the resort to arrange breakfast in the garden. The gardens are mountain facing, it is a memorable experience to have breakfast in outdoors",ramyam2000,/Profile/ramyam2000,,50
