location,review,name,user_profile,userloc,rating
mandi,"Very generous staff, cooperative and prompt in service.  Very good food and cocktail (need to add more flavours in cocktail menu) Very good location and view Fabulous open terrace to enjoy food & drink",Vimal,/Profile/Vkdhruve75,,50
mandi,"The resort is top rated for several reasons-  1- Amazing hospitality 2- Modern amenities- Centrally heated, 24*7 hot water etc 3- Food- Breakfast/dinner buffet are rich in variety and pleasure to taste buds 4- Location- The resort offers magnificent valley view, and most importantly it’s at optimal distance from key locations (mall road, bus stand etc.)...hardly 10 minutes drive  Jacuzzi with a valley view is a cherry on top.  We loved the stay, and would like to thank Rohit and his team for the wonderful Manali experience.  ",Mohit R,/Profile/mohitr439,India,50
mandi,"Had a great stay at the resort, view from the room balcony was so good. Staff hospitality was excellent. Specially Kashmir Thakur from the travel desk was so humble and familiar he provided proper information about sightseeing and arranged cab for travelling. Live performance was good as well.",Naval,/Profile/npushp,,50
mandi,Our stay at Snowflake Resort was wonderful and the resort was very peaceful. I contacted Mr. Paramjeet Verma and he quickly arranged us a room we wanted. We stayed in the Presidential Suite and it was amazing. It was everything as we expected to be and with a beautiful view. The food was also amazing many variety to choose from. Amazing hospitality and all staff members were always willing to help anytime. Mr. Kashmir Thakur was a great help. When we had any questions he would answer them right away. He would always talk to us in a friendly way. All staff were very kind and were doing their jobs great.  I would recommend this resort to anyone who would go to Manali.  - Special thanks from Gurpreet and Raman,Gur,/Profile/Gur94,,50
mandi,"Thank youuuuu, Snow flakes for amazing time in your beautiful hotel with such great views 😍😍😍😍👍🏼 So attentive guys working there , all questions was decided in time and quick!!!! Miss this time a lot 😇",Natalia Morozova,/Profile/NatalyMoroz555,,50
mandi,"This hotel is at a very good location with a good view of the ice line. We stayed there from 16th of Feb to 19th of Feb. We came in a group of 40 people and absolutely loved it.  Fine rooms, good food,  friendly staff especially the bartender who happened to hail from Punjab.  Monika was very humble and sweet to serve the people at the restaurant. Also, she had a very pretty face :p Can't wait to be back in Manali and the Snow flakes resort again. ❣️",Jaspreet Sachdev,/Profile/jaspreet2018,"Kolkata, India",50
mandi,Rooms were very neat. Front desk was very cordial. Their honeymoon spl arrangements were fabulous. The food was also great. Especially their travel desk Mr kashmir thakur helped a lot in travel arrangements. I would suggest this hotel to all who want to have a peaceful stay at Manali.,Kvls23,/Profile/Kvls23,,50
mandi,We had a pleasant stay at the hotel.The facilities that are required were optimum.Staff was kind and courteous.They were ready to help and keep us comforted.View from the rooms was amazing.A very safe property couples and families.,Pradhyumn J,/Profile/pradhyumnj,,50
mandi,The hotel was very nice comfortable and also the view was great..the staff were very co operative and helped us with everything..it will be very memorable for us..we enjoyed a lot..would love to visit again..☺️😍,Neetu,/Profile/Nehalneetu,,50
mandi,"It has been a wonderful stay ! Could not have imagined anything btr. Perfect view of the valley, beautiful rooms,impeccable service, awesome food and to top it all the hotel staff is very kind and generous. It does makes all d difference in the end. During my 3 night stay I was very well guided by d staff also for local attractions nd visits. Since it was an all girl trip for us,we really felt comfortable nd safe :) Thanks for providing for this experience especially Mr. Rohit.",Ayushi,/Profile/Ayushi_tamanna,,50
mandi,"We had 4 night stay to enjoy and were very satisfied with every aspect of the resort.The staff was very friendly, helpful and knowledgable regarding the places to visit in manali.The resort was very clean and the veiw from the room was awesome.Breakfast and dinner was fresh and substantial and also suited all tastes.There was a live singing in the resort bar and open terrace with bonfire which we really liked.My birthday was during my staying in the resort, it was surprised to me I recieved a special cake as a gift from the resort.Miss Priya Thakur from the front desk was well dressed and proffessional, she took care of all our needs and make us feel comfortable.  In the last, we must comment on your General Manager Mr.Rohit Raj Singh. In the beginning we had some problem with",amrita shumolay mallick,/Profile/amrita141830,,50
mandi,Maharaja suite is must recommended for honeymoon Medical emergency can be handle in better way Non veg food was greate. Staff was very co-operative  hotel with unparallel view of valley Winter is off season in manali but i strongly recommend this season because you will definitely experience snowfall during your stay. ,Aakash,/Profile/83aakash,"Navsari, India",40
mandi,"Amazing resort with super view, amazing staff and great service (also Great food quality).   Special Mention:   Ms Priya Thakur who was really helpful and so Very cooperative in sending some important documents(via courier) that I forgot at the resort. She acted prompty and these little things makes so much difference and tells what a great staff the resort has. Not to mention Mr Kashmir Thakur and other staff who guided us throughout our stay.   Will surely visit again. Thank You Snowflakes Resort.   Regards  Mohit",Mohit,/Profile/TKMJO,,50
mandi,"Great service, Fantastic food, best service.... i would to give special thanks to staff member truly friendly.... keep it up with best service and maintain the comfortableness for guests.  Thanks, I love snow flakes",victor s,/Profile/619victors,,50
mandi,"It was a nice stay, great food, humble staff, superfast service, and view its like heaven, everything is speechless, i personally recommend when u going to manali, stay at snow flakes resorts,totally worth of money, and also thanks a humble personality supep nature, very helpfull mr rohit raj singh (gm sir).",Holiday W,/Profile/holidayw2020,"Manali, India",50
mandi,"Awesome location, beautiful view from hotel. It was a wonderful experience in snowflake hotel, amazing staff very helpful and knowledgeable, delicious local food, good service given by the staff. specially thanks to Amit for his service and guidance about the near by tourist area. We will definitely plan to come back again only because of Amit and his team service and to experience again the beautiful Himachal (The Paradise).",Manish S,/Profile/manishs960,,50
mandi,Nice Property with Beautiful location . Very good Hospitality. Nice Food. Cleanliness is also good . One can find snow in the property itself. Fun games for kids. All staff is very Cooperative. GM is very informative.,sandeep m,/Profile/sandeepmahaj,"Pune, India",40
mandi,"We booked this hotel through MMT.. we stayed for 4 nights from 22-26th Dec 2019. It was quiet amazing experience. Hotel located away from the main market. So those who wish a quiet place it is the right one.  The view from the balcony facing snow capped mountains was superb. Camp fire on the open terrance with live music was very enjoyable.  Hospitality was excellent, especially those staff at the restaurant was very polite and treated us very well.  I recommend this hotel for all especially those wish enjoy the natural beauty and calmness.",Anvar U,/Profile/anvaru2016,,50
mandi,Snow flakes is best resort overall manali staff n location is great n food quality too delicious.rooms size n facilities very extra n good.my family n kids also fully satisfied for snowflakes resort n staff too mannered n friendly atmosphere.,Sandeeep,/Profile/128899,,50
mandi,Every room has balcony and location is amazing for the price. Restaurant people were so kind. It was good stay for my family. They helped lot to give suggestion to visit many places. We have both breakfast and dinner in the restaurant and menu was good on every day.,Ramesh R,/Profile/rameshrameshr,"Chennai, India",50
mandi,we have visited snowflakes resort  from 19 to 23 dec 2019. It was really a good experience being there. The staff was really good nd cooperative. Special thanks to mr paramjeet who has vry well coordinated with us nd suggested us beautiful places to visit manali. It was nice to meet with mr devraj who has offered deliciois food nd good services.,KULDEEP SINGH,/Profile/sunainakuldeep,,50
mandi,"We visit the property while travelling to Manali and Had dinner there... Mr Amit Chauhan FnB Manager is the person who attends us so well, we all admired his hospitality.. Staff were also nice, rooms are good, food quality was awesome. Overall experience was excellent. Will visit again for sure.",Connector558183,/Profile/Connector558183,,50
