location,review,name,user_profile,userloc,rating
mandi,a very peaceful and relaxing hotel.  built onto side of mountain  beautiful views of himalayas staff welcomed us with open arms on arrival.  they were all very friendly and accommodating rooms very big with a kingsize bed   has a heated swimming pool and a free yoga session in the morning,Explore567434,/Profile/Explore567434,,50
mandi,"No words to describe how wonderful our stay was at Taj Theog. From hospitality to cleanliness to food to location to service, everything was top notch!! Will surely visit again, very soon! Just one suggestion, please arrange some activities/games/entertainment in the property, that would be a cherry on the cake. 👏🏼  Once again, excellent staff - extremely helpful and courteous. To name a few- Mr. Bhandari, Mr. Jithesh and many others too. Thank you..",VG234,/Profile/vanshikavgvg,"Faridabad, India",40
mandi,"Beautiful Location,Serene and pristine atmosphere apt for the soul. I plan to visit Taj Theog again and again as would like the experience the Zen State of Being which is possible only at Taj Theog !!! Good quality sleep is possible only in such a peaceful place.Excellent food specially the Chicken biryani. Chef Santosh is awesome.  Rooms of gorgeous views of snow clad Himalayas from the balcony provided with the rooms.  Salini Ghosal is one of the best front office staff who makes sure that your every need is met. She is very prompt ,very polite,courteous and friendly. Because of such great staff you feel very comfortable and enjoy the stay.  Vandana at the front desk is very helpful and provides useful information being a resident of Himachal pradesh.  Mohini Kanwar from the",Mr & Mrs. Nath,/Profile/AnupamNath,,50
mandi,"Staying at the taj was the good experience the property is amazing the amenities are up to the mark, the staff there are very friendly and helpful and I would also like to   thank Vandana she made us feel really comfortable and home warming. The little surprise organised by her and the team made our day and our anniversary even a little more special. It was great staying there.",JAINKALPESH92,/Profile/JAINKALPESH92,"Mumbai, India",50
mandi,"Nestled amongst the snow clad mountains with mesmerising viewsof the mighty Himalayas, The Taj Theog offers a restful, re-newing and re-energising stay. The luxurious resort and spa has plenty to offer. The service is impeccable matching the renowned brand name of Taj Hotels.",sunnykullar1968,/Profile/sunnykullar1968,"Chandigarh, India",50
mandi,"We have been to this property in feb,2020. Brand new property. Everything is perfect here. Superb property with amazing people.  The best thing about this property is the staff they have. A loud shout to :  Restaurant chef - Mr.Bhandari and Nikhil Kids area - Miss Baby Reservation - Akansha  Front desk- Mr. Jitesh  A big thanks to all this people and many more. I don’t remember all the names. Best property in shimla .",Abhishek kothari,/Profile/shreerajendraimpex,"Mumbai, India",50
mandi,Kids activity room is very good....it's kids friendly..attendends are very good .  Especially Attendent BABY..she is very frank..take care of kids ND even toddlers very well..u can trust them .ND hall is full of activities even for adults ..,Rupali,/Profile/rupali1308,,40
mandi,Taj Theog Resort & Spa is a wonderful place when you need peace.. it’s far from mall road but the location is to die for.. you can see the Himalaya’s from the rooms..amazingly good food and great staff..   ,Nehal,/Profile/pnehal,"Mumbai, India",40
mandi,"Vandana at Front Office as well ad Baby at Kids Zone was very good,kind,amiable and helful staff of Taj Theog hotel in Shimla. I m pleased to mention their names who have made our 2 nights honeymoon trip Awesome.",Avneet Sahota,/Profile/Un7employment,,50
mandi,"My wife and I love luxury travels so this time in February 2020 we decided to go to a cold place and what better place then the summer capital of India, Shimla.  Now while selecting a hotel we had 2 options Oberoi Wildflower or Taj Theog. Given better price point we chose the latter and boy were we glad. We were in Taj Theog for 3 nights and 4 days. The property, rooms and amenities are outstanding but well that's a general feature in every 5 star however what stood out for us was the breath taking views from the property and the marvelous hospitality. Never have I ever seen such hospitality in our lives from our various travels. The staff is extremely homely and caring. Special shout out to Mr Abhishek Anand for be an amazing host to us all through.  Not to mention they have an",gaurav g,/Profile/174gauravg,,50
mandi,"Pros -  1.  It is a beautiful property which great view all around.  2. Staff is very hospitable and always smiling. They take care of all our requests.  3. The Hot water Jacuzzi and temp controlled swimming pool is very useful in the conditions.  4. The Nature trail organised as part of our package was a great experience. Our trail actually had snow all around in a very quaint place with no one around. Great experience!  Cons  1. The buffet breakfast and dinner was at best average, not of Taj quality. Variety in breakfast was missing compared to my earlier Taj experiences.   2. Staff in restaurant was clueless few times and could not manage the guests. As basic as Water on table was missing on all 4 meals and everytime had to ask! They even missed some orders requested.   ",nilesh k,/Profile/nileshk477,"Vagator, India",30
