location,review,name,user_profile,userloc,rating
pauri-garhwal,"Went with my family for a weekend getaway to this beautiful quaint hill station. By the time we planned of going almost all properties were sold out. Then a family friend told us about this Hotel wherein we got the booking. Situated some 5-6kms from the main Lansdowne, the hotel is situated in Jaiharikhal. The view from our room was stupendous! Good view of the snow capped peaks was so surreal.The day we reached, it was almost 7 in the evening and made no sense to move out after the tiring drive. We ordered food from their restaurant, amazingly tasty food they served. They have the provision of bonfire as well in the biting cold.  The next morning was sunny so we sun basked in the lawns enjoying the view again. All in all: Neat and clean rooms. Quick service Good and humble",SDuggal2018,/Profile/SDuggal2018,"New Delhi, India",40
pauri-garhwal,"Lansdowne is a small hill station with nothing much to see or do  except for the views. W visited Lansdowne last JUne and revisited in June this year . Both times  stayed in Hotel Forest Palace. The hotel is clean and u can have breathtaking views from ur balcony or hotel window. Mr. Ajay, the owner is very hospitable. Excellent place to stay and real value for money",Nivedita B,/Profile/270niveditab,"New Delhi, India",50
pauri-garhwal,"Location - Hotel is 5kms away from lansdowne but there is nothing in lansdowne to see. So, 5* to the hotel location. Breathtaking view from hotel.  Staff - Highly courteous staff. Very friendly and helping too. So, 5* to staff.  Nature walk - Nature walk from hotel into the woods was amazing beyond explanation. 5*  Room - Just ok. 3*  Food - Most Pathetic food for vegetarians. I never had like that in my whole life. -1*  Advice to management - Your hotel is one point below the perfect place. Your food need huge improvement. Rest, everything was amazing. Thanks for giving beautiful vacation.  Advice to people who gonna visit this place - Bring chips , biscuits or any ready to eat items with you in case you also dislike the food here.  Go ahead folks. You gonna have really",Bhawna B,/Profile/632bhawnab,,40
pauri-garhwal,"Though 5-6 kms away from Lansdowne but will recommend this place for all visiting Lansdowne.  You have amazing views of mountains (Snow cladded) from this place. They even allowed us to go to their terrace and it was fun sitting & viewing the place. Mr. Ajay was very helfpul & helped us with all our requirements.   Since we visited in the month of December, it was too cold & they helped us with dinner in our room itself. We had one of our best meals at this hotel. each night we ordered chicken & roti and it was so delicious (I can feel the taste as I a, writing). They also helped arrange one of our breakfast just outside our room in the garden. It was just spectacular.  Very clean room, very comfortable bed, amazing views & delicious food. Must stay if you are in Lansdowne. :)",r0msha,/Profile/r0msha,"Greater Noida, India",40
pauri-garhwal,"We decided to go lansdowne and when we searched for stay, Forest Palace popped up and with all the review I read in tripadvisor helped me to take my decision to stay there. Believe me best place to stay in Lansdowne. What we expect in a hotel, cleanliness, behavior, services and location. All of them are in true sense excellent.   Location: Around 5-6 KM away from Lansdowne, perfectly located so that you can see the perfect view of the horizons though as I decided to go in rainy season, weather was not that good so see the Himalayan range but the view from balcony is breathtaking. I decided to stay at Premium Rooms.   Services and Food: All the staffs are polite, they are eager to help you. Especially Sameer was outstanding. You will get fresh food. Very good service and the",DebajitBasu,/Profile/DebajitBasu,"New Delhi, India",50
pauri-garhwal,"Unarguably, the best option to stay in Lansdowne. Located only 5 km away from the town, it offers one of the best views. Choose rooms on the First Floor. The extra amount is totally worth it! We had all meals at the Hotel which was freshly prepared and delicious. The staff is helpful and courteous. I would highly recommend and would prefer no other stay option on my next visit as well.",nijora2811,/Profile/nijora2811,"Gurugram (Gurgaon), India",40
pauri-garhwal,"We reached Forest Palace on 2nd July,2016 and immediately liked it. It was very cozy and homely.... away from hustle bustle and sort of detached ,much to our liking. Mr Ajay, the owner.. Mr Anil, the manager were very warm and helpful. So were the staff.... Especially Raju ji and Samir. They were very helpful and would arrange pick up and drop vehicles too.We liked everything from the atmosphere, the location to the rooms.... Food was also very good....had paranthas for breakfast everyday... the view from the hotel is breathtaking.Overall would heartily recommend this place to everyone.",abhinandan2,/Profile/abhinandan2,"Jaipur, India",50
pauri-garhwal,Excellent hospitality and beautiful location.The view from the hotel room was beautiful.The food is freshly cooked on order. The quality and taste of the food is very good.On the whole excellent place to stay.,Nivedita B,/Profile/270niveditab,"New Delhi, India",50
pauri-garhwal,"Checked in on 18th june 2016. Property is away from hustle bustle of the main city. In the lap of nature you get to see the amazing sunrise and beautiful views.  Hotel staff and management people are outstanding in their work.  Special mentions for Mr.Anil :) great guy.   Do not forget to try out the dishes served here, PERFECT. An early morning walk is must.  You will surely be touched by the location and the property.   One key thing: People not having personal transport should book taxi from Lansdowne to Jaiharikhal(Doesn't cost much), do not opt for sharing transport as they drop you far from hotel and you end up walking through.  Special request: Please help the people in keeping the city clean as this place has not been so commercialized as Shimla or other destinations. ",Prashant1214,/Profile/Prashant1214,"New Delhi, India",50
pauri-garhwal,"Lansdowne is b'ful place..unspoiled..very natural...and if u really want to enjoy this beauty...then Hotel Forest Palace is the best hotel to do so...  Hotel is b'ful ..surrounded by scenic beauty..staff is supporting and very kind..  Me n my husband went there recently for weekend trip...Facilities are basic and good, rooms are clean,worth money..Food is really good..home made..if u love non veg, don't forget to order chicken curry..its tastes yummy..also try their masala tea..charges are pocket friendly..  All rooms are valley facing...the surrounding is so peacefull..and has village charm..beautiful garden..with b'ful flowers..  Special thanks to Mr Anil ( Reception Incharge) for his hospitality...  Must visit...",vision_1214,/Profile/vision_1214,"New Delhi, India",50
