location,review,name,user_profile,userloc,rating
pauri-garhwal,"This place is creepy and unsafe for kids and ladies. Extremely difficult and dangerous to reach. Care taker was on drugs. Some people complained about dirty washrooms and he refused to give them rooms, knowing that it's a 2 hour journey back to town through a dangerous and broken road.  Swimming pool was full of dirty water and mosquitoes, rooms were stinky and furniture had termites.  it was full of shady characters. As going back to Lansedowne was dangerous in the evening, we decided to leave the resort and spend the night in our car at a safe distance. Go only if you wish to hide from cops, do drugs and don't have problems living in a pigsty.   I wouldn't let my dog live in a place like this.",chris,/Profile/christravels12,,10
pauri-garhwal,"While return from Mana / Auli, we were at leisurely pace, and honestly wanted to stay one more night away from scorching heat waves of NCR. All known property options in main town were fully booked, called up this resort. Rooms were free, got the directions, its through the steep and narrow downhill road from market. the road further became narrower and final stretch of 2+ kms was really adventurous, new drivers would find difficult to navigate through first time.  Please stock yourselves with necessary items from market, you may not want to take ride back to market just for that later.  The resort is amidst dense pine forest. Rooms are ok, average cleanliness, linen requires better care and quality. Food was good. Rooms spacious. Service is good. A few rides and 2 swimming",kcpdelhi,/Profile/kcpdelhi,"New Delhi, India",30
pauri-garhwal,Worst experience in my lifetime. It was the biggest mistake to visit this place. The manager an all the staff was literallyy pushing the girls who were along with us. And they have no ethicks abusing and ready to fight woke us up from the sleep. Never ever visit this place it will be a lifesaver you.,Shashank,/Profile/Chauhan871,,10
pauri-garhwal,Bhool ker bhi is resort mein naa Jaye..  Sabse bekar Hai yeh.. Swimming pool mein kudda or Machar pade the or kitchen itna ghatiya.. It's really very terrible friends..  Waste of money and very risky way..,livestyle2002,/Profile/livestyle2002,"New Delhi, India",10
pauri-garhwal,"Went for a get-together with friends.the resort has a beautiful serene environment, right in the lap of nature. It was a great change after the hustle bustle of Mumbai, wish we could have stayed longer. The food was simply delicious everyone loved the bonfire arranged by the staff at night.",shiva g,/Profile/shivagautam,"Navi Mumbai, India",50
pauri-garhwal,We find the resort with great ecosystem and facilities for tourist. We spent quality time in very friendly and enterprising Management. The owners very humble and kind in their offerings. I will be visiting again very soon to enjoy quality time in bigger group.,Harish B,/Profile/HarishB409,,40
pauri-garhwal,Spent good quality time at the resort - relaxing with the family . Great natural surroundings and hospitality too was par excellence . I am already looking forward to visiting again this resort but this time with friends and catch up on old times . Raman,ramanBangalore,/Profile/ramanBangalore,bangalore,40
pauri-garhwal,"I was there at this resort with my wife and couple of friends . The Mother Nature , Scenic beauty , clean air , blue sky and those tall trees standing with pride as if they are guarding the Mother Nature from ill eyes. What a combination of purity and serenity . Owner were highly qualified sober gentlemen & Engineers from a reputed engineering college . We were surprised to see this mix of natural  beauty with  talent . Food was homely and as per the request . Yes we could not get Italian or Mexican delicacies but otherwise it was a trip of decade for us .",Alok M,/Profile/AlokM353,,50
pauri-garhwal,"On verbal recommendation I traveled this resort with family. Drove down from delhi to lansdowne. On the way to resort very thrilling road patch is there.....just to remind the gate way to JUNGLE. The resort is a divine beauty of nature. About 5 Acre of landscape full of pine trees.....cottages are neatly done and have all basic things. Food is freshly cooked and served with love and affection assuring the feeling of home stay. Tracking across jungle path is refreshing!Day temperature was around 26-27 but sitting under pine trees was amazing. Night temperature dipped to 9....resort arranged Bone fire, WOW! Swimming pool, cricket, badminton & board games keep you engrossed. Top of all a Devi Temple is also there on a small hill, within resort. A dream family holiday!",Sandeep R,/Profile/967sandeepr,,50
pauri-garhwal,A place to feel the adventures of mother nature. One can enjoy bird watching during their stay. I saw a barking dear in the evening near the resort. One cal also enjoy swimming in the pool. In my opinion it's a place one must visit.,Sanjay R,/Profile/946sanjayr,"Meerut District, India",50
pauri-garhwal,"Hi, Last month I visited Jungle Resort Lansdowne. Adventerous road of approx. 4 KMS to reach there, Should recommend a skilled driver. You can enjoy the beauty of forest n nature in this area. Their accomodation was nice. Swimming pool is available and also you can enjoy drink at the best point, which are multiple there. You can track n hike there. Only few things need to be corrected, like quality of bed clothes etc.",Gaurav Sharma,/Profile/safarnamastudio,"National Capital Territory of Delhi, India",30
pauri-garhwal,"Let us forget the dangerous approach road fir a while, let us also forget untidy and inconvenient rooms and the dirty kitchen, but what about the cheating and blackmail ing behavior of the manager and hostile nature if the staff?  They tend to think that once there you will not like to immediately take the risky return journey and therefore they can get away with their misconduct. Disappoint them . Even if you have somehow arrived at this place , the sooner you leave the better. ",ashutosh k,/Profile/ashutoshk355,,10
pauri-garhwal,"Bad experience !! Wasted my New Year. First they promise you alot of things over the phone and when you visit their, they don't care about it and they will only serve you as they want. Never ever book their resort/cottage.",Manish Y,/Profile/ManishY144,,10
pauri-garhwal,Mattresses were wet and having bugs. When we informed staff they said you can leave but we won't refund your charges. I made video and will upload soon. Worst staff with worst services. Photos are not real.,Jaspreet K,/Profile/JaspreetK140,,10
pauri-garhwal,"I visited Anand retreat in month of August,13,14 and 15th....Due to 15th August we didn't get booking in any place so somebody suggested us this hell. First it's too risky to reach there as there is no road on hill. At a time only one car can go from this way and speed should be not more than 10 otherwise you vehicle can go in deep valley. It's a budget hotel you can say one star not a resort.....it's better that you can do camping there. They have two big pools but not have adequate staffing to maintain. For kids they have some swings for granfather's age which is also not maintained by anyone. All are dirty and have rust.....No adventure games....wasting all property.... They have limited food items which are expensive and tasteless..... You don't have any option also as  you",Varun R,/Profile/842varunr,"New Delhi, India",20
pauri-garhwal,The resort is located inside the forest so true to its name. However the last 3kms approach road is very tricky and treacherous. The rooms are pretty shabby. The gyser was not working in ours as well as the television. I did not expect a lot however as per the night charges the rooms were pretty expensive. Swimming pool had insects in them and i did not think the water was swimmable but people were swimming in it. The breakfast was good delicious however tea and dinner were pretty ordinary. Bon fire was charged at 600inr!!!,Neeraj K,/Profile/Neeraj2108,"Gurugram (Gurgaon), India",10
pauri-garhwal,"place is good, away from the town,the route from the main market to the resort is around 4 kms .It is risky and terrible in rainy season to reach,as it is very steepy way.new drivers will get little problem..Food is average.cottages are average built in old english style,no hot water geysers available. Good thing about the place is it is occupied by lots of trees,scenic beauty,trekking place in between the jungle,swimming pool is nice.Good to go with group for bonfire and fun.Not suggested for family.",Backpack97,/Profile/Backpack97,,30
pauri-garhwal,"Well service and Good Food, Awesome Swimming Pool, You can Play outdoor game. nice hill state.Drive is difficult but boss kuch pana he to itna to banta he. Loved it .apart from this ders nothing much in lansdowne. Forsure m gonna visit it again.",Musharaff K,/Profile/MusharaffK,,40
pauri-garhwal,"We stayed in the jungle resort for 4 nights ie from 6th June to 9th June. Resort is in the middle of pine forest, very peaceful place .It has 2 open swimming pool surrounded by the natural beauty. Staff was very cooperative and helpful. Road approaching to jungle resort bit scary and need skilled driver. But the place is very peaceful and relaxing. One can send hours in swimming pool admiring the natural beauty.They can also arrange for trekking if one desires. If one is lucky you can spot leopard as we were but take the expert staff member with you. Many people have said  many worse things about the resort but its not so bad. Do not compare it with five star hotels. Resort is surrounded by natural beauty, they have not disturb the nature. It's a good place to spend the time",Sudha K,/Profile/512sudhak,"New Delhi, India",40
pauri-garhwal,"To reach the Place is very Risky, Away from Town/main market. Once you land the place you feel trapped there. Food Quality worst & priced high also place being away from town you dont have any option to eat what is available, No hygine maintained, If you happen to enter the kitchen you will like to fast for the days to stay there.  Room very untidy, like dharmashala rooms, You can't ask anything/complaint to staff. The swinning pool shown in Pic is actually Jhod(place where cattles bathe & drink water. Horrible place to stay, The owners Roshan & Kuldeep have very rude behaviour, Corbet property is also belongs to the same group with same service level.",yogesh141,/Profile/yogesh141,"Gurugram (Gurgaon), India",10
pauri-garhwal,"Went there in May 2015 to explore lansdowne , was recommended by a friend who had stayed there. The property is huge and spacious unlike other hotels in Lansdowne. A offbeat track to reach there as well where the turns were tricky. The famous attraction of that tilted stone of Lansdowne is on its way only. The rooms are decent and big sized. It has all the parameters to become a wonderful property but it seems the owners are content with what all client base they getting easily. Not very impressively managed , swimming pool was dry. The food was decent and moderately priced. you can compare it with some kind of government rest house types.  Can do much better.",Ashwarya_1027,/Profile/Ashwarya_1027,"Noida, India",30
