location,review,name,user_profile,userloc,rating
pauri-garhwal,"To stay with peak and pine resort family is really a perfect experience. I spend my lovely moments with fresh breath, splendid weather and mountains. They arrange holi celebrations we enjoyed a lot. Every thing is excellent.room filled with cozy linen, excellent food, prompt service. Specially say thank to naina for each and everything. You are a jwell of resort. Thank you team. Best of luck",Manas,/Profile/B4027XCmanojk,,50
pauri-garhwal,"Truely amazing property with best hospitality. The food, ambience, hygiene, staff everything was up to the mark. The food was so delicious and fresh. The menu is nicely planned. The staff is so humbled and trained. Had a great time spent with family with awesome view of the valley from the room. Good hospitality and management with smiling faces all the time from all the employees.",Manoj Ahuja,/Profile/manoj25ahuja,,50
pauri-garhwal,This place does justice to its name. The moment one steps into the balcony all they can view is pine trees and peaks. This resort is fairly new. Few sections are still under construction. Even the room where we stayed had some electrical points which were incomplete. It is a decent place. We had a comfortable stay. The breakfast buffet was tasty and had quite a lot of options.  One thing I would like to highlight here is that the suite rooms are not valley facing. If you are looking for an exclusive valley facing room then suite room is not the one you should go for. ,Jaya Das,/Profile/JD2503,"Haryana, India",40
pauri-garhwal,The hotel is in excellent location with fantastic food. Staff is extremely curtious and helpful. Thoroughly enjoyed the stay. Extremely clean and within budget. Hotel offered complimentary milk for kids. It had a play zone also.,Amit,/Profile/Sanjubebo,"Greater Noida, India",50
pauri-garhwal,Me and my wife visited the hotel for the first time.hotel location was very beautiful as you can see the beautiful view of the mountains also the room was super beautiful..but if we talk about the hotel staff I have never seen so much helpful staff they everyone is so helpful they would make sure your stay will be memorable as it’s for us😊..manger of the hotel was very professional to handle all the situation properly..all the best peaks and pines resort 👍🏻,Aashish,/Profile/531aashishs,,50
pauri-garhwal,"Excellent services... delicious food and a good place to chill...Games, Bonfire and a lot more. We had a great time for birthday celebration of one of our friends and they helped us by fulfilling all our requirements. Fully satisfied...Must go",Ikaur102,/Profile/Ikaur102,,50
pauri-garhwal,Nice experience..Food was very delicious.Room was very big and clean.the view from balcony was beautiful.Staff was very cooperative and friendly specially ms.Naina Nagpal she is very kind and caring..Overall amazing trip.,Wanderer713631,/Profile/Wanderer713631,,50
pauri-garhwal,"New property hardly 6 months old.... Approx 5 kms before the landsdowne town. Room are good in sizes, neat and clean with good scenic beauty from room. Food is also and can be customised as per the requirement. Staff is extremely helpful and cooperative. Special mention of Ms. Naina, who go beyond her limits to make it one of our memorable stay in the property. Definately recommended to visitors. Even recommended to do a bonfire on roof top which the hotel arrange at extra cost but every single penny is worth spending on the property. One small indoor games area but no pool, kids activity area and fitness club but still one of the good properties to stay.",PHD1905,/Profile/PHD1905,"New Delhi, India",40
pauri-garhwal,"I have stayed Peaks and pines in Jan 2020 and i would say it is the best getaway property. Such a scenic view, nice and clean room, great service, it just made our visit more satisfying. The highlight is the view, which is so rejuvenating, so beautiful, one can't be able to take their eyes off. Food was good but lil expensive. We wana visit Lansdowne, do stay at this resort without a single thought.",Pranav Garg,/Profile/Pranavgarg0812,,50
pauri-garhwal,It was a wonderful stay. The rooms were so comfortable and cosy. The view was so beautuful. Very courteous staff. Each and every member of the team was so polite abd helpful. I guess the owner and his family are the motivating factors. Met them at the hotel on new years eve. They made it so special for all the guests. Never had such a wonderful celebration on the new years' eve. Excellent food. Excellent facilities. Home away from home. Must pay  a visit. Best wishes. The new years clendar they gave is beautiful and d chocolates are delicious. Best Wishes Sondhis.,Sapna S,/Profile/SapnaS73,,50
pauri-garhwal,"It's a long due review of Peaks n Pines.  Pros Excellent location to explore Landowne.  Nice, clean and comfortable rooms. Staff is warm and helpful.  Manager  is extremely helpful and open to new ideas to improve  hotel.  Nice collection of indoor games,  like snooker table and all.  Good food.   Cons Just one,  when we visited that place then they were developing their property with a banquet hall and swimming pool, so the view from the window had construction view also.   But,  all in all we had a wonderful  stay.",Anubhuti,/Profile/thegoldenfirefly,,40
pauri-garhwal,best place to visit in lansdowne with great surrounding  great location to hangout with friends and family and also have great food quality and services good collection of souvenirs and some Indoor games to have fun with,ashu,/Profile/ashu851,,50
pauri-garhwal,"Comfortable rooms to relax! The service is nice and warm. The location is fabulous. It is neat and clean and looks like a new property. The food available is tasty and good. The view from the Hotel was great too, the hotel is family and couple friendly.",Priyanka D,/Profile/Mobile735208,,50
pauri-garhwal,"Great ambience, Courteous Staff, Excellent Hospitality, Great Food, Nice Location.. Very helpful Manager Mr. Vinod Rawat Property is nicely maintained. All rooms are valley facing so view is beautiful from all rooms. It is located at a very peaceful place in nature's lap. Definitely staying in same place whenever going back.",gauravnaugain,/Profile/gauravnaugain,"Ghaziabad, India",50
