location,review,name,user_profile,userloc,rating
pauri-garhwal,"We really enjoyed our stay here. The location by the cool clear waters of the Ganges is stunning and you are never far from the sound of soothing, rushing water. Teaching here is excellent,the schedule is really packed and helps you to unwind from the pressures of everyday living.  We had a big room with hot showers but some of the older rooms had elephant bath only. Oddly we really enjoyed the elephant bath and didn't bother using the showers.They are building new accommodation at the moment which should be open soon and all new rooms will  have hot showers. We found the meditation and chanting hard at first but soon got used to it. and quickly learned to enjoy it. It is a quiet and secluded place and feels far from the from the hustle and bustle of nearby Rissikesh and has",yoga Sue,/Profile/swansue,,50
pauri-garhwal,"Phool Chatti is in a beautiful location and the wonderful staff and simple environment make for a peaceful retreat. The food is delicious and I found the program to be a perfect balance of yoga, meditation and some time to think.",CatRivett123,/Profile/CatRivett123,,50
pauri-garhwal,"Recently I celebrated my birthday week at Phool Chatti Ashram . It was beautiful and life changing experience. Each day was full of energy, yoga, learning, lectures, discussion, chanting, satvik food, meditation, nature walk and unconditional love. I felt my inner light glow stronger and brighter. I also felt I was able to see the light in others as well. This shifted the way I interacted with people. I found that I loved more and judged less. I let go of things that didn’t serve me. This transformation gave me an enormous amount of happiness and energy.  ",Pankti Shah,/Profile/CrazyWanderer19,"Vadodara, India",50
pauri-garhwal,My experience at this ashram was quite scary: the first day I found a half burned body whyle strolling along the river to the left side of the ashram. I was alone and shocked. The next day I found body remains in the river along the beach to the right side after you pass the woods...the ashram had send me there to go bathing....  Later I saw that there were all these (illegal) cremationsites and I heard from people there were tigers and leopards spotted around this area.  I was all alone walking around their meal and was astonished that the ashram had not warned me or anyone I spoke to at all.,Eline1234567,/Profile/Eline1234567,,10
pauri-garhwal,"I've had a very special experience at Phool Chatti. It wasn't just about the yoga and meditations, but about the ashram life as a whole. The location is absolutely stunning, the food is extremely fresh and delicious and I finished the course with lots of insights. (It wasn't easy but in a good way). I went in December and the weather was very cold, so bear that in mind... Great value for money, I highly recommend!",Uri Sade,/Profile/urisade123,,50
pauri-garhwal,"This was my 2nd visit to Phool Chatti, however this time I came alone (which I highly recommend if you want to get the most out of your spiritual experience). First of all, this Ashram is perfect for beginners who are embarking on their spiritual journey. There is a lot of meditation, mindful walks, chanting and yoga throughout each day, which starts from 5.30am - 9pm.  It is a packed schedule, however you are not forced to participate in absolutely everything if you are unable to. I certainly didnt feel any pressure to attend everything as there were times I felt compelled to spend some alone time by the Ganga and purge some unprocessed emotions that would inevitably surface through the meditations and silence. The location couldnt be so perfect and every day you have the",Imogen Wylie,/Profile/wylieimogen,"Abu Dhabi, United Arab Emirates",40
pauri-garhwal,"My boyfriend and I did the week long Ashram. It was our first proper experience of the 'less western' view of yoga - meditating, breathing and chanting etc. At first I wasnt sure it was for me, but as the week went on I really loved it. It is a very full on day with little free time! We went to all the classes and were glad as sometimes it was something different! We did 2 classes of 'typical' yoga each day (3 hours in total) which was great. However there was almost no individual guidance during the sessions (there were 50 people on our course). There was also very little space as we were sandwiched in so at times we were hitting in to each other. I thought the food was way better than expected, you were able to go up again and again as you like. The ginger tea and chai tea",Rhiannon S,/Profile/330rhiannons,,40
pauri-garhwal,My accommodation was terrible. I had rats in my bathroom every night and had to make sure the adjoining door was closed so I could sleep. The room had old newspapers to cover the shelves and block out the light from the windows. No carpet just a concrete floor and bare lights which would cut out from time to time. It felt like a prison cell. When you add the silence and lack of social interaction with other residents it amounts to an extremely challenging experience. Although the  basic premise of the retreat works in the sense that there are benefits to silence and mindfulness I felt the state of the room showed such a lack of care that any spiritual benefit was down to me rather that the organisation. I also had issues with the yoga tuition. There were over 50 in the class of,John Edinburgh,/Profile/edinburghetcher,"Edinburgh, United Kingdom",20
pauri-garhwal,"If you haven't been to an Ashram, or have no idea what to expect, here goes:  You start your day early with meditation, yoga, breakfast, Karma Yoga (a little work), activity, lunch, free time, discussion, yoga, dinner, kirtan, meditation.  Everything is set at the introduction level, so if you have no idea about asana, ashram life, devotion, meditation, then check it out.    The asana from Lalitaji is great! as in you feel great afterwards, and for an hour and a half twice a day its pretty nice.  The location is great too! It's right near the Ganga River and if you don't mind walking a little bit you can find a spot to dip into Goddess Ganga daily.  Food is good, but meager.  Small portions are offered and seconds served.    To be honest most portions seemed to be the sauce of",SpencerYah,/Profile/SpencerYah,"San Diego, California",40
pauri-garhwal,"Me and my friends have decided to stay in Phool Chatti for a 7 day yoga/meditation course and it was one of the best decisions I have ever made.  The ashram is located next to the river Ganga which you can hear all day all night. You enjoy the view of the mountains wherever you look. The rooms are very basic but let’s be honest it’s an ashram so I think that’s the whole point. Food is purely vegetarian and Indian but me as a non vegetarian and not a big fan of that cuisine I still enjoyed most of the meal, especially breakfast! There is a drinking water (hot and cold) available all day long. Part of the instructions that were sent to us was to bring some snacks in case you get hungry since there is a big break between lunch and dinner. That helped a lot!  The program is very",gabrielav330,/Profile/gabivav89,"Abu Dhabi, United Arab Emirates",50
pauri-garhwal,"Be prepared to experience a real ashram life. The yoga and meditation retreat is a yoga and meditation retreat and not a yoga asanas classes. You will have the real yoga experience on its full meaning. The food is wondwerful, the Ganga river just 50 m from them is wonderful and so do the forest around. The rooms are simple but comfortable - this is not a five star hotel. This is the place where you can truely connect to yourself - if you are really ready for that. Special thanks to lalita Ji.",Clever_Ricardo,/Profile/Clever_Ricardo,"São Carlos, São Paulo, Brazil",50
pauri-garhwal,"If you want a real ashram experience, with basic accommodations that will guarantee peace and serenity (if you come with an open mind and heart) than Phool Chatti Ashram is your destination!  This is NOT a western experience.  ""Yoga"" does not mean doing just stretching (although you'll get 3 hours of that a day).  You will learn the true Yoga lifestyle from meditation, cleansing, breathing, mantras, etc.  You'll take part in the nightly ceremonies.  You'll have meals overlooking the beautiful Himalayan foot hills and the Ganges river.  I enjoyed a week there in 2011, came back in 2017, and plan to return again in the upcoming years.  Again, NOT for somebody who needs 5* accommodations (there is no hot showers, just 'elephant baths'), so be aware of what you are getting into. ",Victoria M,/Profile/VictoriaM449,"Chicago, Illinois",50
pauri-garhwal,"I made a snap decision to visit India, 2 weeks before flying out of Australia. At that time I didn't even know what an Ashram was. After talking to a friend she asked me if I'd consider an Ashram?  Another spur of the moment decision was yes I would so after a bit of research I booked into Phool Chatti Ashram just outside of beautiful Rishikesh. This place was not only my accomodation and meals but so much more. Funny thing that whilst I was doing the program there I really just thought, well this is different, enjoyable but different. It wasn't until I returned to my normal life that I'd realised what a positive change had come over me. It's strange and I can't explain how, or a moment but something in me changed that makes my life so much more enjoyable and relaxing. I simply",adbro810,/Profile/adbro810,"Mullumbimby, Australia",50
