location,review,name,user_profile,userloc,rating
pauri-garhwal,Visited with family .has good ambience and location. The food was good too. They have a humble staff. Neat and clean rooms . A decent place to stay with family. Location is close to lansdowne. Must watch the sunrise from the location.,Mala Dabral,/Profile/Mala_dabra,,50
pauri-garhwal,"Hotel Snow Cliff Is A Very Beautifull Property With Sceinic Roof N Balcony Joined By The Delightfull Rooms N Delicious Food With All Neat N Cleanliness ,very Humble n cooperative staff n management ,been here 3 times with frds n family its 5kms before lansdowne . Highly Recommendable Hotel With Great Deals .",MandyBrd,/Profile/MandyBrd,"New Delhi, India",50
pauri-garhwal,"The location from the market is good and the mountain view from hotel is excellent.  The service can be greatly improved specially during dinner time.  The food quality also has scope of improvement. Some items were good,some excellent and some below average.",Arindam Sarkar,/Profile/Arindam30,"New Delhi, India",30
pauri-garhwal,"Hotel snow cliff is situated at gumkhal which is 12 km (30-40min) drive from lansdowne. If u are travelling from rishikesh route to lansdowne then it is best suited, otherwise if you are reaching there from najibabad and kotdwara route via lansdowne then it will add for extra 12 km driving to stay. All rooms are provided with spacious balconies from where the view of the place is amazing. You can also see a distant range of snow covered mountains, i think they were probably himalayas (not sure about this, and forget to confirm with the peoples nearby there). Stay here was pleasant, comfort beddings, but food and other facilities regarding intercomm and toiletries were average but the staff behavior was very good which could make up for these. Staff people were very polite every",vivek p,/Profile/vivekp1117,"Roorkee, India",30
pauri-garhwal,"Very bad rooms Dirty & torn & yellow bedsheets & pillow cover Dirty bathroom &, bugs all over the place Used wet & dirty & yellowish towels violent monkeys Curtains with stains & smelly & fungus is everywhere in curtain, smelly Pillow Balcony was full of dead bugs and bird poop one night staff was turned off the electricity of my room from outside & even locked the door from outside,whole night was scary. Why on hell would someone turn this piece of crap into a hotel - Never ever ever will go there or advise anyone to. Was quite disappointed! please remove all the hotel & room picture from every website because you know very well .......This is not real....  Mr. Manu ..I am not expecting this kind of service from you!!!!!! you and your staff wasted all my time & hard earned",Alka v,/Profile/67alkav,,10
pauri-garhwal,"My friend and I made the classic mistake of judging a book (read hotel here) by its cover. All the pictures were fantastic and we thought we were in for a lovely stay in a quaint place. What we instead got was a room with sub-par cleanliness, no hot water, fairly lazy staff, and just about average food. The only thing that was enjoyable about the room was the balcony which overlooked the side of the mountain that was fairly uninhabited and therefore fairly quiet. Definitely not worth the 3,000 that we paid per night.",Anandita B,/Profile/878ananditab,"New Delhi, India",20
pauri-garhwal,"I went for this hole after reading review of travellers on Tripadvisor but nothing was true to experience there except views from room balcony. I stayed in this hotel 10th and 11th June, 2017 and paid price applicable for peak season. However, i got to stay in the room which is best at its untidiness. Roof tops are full of seepage marks and plasters are falling down. In washroom, no exhaust fan and ventilator for that has no windowpane. This opened the doors for insects, mosquitoes and flying ants during evening and nights when lights are on. Room service become reasonably ok when i scolded them for serving rice with hair and broken crockery. This hotel is  too far from main town of lansdowne so if you want to buy or have some food other than offered by this hotel u need to",csmukesh04,/Profile/csmukesh04,"New Delhi, India",10
pauri-garhwal,"Visited Lansdowne over the weekend in June 2017 (9th-11th). Had booked a family room, based on a recommendation by a neighbour who had already been here earlier. The only thing he mentioned about this hotel was, don't expect much out of this place, but you would fall in love with the view that the hotel provides.   So true were his words, that the moment we checked into the hotel and moved into the room booked for us (Room No 201, second floor), my jaws dropped at the sight of the mountain ranges that were clearly visible from the attached balcony.   This was exactly what we had planned these 2-days for... relax and enjoy the tranquility of the Himalayan ranges overseeing our room. The family room was quite spacious with two double beds. Although there were nothing very special",JangoBango,/Profile/JangoBango,"Udaipur, India",40
pauri-garhwal,"Liked only the view and the remote location.  I had a tough time fighting with spiders and horrible insects! This hotel is actually a spider house! Major issue with the cleanliness, bed linen in bad shape, stained and smelling. Same condition of towels. ",Chetali K,/Profile/ChetaliK1,,20
pauri-garhwal,"As per location little far from landsdowne but still so peaceful , calm and feels very close to nature. Staff is very nice but need more people to add for fast service. Only 8 rooms all with private balcony with awesome views. Food is ok ok. Nothing to explore nearby except the temle at hill around 5 km. small market near the property. They provide bicycle for ride nearby places , which is the good point. At last BONFIRE is awesome here but its not free , a minimal charge is there for it. Overall good experience !! Must visit place",Vicky,/Profile/vicbid23,"Dublin, Ireland",40
