location,review,name,user_profile,userloc,rating
pauri-garhwal,"Not value for money,small rooms,no professionalism at all,no food options in restaurant,serving dalia and poori bhaji only in breakfast buffet, restaurant area was full of flies and nobody cared about it.",Pooja B,/Profile/Storyteller586564,,10
pauri-garhwal, Beautiful place :) loved it I visited in june and this place is really beautiful...in love with the nature beauty in Pauri. The view from the resort is amazing at the sunset time. Pleasent weather like sweet winters :) amazing experience.,Mohit Sharma,/Profile/mohit7k,"Gurugram (Gurgaon), India",50
pauri-garhwal,"I came here accidentally and must say that this is the most beautiful accident of my travel life! 😛  The resort is big and at a beautiful location overlooking the valley. Perfect for a solo or family holiday.   I would put this at a ""3 star plus"" category because its very clean and spacious.  The staff is warm. Service is good if you are not in hurry.   Do meet Ramsingh,the cook. He is like the ""mom in the kitchen"", cooks absolutely delicious Indian food and puts his heart in it!   I came here to write so was looking for a quiet place. Unfortunately, I didn't take note of now being the  ""tourist season"". In the daytime when the tourists are out, its a bliss.  They have two categories of rooms- deluxe and cottage. Both have good views. They have a yoga/meditation space,",monamukherji,/Profile/monamukherji,"Mumbai, India",40
pauri-garhwal,"The resort is quaint, in a laid back, old world way. The staff are simple and happy, not just dutifully polite. The rooms we booked are named cottages; they are snug, even smallish, and the comforts and amenities are basic, but clean and comfortable. But each cottage looks out at a wide panorama of hills, which transform into a hemisphere of snowpeaks every early morning. This is a true highlight. Having spent a fortnight on the trot all over Garhwal hills in a number of hotels, I can say with authority that this view here is one of a kind. The food too, is simple, but delicious, and gives you the feeling of a village homestay.",Abhijit G,/Profile/543abhijitg,"Kolkata, India",40
pauri-garhwal,"This is a great reaort to stay at in Pauri. We went there in first week of March. This is a place to relax and unwind. Highly recommend the place for your stay in Pauri. Here's the breakdown :  Pros: * The rooms are spacious enough for medium amount of luggage.  * There are blowers (heater) in the room, so we were very comfortable during the stay.  * The staff (Sanjay and others) were quite helpful and made the stay comfortable.  * Food is fine and fresh. We usually ate in the room.  * Bathrooms are clean and spacious with geyser.   Suggestions: * Cell phone connectivity is weak and Wi-Fi is available usually in the reception which is quite a distance away from some of the rooms. It would be great to have signal boosters or Wi-Fi repeaters installed.  * It would be great to have",apoorv vij,/Profile/apoorvv964,,50
pauri-garhwal,"So, I planned to move out from Delhi for the new year and celebrate my new year in peace.  That’s when I reached pauri, Vresorts Mumukshu. One of the most beautiful place surrounded by beautiful view of Himalayas. My favourite place of the whole resort is the outdoor lawn area, where I celebrated my new year with a born fire and old rum.  Now let’s talk about the hospitality. Very very friendly house keeping staff and an amazing sheff. They have a common room, where you can catch up with all the news and tv shows, but trust me you won’t find a need once you see the surroundings.  I had a perfect start to 2018, thanks to Vresort mumukshu. I’m planning to do the same this time also. So get your bags packed and head out to this resort in pauri.",Discover11461579027,/Profile/Discover11461579027,,50
pauri-garhwal,"Its a beautiful place to relax..Stayed there with my friends. Enjoyed the peaceful place away from crowd. special mention to their chef who served us with such mouthwatering Indian cuisine. .we enjoyed bonefire and barbeque in the moonlight and cool breeze. The staff is so cooperative and makes sure to take every possible effort to make it a nice stay for you. You have some beautiful villages nearby like Khandusen, deval which you will love to see if you are a nature lover. All and all, a beautiful experience where I would love to go again. Strongly recommended ! Cheers",Resort55785744148,/Profile/Resort55785744148,,50
pauri-garhwal,"The rooms are small having the bed, two chairs and a wardobe . But the sit out and the garden offer magnificent view of the peaks of the Himalaya . We witnessed the sunrise and sunset from the resort.It had geysers in the bathroom and room heater for the room . The food was very tasteful ,though simple . Staff were friendly too . Overall we had an enjoyable stay . But the name V Resort was missing at the property .",982pradipb,/Profile/982pradipb,"Navi Mumbai, India",40
pauri-garhwal,A great resort with breathtaking view of the Himalayas. The staff is very helpful and the food they cook is also very delicious.The rooms are also good and the property is clean and hygenic. A must visit.,Guide05339354583,/Profile/Guide05339354583,,50
pauri-garhwal,I visited Mumukshu Resort with my family and group of friends in October. I must compliment the staff as they were very helpful and took care of all our needs. The service was amazing and the property is very beautiful. The location is bang on with an amazing view of the Himalayas. The resort is well maintained and is very  clean. Food is another thing that you will enjoy apart from the serenity as the food cooked by the staff is very delicious. If you love peace and nature and are looking for a nice weekend trip then V resorts Mumukshu is the place to visit.,NorthStar29211102598,/Profile/NorthStar29211102598,,50
