location,review,name,user_profile,userloc,rating
pithoragarh,"This is a much delayed post; however its better late than never! Travel Dates: 2nd March, 2019 – 8th March, 2019 Location: Himalayan Glamping Retreat, Munsiyari Weather Condition: Snowed on 28th Feb, resulting in blocking of roads to Munsiyari Distance to travel: ~600 KMs  Our second anniversary celebration time, we, in much need to get out of the city’s hustle bustle life, decided to drive down to Munsiyari in look out for serenity and peace; which was a destination in mind for a long time.  Being warned multiple times by the property owner (Rupesh), about the weather conditions, we still headed for the destination from Delhi.  To our great surprise, Rupesh was constantly in touch with us when we started the journey from Delhi till we reached there (almost a 2 days span).",dinosorabh,/Profile/dinosorabh,"New Delhi, India",50
pithoragarh,We stayed there for 4 nights and it was one of the best holidays we ever had. Food and service was amazing. Camps were amazing. Everything is beautiful about Himalayan Gampling. Kids enjoyed a lot playing around camp and fishes in backyard.,Vipin Bhardwaj,/Profile/Vipinbhardwaj,,50
pithoragarh,"We reached Himalayan Glamping exhausted after an 8 hour drive, and we were greeted with cups of Lemon ginger tea. Mr Rupesh , the host, offered my son hot chocolate. This was an apt beginning to a wonderful stay. What went well - The views - sitting in front of our tent, we could see the Panch Chuli in all it's glory. I would return to Himalayan Glamping for that view alone. The tent was well furnished - we had a few glitches with the water heater, but they were remedied soon. There was a cupboard, side tables, an extra bed for my son. The bathroom was well equipped.   The hospitality - Rupesh was so kind to my son - treated him like a big guy - my son was thrilled. Rupesh made sure we had food we liked. A word here about the cook who excelled in all cuisines - from Pahadi to",gypsybloood,/Profile/gypsybloood,"Mangalore, India",50
pithoragarh,"If you've been to Munsyari you would have heard the popular saying that there's the entire world, and then there's Munsyar. Himalayan Glamping offers luxury in a tent, murmuring streams nearby, birdsongs for all your four senses and meals to die for,for the last fifth. Don't die yet. Your host will be an IPL buff up to date on his Krzysztof Kieślowski and you'll look forward to the evenings.I hope you recognize the difference between class and commerce. There's commerce and then there's Himalayan Glamping. You'll want to cancel that return trip home.   Mandira Mitra, WBES Assistant Professor Bethune College Kolkata",McMandira,/Profile/McMandz,,50
pithoragarh,It was my first trip to munsiari. It’s always good to have a place with mesmerising view. All my family members enjoyed the stay. And the idea of tents at that place is making it more beautiful and comfortable. Talking about hospitality those guys are doing an amazing job. All the snacks and food served was delicious.  A must visit place who loves travelling and staying in the laps of nature. ✌🏻,Anshul Sharda,/Profile/Anshulsharda,"Haldwani, India",50
pithoragarh,"This was my second visit to Munsiyari and I always wanted to visit this place in winter. Himalayan Glamping was just the type of accomodation I was looking for in a remote place like this. A very serene location with glamourous camps with tasteful interiors. A lovely washroom which you least expect in a tent with running hot water.Given it was winter the entire day we had great views of the Panchchulli range. The dining area is the hub of the property. Rupesh is the lifeline for himalayan glamping he is extremely caring & knowledgable. He is a trained ornithologist & is extremely informative about the region. He took extreme care of my parents. The food served is amazing with hardly any item repeated. We got a taste of indian, thai, continental & also amazing kumaoni cuisine.",Rajdeep G,/Profile/Rajdeepg,"Chennai, India",50
pithoragarh,"At the instance of my son, Rajdeep, I spent three nights during X'mas in Munsiyari. We took Shatabdi Express from Delhi to Kathgodam on 23rd. December,2018. After reaching Kathgodam we took a car as fixed earlier and had lunch midway and reached Kausani in the afternoon. We spent two nights in Kausani. On 25th. after taking breakfast we proceeded towards Munsiyari via Bageswar, Kapkot and Tejam. It took us about 6 and half hours and we reached our destination, Himalayan Glamping at about 4pm. From Kausani at 4 to 5 degree Celsius we plunged into sub-zero temperature which is quite pinching. The owner of the resort, Mr. Roopesh was at the entry gate on the road to greet us. After entering the campus we were taken inside a covered area, which is actually the dining area, with a",ghosebhaskar,/Profile/ghosebhaskar,"Howrah, India",50
pithoragarh,"Munsiari is a dream location, it brings up close to the Panchcholi range. Almost touching distance. Glamping is the place to stay to enjoy this drab location in full.  Lovely - well appointed, well maintained and outstanding hospitality is the speciality of this place. The luxury tents are very comfortable and warm given that outside temperature was below zero... The bathrooms were sparkling. The food was excellent and whatever we wanted was served with a smile.  Rupesh Sawant manages this place with a smile and gentle touch. A birder by profession he was always ready for a very informed conversation on any topic and available for any request that we had.",Agneshwar,/Profile/Agneshwar,"Noida, India",50
pithoragarh,"If you get to bathe in hot water after 8 days of an intense trek, any place can win you over, really. But top that with beautifully constructed private tents, home cooked meals of your choice, a warm water bag waiting on you to crash on, some of the best Munsyari views, friendly and informative staff , board games to unwind, baby sleep - i could go on - this place is it! Peak season or not, it's away from the local noise, hence just the kind of indulgence for my dad and I after a trek in the Kumaon Himalayas (Milam glacier). Plus it wasn't a jump out of the local area's culture, it sticks true to giving the whole Munsyari experience. They aren't about the wastage or the shor-sharaba, either, believe in conservation and preservation of water and local habitats. We were so happy",Roving11057893269,/Profile/Roving11057893269,,50
pithoragarh,"Tucked away in a corner of Munsiyari, hidden from prying eyes, up a rough dirt track that seems to lead to nowhere is this absolutely stunning resort. No more than a handful of glamorized tents, very well constructed, spacious, beautifully furnished, exuding warmth and coziness seldom found in commercial lodgings especially in places so way out as this small town deep in the mountains. The en-suite bathrooms are a pleasure , spic and span with hot running water...... Each tent comes with a view of the mighty Himalayas. Sit on the open verandah and watch the Panchachuli range change colour through the day, and indulge is some marvellous bird watching,with flocks of birds fly around in splendour. The common area with its heating arrangement is another place to pleasurably relax. ",Pahari,/Profile/Pahari,Mumbai,50
