location,review,name,user_profile,userloc,rating
pithoragarh,"The first time I visited this property was in January 2010. During those days, this was the only notable property over there. And mind you the stay was something I cherish even today. The staff, quality of food and the great Himalayan views just blew me over. And then I stayed here again in November 2017 and that was my moment of Sach Ka Samna. it's a perfect example of what a disinterested staff can do to ruin a hotel. Infact our miseries started even before we set foot in the hotel. During that trip the staff KMVN Munsiyari staff went to great lengths to make out stay comfortable, the staff here started throwing tantrums even before we started moving to Chaukori to Munsiyari. Since we wanted to have chicken for lunch we asked the manager at KMVN Chaukori (even before starting",Pankaj Toppo,/Profile/Toppopankaj,"Gurugram (Gurgaon), India",30
pithoragarh,"1. This is an excellent view point and the rooms are sold with complimentary breakfast. 2. All rooms have views of the Himalayas either through the window or if you open the door. 3. Best time to view the snow capped peaks is from Nov till the end of December when they are visible throughout the day. 4. Sunrise and sunset are good with changes in colouration of the peaks. They are indeed a visual delight. 5. There is no taxi stand in Chaukori and hence if you do not have your cab, it has to be arranged from Berinag and you must inform the manager beforehand. 6. Rooms are good with basis facilities and western toilets with 24 hours hot and cold water. Room heaters are supplied with additional charges and they are essrntial during the winters. 7. There is a deer park about 2 km",Sanjib G,/Profile/644sanjibg,,50
pithoragarh,KMVN rest houses r good specious and well maintained.breakfast is complimentary. For food we have to order in advance so according they prepare fresh. Quantity and quality of food is good.overall stay was good. Sunrise view is excellent and can view from premises.,Nita J,/Profile/432nitaj,"Ahmedabad, India",50
pithoragarh,The best maintained KMVN property along with Mukteshwar I must say. We stayed at Royal cottage for 2 days. Superb ambiance superb area superb view. Visited Nanda Devi and Panchachulli from here. Foods as usual superb. A five star property,sarnab250,/Profile/arnsengupt,,50
pithoragarh,"I visited Chaukori on 08.10.2019. It is a really a good place to stay and enjoy the beauty of the Himalayan Range by sitting at the Balcony or from the mountain view rooms. If possible, make your itinerary to stay here for two days and during the full moon days. Try to book your room at the top floor of the main building because from the room itself the Himalayan Range is visible. The food quality served in this TRH is also very good. Enjoy your stay and the mesmerizing Himalayan Range.",Chandan P,/Profile/ChandanP204,"West Bengal, India",50
pithoragarh,"If one wants to stay at Chaukori, KMVN TRH is the best place! The rooms are quite good, especially the cottages are wonderful. There is a watch tower inside the premise and the views during both sunrise as well as sunset are mesmerizing! They have the CP plan and the quality of the food is up to the mark.",Debabrata Datta,/Profile/ddtechin,,50
pithoragarh,Its the best place to stay comfortably in this location. Rooms are Wodden & spacious too. Quite big complex including little playground. You can have an un-obstructed panorama view of few prominent Himalayan peaks. there's a view tower to see the view also. Food is good also.,imvipink,/Profile/imvipink,"Hyderabad, India",40
pithoragarh,"The deluxe rooms are good in size, well decorated. Amazing view from the balcony. Washroom modern with all amenities. Service good, food also good. Nice place to stay in Chaukori. Well maintained property at excellent location.",Nilanjana Ray,/Profile/NilanjanaR18,,50
pithoragarh,"We reached the KMVN Rest House, Chaukori on 28th of May,2019. We stayed here for two days. The location was excellent but we didn't get any view of the mountains due to the clouds and smog all around. Rooms are nice but the service and food quality is average. I have to mention the road trip from Nainital to Chaukori here. There were forest fires in the hills all around. The air was smoky. It seemed that the fires were not natural forest fires but done intentionally. The scenic views of the hills were hazy all around. This was not something we expected and will surely discourage tourists. However, the stay at the rest house was comfortable.",jmajumdar,/Profile/jmajumdar,"Kolkata, India",40
pithoragarh,"It is said that morning shows the day. Today it is 7th of May,2018. Yesterday we enjoyed the shower with hailstorm here. But the morning today greeted us with clear sky, sunny weather. Our next destination is Chaukori in Pithoragarh District,UK,India. & would stay in KMVN TRH Holiday Home in Chaukori for the night as we had our booking there. The journey is 98 km  via Birthi Fall, Tejam & Thal.  We finished out complimentary breakfast in the Restaurant of  KMVN  TRH , Munsyari in the morning & started for Chaukori . On the way we had a halt at KMVN TRH  near Birthi Fall as our driver was sick. He took some rest & we again continued our journey .It was noon when reached there. As our reservation was already booked, we first ordered lunch, simple rice, dal & a veg with some salad",kcdebnath,/Profile/kcdebnath,"Kolkata, India",30
