location,review,name,user_profile,userloc,rating
rudraprayag,On my way to Badrinath from Kdernath out off  9 times I stayed 3 times in GMVN Ukhimath Tourist Lodge. I enjoyed the staying at Ukhimath all times. This year also we spent a day in GMVN ukhimath which was unbelievable experience in  life. The beautiful picturesque Lodge and the heartiest service of the supporting staffs including reception and behavior of the Manager is a memorable experience in my life. Really I want to visit the place again  and again.,sibu1954,/Profile/sibu1954,,50
rudraprayag,Really liked this quaint little place nestled in the hills with a great view of the hills.Took a night halt on way to Badrinath. Loved their hospitality. Food is very tasty. Rates are reasonable. Recommended for those who love quiet surroundings.,Sarmishtha Datta,/Profile/SARMISHTHADATTA,,50
rudraprayag,It's the best place at Ukhimath to stay. We booked for 2 days and stayed there. The fooding and lodging is excellent. Manager and staffs are very helpful polite and cooperative. And the scenic beauty is also excellent from the garden at the front of the lodge. So the overall performance of the tourist lodge is outstanding.,hrithik,/Profile/hrithk,,50
rudraprayag,We had booked a chardham trip through GMVN for good 10 days... Accommodation and the locations at all the places were really really awesome 😍...The food provided by GMVn and service provided was commendable! Our stay at ukhimath was also very nice..the manager and the staff was co-operative..Thumbs up to the cleanliness and service they provided! If you are visiting uttarakhand..then GMVN is a good option to,Priyanka Ghatpande,/Profile/PriyankaG1211,,50
rudraprayag,We stayed at GMVN guest house at Ukhimath for a night in our way to Chopta. The guest house is small but beautiful located providing picturesque view. The staff is cordial and the Manager Mr.Raturi is very friendly and gentle. Hope to come again. Recommended.,Aditya,/Profile/AdityaB1988,"Dehradun, India",50
rudraprayag,"The stay at Ukhimath in GMVN Touriest guest house was really nice, especially the manager Mr. Arun is a very friendly, co-operative and humble in nature and allways on the toes to help visitors. Since the guest house is now becoming older needs renovation.",DR PANKAJ OAK,/Profile/droak99,,30
rudraprayag,Ukhimath guest house is a small guest house with less rooms but good one. It's a stoppage to rest if u want to visit Tunganath via Chopta. As no guest house of GMVN is available in Chopta so Ukhimath is an ideal one. Rooms r good. Staff very good nd cooperative. Recommended,Amit Agarwal,/Profile/AmitA2071,"Howrah, India",40
rudraprayag,"Stayed here for a day and had a lovely experience. Drove from Joshimath to Ukhimath via Chamoli, Gopeshwar, Chopta. Stopped over at Chopta for some breathtaking views, had lunch at a dhabha and drove here. This is one of the small properties of GMVN where there are only 3 Delux rooms and 8 dormitories. We had pre-booked a delux room so didn't have trouble getting in. We checked in and within sometime there was rain and hailstorm and it was dark all around, at 2PM. However by 3 the sky cleared out and we had a wonderful view of the mountains around Kedarnath. Beautiful view of the snow clad mountains in the background while down under the guest house there was River Mandakini flowing making everyone know of it's presence with the noise it was making while hitting the rocks with",rnraghavan,/Profile/rnraghavan,"Bengaluru, India",50
rudraprayag,"last year 2017, we stumbled into this place from Chopta in late evening during a hailstorm, and stayed in the garden cottage during the storm, so the memories had been some what different. we remembered distinctly the Aloo Parathas we had the next day before moving down to rudraprayag.  so this year we decided to spend some more time here, keeping it as our base for chopta - tungnath - chandrashila.  this place is small. 2 double bed rooms, a dorm, a garden cottage. so book early. both times we went unbooked and were lucky. one of the most helpful, humble and welcoming managers and staff of all GMVNs we stayed over last 2 years. surprisingly they remembered us from the storm last year.  excellent location overlooking the kedarnath valley, with guptkashi town on left and ukhimath",drmandark,/Profile/drmandark,"Navi Mumbai, India",50
rudraprayag,"I have seen people running towards hills from cities but find themselves surrounded by crowds and vehicles and journey remains incomplete....Ukhimath away from Rishikesh...in the lap of Himalayas is the perfect cool destination for nature lovers who like to stay in peace. The winter home of Kedarnath jee..this tiny helmet gives us tranquillity, sheer wind with greener aroma...GMVM Guesthouse is the sole place with genuine stay facility with serving of Desi cuisine...nature walk and drive to Chopra from here is really a fantastic sojourn..love to come hain and again..",Suraj S,/Profile/surajs64,"Patna, India",50
