location,review,name,user_profile,userloc,rating
rudraprayag,"This place has the most wonderful views, especially as the first morning light hits the peaks. The food was really good and the staff were incredibly helpful and kind. The one issue I had was the cold but that wasn't anyone's fault. The staff were very quick to provide us with extra blankets when needed.",Dominic S,/Profile/brambling_10,"Tel Aviv, Israel",40
rudraprayag,We stayed there for 3 nights and it was one of the best holidays we ever had. Food and service was amazing. Camps were amazing. Everything is beautiful about Himalayan Glamping. Kids enjoyed a lot playing around and do obstacle activities in camp. Specially thanks to Mr Sandeep.,Mukki,/Profile/Mukkizzz,,50
rudraprayag,"It's been 10 years I have been visiting this amazing place with my friends, It's always an amazing experience to be here. For me it's a home away from home. Especially the staff is really helpful and friendly. Talking about friends, if you a pet lover then this place is heaven for you because CANNY & TIGER will keep you occupied. And yes, despite of this adverse conditions food was AMMMMAAAAAZZZZING. See you soon . ",Jolly S,/Profile/jollys625,,50
rudraprayag,"Booking camps in magpie was one of the best services I have ever experienced . The staff is so kind , helpful , always ready to serve even at early hours of mornings or late at nights . The visit to chopta was a wonderful experience and add on was stay at Magpie. The view , facilities,food,staff, hygiene , sanitation everything was perfect..  Please do visit chopta and stay at MAGPIE!  MAGPIE :) KEEP UP THE GOOD WORK",Archie Verma,/Profile/A_Verma8,,50
rudraprayag,"I stayed here on 26&27th of December. The weather  was -5 degrees. I was in touch with Bharath for my booking, which he happily obliged to provide making changes. The people in d camp r very sweet including Sandeep. They r very helpful & friendly. They made hot coffee as we reached. The food was good. The surrounding of d camps was full of snow. The only thing is a d walk form the main road to the camps, which is about a 750mts. Also, there r no lights in the camp, they will provide u with small light  lamps, as it all powered by solar.",Indira,/Profile/Indu2712,"Bengaluru, India",40
rudraprayag,"We had planned a quick dash for birdwatching in Chopta. I was suggested Magpie camp as a good alternative to relatively more crowded places at Chopta itself. Located at Dugalbitta, about fifteen kilometers short of Chopta, this camp has a beautiful location. Tents placed in a meadow,without damaging the soil on which the tents are placed, one gets a great view of Chaukhamba and several other peaks. One can also see Tunganth temple with the help of binoculars from the camp. The staff, led by Sandeep, is very caring and efficient. The place has solar power and we could charge our phones and camera batteries in the evening. Hot water is available. Food is fairly good, infact much better than what I expected. From parking to the tents is a short 300 metre walk that itself is",Tapas M,/Profile/491tapasm,Delhi,50
rudraprayag,"Magpie camps is located in a beautiful meadow in the vicinity of Chopta and Tungnath. The place is ideal as a base for those wishing to visit Tungnath, bird around Chopta , Makku etc. It is a great place to soft introduce your kids to camping. The location is really beautiful, with lovely views. The tents are very large and decently furnished. A family of 2 adults and 2 kids can comfortably stay there. The tent is insulated against the cold, and can handle close to zero temperatures. The bathrooms are very well appointed for a camp and you get running hot water. The food is north indian home style and is extremely tasty. One of the days, we had a khichdi, which was one of the best meals of that trip for me. Piping hot spicy khichdi in the cold Himalayan night, perfect ! The",Dipayan_Chakraborty,/Profile/Dipayan_Chakraborty,"Bengaluru, India",50
rudraprayag,The best camp in chopta valley especially the food and the activities offered by the Magpie group. Courteous staff always ready to assist you. Safe and friendly environment for family.The only destination in Chopta which offers authenticity for everything.,Jony,/Profile/JONY2020AZ,,50
rudraprayag,One of the best Location in chopta with great camps for a family of 4. Love d hospitality . Would definitely try and come here again. Food was testy. Loved the morning sunrise at camp magpie in choptastays and mesmerizing Himalayan Views.   Recommending magpie.,Rajeshwari saraswat,/Profile/4rajeshwaris,"Gujarat, India",50
rudraprayag,Completely satisfied.. thanx for the magpie team... guides are too cooperative and the camp side location of chopta is awsm...  Devariya Taaal is the another one best location of magpie.. thanx for this tour,Alok Chaudhari,/Profile/alok1029,,50
rudraprayag,"Superb property with worth of every penny. Sumptuous ambience and buffet. Staff is always there for you all time.Good food, nice view, comfortable beds.  Our experience at this was excellent. Just try to spend quality time. Staff are the most adorable ones. Ask them anything, they will help you Specially recommended",Sanjay negi,/Profile/Sammy1483,,50
rudraprayag,I visited this camp during first week of May.This camp is located off the main road through a small wood trail. Once you reach there it's a pleasure to be there. Tents are well maintained and clean. Each tent has an attached washroom and bathing area. Hot water is available through solar heated panels. Food is simple yet tasty. But the most important thing is people.Staff is very helpful.That is what you require the most in such site...…..Fully recommended......visit and enjoy.,Saswata Paul,/Profile/saswatapaul,"Navi Mumbai, India",40
rudraprayag,It was really nice and memorable experience  1..Nice location 2...Good hospitality 3.....Delicious food 4.......Cooperative staff  Will come again and again for your hospitality   Thank you for everything  Warm regards Gaurav Nankani,Gaurav nankani,/Profile/Gauravnankani,,50
rudraprayag,"It was wonderful experience staying at this Camp Resorts. The best part of this Camp is its location. Camp Resort is just 200 or 300 mts away from the Parking area so; its is easy access from Road side. Resorts has surround by evergreen forest and away from crowded road, we enjoyed the jungle walk in the morning  . Food is awesome and view from camp  was ultimate.",Nilu M,/Profile/mamtac200019,,50
rudraprayag,"An overall wonderful and adventurous Trip to the Chopta to celebrate our Special ….. We stayed at the Magpie Jungle Camp Chopta for 2 Night and 1 Night at Magpie Eco Retreat while on Deoria tal Trek. It was a very good decision to stay with Magpie Group. Both the properties are on best locations with overall good facilities compare to any other property in the area. We particularly had a great sightseeing Tour in and around Chopta; all thanks to Bharat and Sandeep  of the Magpie Group. They were the perfect Hosts, Tour Guide who took us to many places around Chopta. They knew the best of Chopta.  A wonderful mini vacation at Chopta & Deoraital !!!!",Vi-jaya,/Profile/VI--JAYA0089,,50
rudraprayag,"Located in the Uttarakhand valley, this is the place you go to when you want to get away from your everyday life and cut off completely, and I really mean completely, because there is no connectivity with the outside world at all. None of our phones had signal, and we started enjoying this fact after a couple of days. Though the staff was very helpful and gave us their phones at the time of need.  The camp has some activities around, again the staff is very helpful and makes sure that you're kept entertained throughout the stay. During our stay, we went for 2 treks, and we were accompanied by one of the staff members for both our treks.  They have a small kitchen and a restaurant with homestyle food and also provide tea and snacks in the evening.  Overall, it was the perfect",damrooo,/Profile/damrooo,"New Delhi, India",50
rudraprayag,"A standalone camp, hidden amidst dense forestation, yet with all modern amenities..named Magpie Jungle Camp. Very cozy swiss tents with very nice attched bathrooms which even provide you hot water. Only the lighting is a bit low in the bathroom in the day time, so a solar lamp has to be carried along. The beds and bedding is very cozy and comfortable. Easily six people can be accomodated in a single camp.   The camps provide a breathtaking view of the Himalayan Chaukhamba peak in clear weather condition and the meadows provide a fantastic view which will keep the guests mesmerised. Your morning wake up call will be the thousands of bird chirpings and visiting monkeys.   The meal plan is very good and food quality good. The staff very well behaved and will take good care of your",Kakoli Bose Das,/Profile/kakoliD18,"Kolkata, India",40
rudraprayag,"Words fall short to thank the entire team of Magpie Forest Camp. While it took us few minutes to locate the place, but reaching the destination made us feel how very serene and away from crowd it is. The Himalayan range with snow capped  Chaukhamba and Kedar range standing tall in the backdrop of the camps/tents - make the place uniquely beautiful. The short walk through the woods to the camps - makes it even more secluded from the crowd. The hospitality and caring approach of the team who served us with all the requests we had - made the stay even more enjoyable. I first timer into trek - me and my 13 year old son - could reach the top of Chandrashila- because of the kind friendly help of Harish- a Magpie member. Sandip, Ankit gave the best service to us. I am thankful to",Monomita Roy,/Profile/Mono0807,"Mumbai, India",50
rudraprayag,"The camps are good,  location is awesome, food is delicious. The staff is highly cooperative.  Recommend everyone to stay.  Very different experience of staying in the jungle in the night. The bathroom is also an unique experience.",Shankey,/Profile/Shankey24,,50
rudraprayag,It’s a very good property. We all enjoyed our stay there. The quality of food is also very good. All the staffs are very nice and helpful. Its onyy  300 Mters away from Main parking and easy to walk. Views from property are amazing Himalaya seems just behind the property.   From the property we had a view of Chandrashila too.,dharamvir n,/Profile/GoPlaces366227,,50
rudraprayag,"Good location at chopta, we choose a three days package the camp provide us guide and other snow  equipment to enjoy snow trek, it's must visited camp.service was good,there is a drawback no heating system is there",Vivek Negi,/Profile/Viveknegi1982,"Pipalkoti, India",50
rudraprayag,"We stayed there for a couple of nights in April 2018, during our Tungnath and Chandrashila Trek. We were a group of five friends.  Experience:  This is just the right place if you want to experience the nature and stay in comfort as well.  The tents are good, with attached toilets. Electricity is precious there, provided from solar systems (lanterns etc). Food is okay, I wouldn't say much about it, as there was nothing new or great about it.  Beware that you will struggle connecting to phone signals, but that's okay, you aren't going there for managing your business or job, right?   The guide that they arranged for accompanying us to the trek was really good. Wanted to mention his name but do not remember now!   Its a meadow, and they have some activities that you can do in your",Desi Wanderers,/Profile/ManavBhardwaj,"New Delhi, India",40
rudraprayag,"Loved this campsite. Tents were well equipped and clean. Location is close to hiking areas, staff very friendly and with incredible views. My only suggestion for improvement would be an upgrade to the food hall to include solid doors and windows; as it can be very cold in October.",jojobob1,/Profile/jojobob1,"Kilmore, Australia",40
rudraprayag,"I alongwith my friends went on a camping and trekking trip to the Chopta valley in Oct 2018. We stayed at Magpie Jungle Camp which is easily the best place to stay in that area. The Himalayan views from the campsite are awesome, the tent accommodation is comfortable and the food is delicious. The staff were very polite and helpful. The trekking guides were also very knowledgable and helpful.Thanks to Bharat and his team for the great time we all had..Looking forward to visiting Chopta again and staying at Magpie Jungle Camp.",drhanspal,/Profile/drhanspal,,50
rudraprayag,"Great camps, nice ambience, good food, excellent safety, hospitality and service standards. A must visit for everyone seeking a classic adventure trip on long winding mountain roads, stay in midst of forests, constant view of the snow capped great middle Himalayan range and crispy cool mountain winds.",PKhannna,/Profile/PKhannna,"Rishikesh, India",50
rudraprayag,"We stayed in Magpiee camp Chopta and I am delighted about the service, hospitality and the best part is homely atmosphere. Property was awesome and people were very helpful. We stayed there for one day and weather was pleasant which compliments our stay and full of greenery.",Chitra M,/Profile/ChitraM99,,50
rudraprayag,"whenever you visit any place - cleanliness, environment,staff behaviour, food and safety matters and magpie jungle camp all of that. one of the best camp i have seen ever in my life. food quality is excellent.",Jay P,/Profile/JayP2972,,50
rudraprayag,"The camp is heavily posted with signs about ""Loud Noise being strictly prohibited.""  This is not the case.  The first night the speakers for the party blasted just outside our tents until 11:30p, as did the dancing.  On the third day another group came in and were yelling for over an hour when we arrived at 5:30p.  They set up their speakers and partied, screamed, swore and sounded inebriated until after 1:30a. The manager on duty was contacted all 3 times, and said there was nothing he could do to enforce the noise rules.  The food was marginal, not only in quality but quantity.  No eggs nor chicken were provided although we had been assured they would be.  Portions were extremely small, especially our bagged lunches.  We decided to leave early, as the rude group from night 3",Alaska T,/Profile/alaskat159,"Anchorage, Alaska",10
rudraprayag,"The time spent at Chopta, Magpie Camp was really memorable. Bharat looked after us very well. Great food, fabulous host and amazing surroundings. We spent two days here. We were also taken for the most beautiful trek to Devariya Taal and stayed there for the night. The host was so hospitable that is what this trip really remarkable. We made many memories alongside. The additional birding experience was also mesmerising. Thank you Magpie for everything.",Gee Kaul,/Profile/TheGappuccino,"Ghaziabad, India",50
rudraprayag,"My family (3 senior citizens aged 70 - 78, my wife, our 7 year old son and I) drove from Nainital to Chopta last week for 2 nights. My main goals for the trip were to photograph some interesting landscapes/timelapses and also see the elusive Himalayan Monal (though 3 of us are avid birdwatchers, we had not seen this magnificent bird in the wild ever!)  Initially I was in contact with some of the other Chopta camps and had almost booked ourselves in one of them, but then two of my father's acquaintances, who travel to Chopta often, recommended Magpie Jungle Camp - so we decided to stay there instead. I got in touch with Mr. Ashish Bhatt from Magpie on the phone and he was most helpful and prompt in responding to all my queries and confirmed our booking with zero hassles.   While",VishiSingh,/Profile/VishiSingh,"Bengaluru, India",40
rudraprayag,The area was maintained beautifuly. You will be fell in love when u see the area for the first time. There were only few options available for dinner but the food was awesome. The staff of the camp was helpfull and will do anything in there disposal to make your stay comfortable.  The tents are comfortable and neatly managed l. It will be must go place with family and friends,Sourabh N,/Profile/SourabhN48,,50
rudraprayag,"It has been a truly enthralling experience and Magpie resorts have a great  location (walkable distance of 300 mts from main road - they have porters who can help carry luggage) and is located 8km before Chopta, the tents are well made and very clean with natural pebble stone washrooms, being in a jungle the place has limited but sufficient  water and power supply . The staff at Magpie are extremely friendly/hospitable namely Sandeep, Harish, Amit & others too and we stayed for 4 nights and had a wonderful time.This is definitely the best place to stay in Chopta and I indeed had an amazing experience.   PS.  - traveller's looking at luxury living  shall look elsewhere as the place has a rustic  and naturally beautiful setup",saroj,/Profile/Sarojbhuvan,"Pune, India",50
rudraprayag,Stayed with Magpie for couple of days for an out of the world experience geat hospitality wonderful sites and adventure activities coupled with fantastic food  The tracking instructor took us derp inside thick forests for some unique soul enthralling views,Anant A,/Profile/AnantA93,,50
rudraprayag,"We first stayed in Magpie camp, for a day, about 6 years ago. Was so much in love with the place and people that i always wanted to come back. That chance  came now. Although many camps have come up near Chopta, Magpie retains its pole position. Prompt & courteous response from our first contact with Mr. Bharat for reservation and subsequent modification. The camp Manager, Mr. Sandeep and his team is simply outstanding. Always trying to accommodate and serve with a smile, no matter what strange / difficult request a guest might put in.  Have already motivated few of my friends / colleagues to visit Chopta and obviously stay in Magpie :-)",Sugato01,/Profile/Sugato01,"Kolkata, India",50
rudraprayag,"We stayed at Magpie Jungle Camp. Was a nice experience. We stayed for two nights only, although you need more time. Take enough woollens with you.  Tungnath near Chopra is good. Jungle trek is good. The camp people may also arrange adventure sports if more people stay at the resort. ",Dharmesh K,/Profile/DharmeshK82,,30
rudraprayag,"It's one of the best places I have ever visited. Beautiful, Peaceful, Scenic, Lovely Land Scape  Owner n Staff at Magpie r very friendly n helpful. During my stay I haven't ever heard no from them... With limited resources around they always try to give their best... Special thanks to Bharat for making our stay comfortable. He is always there when needed.  We stayed for 3 Nights which is must if u want to enjoy Chopta... U should so do  Couple of small tracks around Chopta.   Food is excellent, Tents r sufficiently big and clean. Proper hygiene is maintained. One should relish Green tea which they serve during morning N Pakodas they serve during evening snacks... It's mouth watering...😋  View of Sun Rise is really very amazing here in Chopta... Sun rises from behind the snow",Asim79,/Profile/Asim79,"Gandhidham, India",50
rudraprayag,"If you are visiting Chopta this is the best place to stay. The view of Himalaya from the camp is amazing and camp is a peaceful place to stay in mid of jungle. Staff are helpful are nice. If you are planning to visit chopta, tugnath stay @ Magpie.",Purusharth S,/Profile/PurusharthS3,,50
rudraprayag,"I first visited Magpie Camp in April 2012 and it was late evening when we arrived from Utkhimath and walked in the dark through the Jungle to the camp.That time it was a truly remarkable and eye opening experience. The second day we went to Chopta, Tungnath and Chandrashila peak and the day after to Devriya Tal. I've been to the camp four times since then.  It truly is a jungle camp, nestled in a beautiful meadow, and surrounded by thick forest of evergreen and tall Oak trees. The camp's location allows a great open view of snow clad peaks - Kedarnath, Chukhamba, and many others. It is beautiful in every season and the beauty of the place fills you with wonder and awe.   The staff of Magpie is very friendly and cordial, consisting mostly of local people from nearby village. The",Ashutosh G,/Profile/AshutoshG14,,50
rudraprayag,"Chopta is one of the most beautiful place in Uttarakhand with its enchanting jungle full of Himalayan oaks, rhododendrons and ample wildlife. Further it also commands a great view of the snow capped mountain peaks. I have spent months in this region, and still feel hungry for its inexhaustible beauty. I would say that if someone really want to experience Chopta, then Magpie Jungle Camp is the best place to stay. From the main road, a paved forest trail leads you to a beautiful meadow where Magpie camp is based. Far away from the din, beauty and silence envelopes you, and you feel as if you have gained an entry to a surreal zone. The staff at Magpie camp are very humble and modest people, far removed from the cunning and trickery of outside world, and they take really good care",Jitendra K,/Profile/JitendraK554,,50
rudraprayag,"Truly a wonderful experience and arrangements are excellent. A must visit place!. I personally think it is best place to stay in Chopta.  Nice people,we are looking some adventure activity at Chopta then we choose the Magpie Camp., really a nice place when we reached there the place  is excellent, Swiss tent with attached  toilet .we did there rock climbing ,Repelling ,and some more exciting adventure activity.",ranaarunmaya,/Profile/ranaarunmaya,"Dehradun, India",50
rudraprayag,"The rooms were extremely spacious with enough room on the bed for at least three people, the toilet was extremely clean and well maintained, the food provided was again excellent. It was truly an extraordinary experience, where one can roam around in the jungle freely, if you are lucky you will see some animals like the Himalayan langur, wild boar and many species of birds. Being inside the jungle, the place captures your imagination, the hustle and bustle of city life is left far behind. Though we visited this place in early October, this place can be visited any time of the year.",Amardeep C,/Profile/AmardeepC16,,50
rudraprayag,"I been visiting Chopta from last few years. I love the place as there is so much to be explore. Magpie has been my favorite place to stay at.I trekked Tungnath temple, Chandrashila peck and Deoria tal. The service is good they provide local food the tents are net and clean. There are different activities that can make your day rememberable. overall the region is wonderful for different treks and one can visit it at any time of year.",Dayanand B,/Profile/DayanandB16,,50
rudraprayag,"We visited on 25th September along with couple of friends and family. Toilet area was  the worst managed and stinking. Bedsheets and blankets were also stinking and not properly washed. Somehow, out of compulsion we spent the night at this camp. However, next morning itself we shifted to Himalaya Resort in Chopta. Himalaya Resort was thousands times better in cleanliness. Blankets, Bedsheets, wash area were very clean. Himalaya Resort staff were also very courteous.  They cooked as per our request. It was a cold area and they provided extra blanket upon request.",sanjayr2017,/Profile/sanjayr2017,"Vadodara, India",10
rudraprayag,"We decided to stay here after a lot of deliberations as we wanted a place that would be comfortable for young kids. Overall we were two families - two couples and three kids (3yo, 6 yo, 11 yo) Pros: The tents are very nice The location could not be better The staff is extremely helpful The solar lights are very handy  Cons: Cant think of any except that the camp is 200 meters inside the road and if you have any luggage then it needs to be carried over a short trek; but the staff is more than willing to give a helping hand. They have another place in Deoriatal which we visited during our tre; I am afraid that is not yet ready; not sure why they recommend (almost insist) people to stay there yet!  Our 6 year old did the treks himself while the staff carried the 3 year old on their",Subramanya S,/Profile/SubramanyaS24,"Bengaluru, India",50
rudraprayag,"Me and my wife was on the way from Haridwar to Chopta via Rudraprayag. The driver was wrongly taken towards Badrinath road whether we supposed to take road towards Kedarnath from Rudraprayag. We lost lot of valuable time. It was like sometimes rainy and clouds are like stuck in the mountains and the views were awsome. We stopped for a tea in late afternoon and loose again sometime on the rise towards Chopta. It was raining and roads were almost invisible full of clouds . It was too risk but we continued to go towards this camp anyway as we can't see anyone on the roads and roads are sometime not visible at all. At last we saw a board with arrow mark for this camp. We stopped our car seeing other cars are already parked there. It was slightly raining , area was full inside",Sandip K,/Profile/sandipk422,,50
rudraprayag,"I had been to Magpie with my family in the last week of April 2017. My brother had visited this place a few times as he stays in Srinagar. I wanted to stay at Magpie and climb Chandrashila after seeing their photographs.   Me, my wife and daughter aged 9 yrs along with my brother, his wife and his daughter reached there around early evening. We were accommodated in two tents. You have to park your vehicles on the road and then there is a walk of about 700 meters to the campsite. The campsite is a ""Bugyal"" meaning a grassland. The moment you exit the woods and see Bugyal - you will say OMG - what a place. Lovely green grassland, few tents pitched and snow clad mountains of Kedarnath and Kedarnath dome in the background.   We were served tea in the evening and then we went for a",Himanshu200,/Profile/Himanshu200,"Bangalore District, India",50
