location,review,name,user_profile,userloc,rating
shimla,"Comfortable tents with western clean bathrooms, with running HOT water! The mattresses are high-end quality (8” thick). Many treetop obstacle courses, rock climbing, rappelling, zip-line, etc.. There are Exciting treks that meander through some amazing Fauna and Pleura. There is a beautiful waterfall nearby. A well-run place, courteous and helpful staff. The chef is excellent and serves various cuisines. 15 feet below, there is crystal clear rivulet called ‘Shiva’. A must visit the place, students, Corporate Executives, and employees. An ideal place for bonding, especially family and friends.  I am a 75 years old War wounded Veteran. Found it very uplifting.","Col. Jai Jind SC,SM",/Profile/19463k,,50
shimla,The stay and location was really beautiful. The staff was really helpful and made sure that all our requirements were fulfilled. we would recommend it to our friends too. Looking forward to visit again.,SudhanshuDelhi,/Profile/SudhanshuDelhi,Delhi,50
shimla,The guy there bharat balal is totally fake person donot know how to talkto clients . He behaved very rude and unprofessional he thinks that he ia owner and can run by his own way donot know how to talk with female as well,Sunil70808090,/Profile/Sunil70808090,,10
shimla,"This Campsite has both luxury and ordinary tents , the location was good it was aloof but there was no network, the food was fine however the quality can be improved. Not accessible for old people as the only way to get down to the campsite was through stairs",Sonakshi & Samyak,/Profile/shortsnshots,"New Delhi, India",40
shimla,If You a  Adventure  enthusiastic then it is the  best place  . no frills  and luxury . Nice place and view . not for Children below 12 years .lots of Adventure activities to do  .  will be more fun  if you are in a group.  ,ppanda2019,/Profile/ppanda2019,,50
shimla,I took my team for the 2nd time in last four years...we came here for first team outing and then came here in August 2019 for the 2nd time with 4 times strength. The whole team liked and found it worth as it is living in the lap of nature with river flowing besides the camp...trekking to waterfall was tough but worth reaching there....good job done by the camp,rajans874,/Profile/rajans874,"National Capital Territory of Delhi, India",50
shimla,"It is definitely value for money.. People very polite and humble.. Lots of fun activity available.. However they need work on the cleanliness.. The service is very good.. Should definitely visit with friends, family, solo doesn't matter.. You will love it",Rashmi Singh,/Profile/Singhr3374,,40
shimla,"stayed there for 2 nights, really liked the quality of food and atmosphere. will surely recommend...  activities are also good, especially the tracking which was a different experience. we all had great fun.",viditgarg,/Profile/viditgarg,,50
shimla,"Overall nice experience. Good location, Courteous staff and good activities for entire family. Mobile connectivity is a big challenge as only Jio network works.  Music has to be shut down by 930pm but that is needed to maintain peace at jungle venue. Trekking experience was amazing especially the visit to the waterfall.",Sandeep V,/Profile/SandeepV295,,40
shimla,Amazing place to visit with your friends and colleagues...you would like adventurous activities along with pleasant weather...food quality is very good...I would recommend to go for waterfall track. Staff is also good and cooperative.,Deepak Seth,/Profile/deepakseth4u,"Noida, India",40
