location,review,name,user_profile,userloc,rating
shimla,"This hotel is situated at the start point of Mall road. Taxi will drop till Hotel Marina, from here on the journey is afoot. It's a 6 min walk but the walk is very steep upwards which is not ideal with two suitcases.  The rooms are very good and staff, especially in the restaurant, were excellent and made to feel welcome in hotel. Reception were able to organise us a couple of trips which were good and arranged a taxi for return to Delhi.  Food was excellent and would recommend taking the half board option. The major negative of the hotel was the cold in both bedroom and in restaurant. We were in Shimla in early March but without exception every guest ate with their coats on whether at breakfast or for evening meal. Heaters are provided in bedroom but they are too small to make",Philip O,/Profile/PhilipO845,"Gateshead, United Kingdom",30
shimla,"Honeymoon inn, a truely amazing stay and experience with the lovely and courteous staff.. Kashmir Singh, Chet Ram from resturant they make u feel u r home by attending in such a lovely manner to guest and truly a best hospitality had provided, Mr.Sanjay from front desk and a gentlemen i forgot the name were all the best... heartly its a best hotel to stay in shimla... thank u everyone who made our stay truly memorable and sweet",Rajesh D,/Profile/782rajeshd,"Mumbai, India",50
shimla,"Having been to Honeymoon Inn at Mussorie and very happy with my stay there I decided to go with their Shimla property and they did not disappoint. The same warm friendly staff, good sized room, nice bed and clean linen.Their bathrooms tend to be a bit small but clean and neat so its fine  it is located at one end of the Mall road and nice to walk around. The access to the property is up a slope, as cars won't go up, some may find the climb up the slope a bit taxing. Nice place to stay, go for it",Sathyam R,/Profile/sravoor,Chennai,40
shimla,Good hotel... The G.M room was very soacious for my family. As we needed halal food they adjusted for us everyday. Mr Kashmir Singh is very helpful and Mr Rakesh entertainment was very nice.  Very good hotel.. I fully recommend,Shaheen Bauccha,/Profile/Shaheenbauccha,,40
shimla,"Decided to book this property after an amazing experience in Honeymoon Inn , Manali and it was a right decision. The hotel is located at a walking distance from Mall Road and the view of the valley was also good from the hotel.  If you are planning to visit Shimla an book this property then I would strongly recommend to not use Google Maps in that area as there are many Sealed Roads with heavy fine for defaulters that is not shown in the map. It's better to ask locals for direction and the nearest and famous point is Marina point that you should ask for.   The staff there is very friendly and supportive so you can also give them a call and they will do the best to help you get there. We got very confused while searching for the location as parking is a big problem in Shimla but",Harshit S,/Profile/Harshit_13,"Ghaziabad, India",50
shimla,Property is good and situated just 5 mins from Mall road end. To reach there to can book a taxi from railway station to hotel Marina which will cost you 300 rs. From there hotel staff will send portor to pick luggage. I think it is around 100 mtr from there uphill.  View is good from room.  Suitable for both couple or family.,Vijay J,/Profile/231vijayj,"National Capital Territory of Delhi, India",40
shimla,"We had a wonderful time. Staff are very polite and friendly. Especially the manager of the hotel, who took the initiative to fetch our family from below at marina hotel at late hours. At our meals at the coffee house, Chet Ram has been so wonderful to us during our stay. The rooms are very clean and very comfortable to our family. The environment of the hotel is very suitable for family on vacation",vinod d,/Profile/646vinodd,,50
shimla,Hotel is very beautiful and its hospitality is mind blowing. They took such a good care of our needs that it felt like our home there and the staff is outstanding in pampering and caring for you. Highly recommended for anyone visiting shimla.,Tushar agrawal,/Profile/Tusharkrshna,,50
shimla,"Now it is the right time to recapitulate one of our most delightful and amazing trip with family at Shimla. We have stayed at Honeymoon Inn for 4 days which we have chosen after a detailed review of Hotels at Shimla. As we have heard always that Shimla is now very crowded and not peaceful for vacation, though we are neither very tranquil nor noisy in nature, these efforts were given just to find a place that can match with us. Thanks to all associates of Honeymoon Inn to offer us that just we needed to. The hotel is situated on mall road but a little efforts to walk for 3-4 minutes slight upwards makes it a peaceful den to find or confined in beauty of nature. In addition to that we have enjoyed the most delicious foods from breakfast to dinner in the hotel. A special thanks to",Tapas,/Profile/tapas_poddar,,50
shimla,"We stayed here for three nights in late October in a group of 14 adults. We arrived with little light to spare but enjoyed the most spectacular sunset on the hotel’s terrace. The supper served by the staff was delicious. They coped admirably with a large number of people. The rooms were clean, comfortable and we all had a view. Reception staff members were professional and gave excellent advice. Kitchen and waiting staff deserve recognition as do the porters who carried at least two large cases in their backs to our awaiting taxis in readiness for the next leg of our journey. I would definitely come here again with my husband who was unable to make this trip. We could even have a “second honeymoon” to celebrate 34 years!  Thank you to everyone at Honeymoon Inn.",marian_benson,/Profile/marian_benson,"Amritsar, India",50
