location,review,name,user_profile,userloc,rating
shimla,Truly Mahasu House won our hearts.  This place is home away from home.  Kudos to the staff who left no stone unturned to take care of us and address our needs.  Good times with Anil Walia (owner - Mahasu House) - cheers to everlasting friendship..,romilravani,/Profile/GrandTour13146825445,,50
shimla,"I was looking or a pet friendly place in Mashobra and picked Mahasu House. It was a real lucky find. All I can say for other intending visitors is that one has to actually be there and soak in the experience of this place to appreciate what a well laid out property with properly trained staff can do for your holiday.  Mahasu House is not constrained for space, as a matter of fact, it spoils you with its large, well- appointed rooms, an indoor dining space, a separate seating area and a library, plus terraces with more than adequate seating for you just to sit and enjoy the stunning views; and a separate terrace for breakfast. Since there are just 6 rooms, there can be a maximum of 6 families at a time, basking in the attention of the staff members. And I must add that my small",Motumotu,/Profile/Motumotu,"Gurugram (Gurgaon), India",50
shimla,"Stayed at Mahasuhouse From 4th Jan to 9thjan was extremely lucky to witness the whole place turn into a winter wonderland. The whole place received possibly the heaviest snowfall after many years . Anil Walia the gracious host along with his team did an amazing job of running the whole place with zero glitch  when the neighbouring hotel had told its guests to leave as they had run out of fuel and food , Anil Walia  ensured all of us not only had our  food supplied and served kept the heating system. Going in -8 temperature . Everything was planned actually Anil Walia went out of his way to stay back in the hotel when things went difficult it was a full hotel with kids seniors and family.  I saw him sacrificing  the comfort of his villa  to save diesel so guests could get heating",Pradipta_B,/Profile/Pradipta_B,"Gurugram (Gurgaon), India",50
shimla,"We had a marvelous stay in mashobra at the Mahasu Housel. Wonderful interiors, with beautiful view ,very good service and some excellent dining too, must recommend the hotel's fire place area . Very reasonably priced too for a luxury hotel",Pankajd,/Profile/chagA18,,50
shimla,"It's a beautiful property, a Paradise in hills.  Owner Anil Walia Ji is always available on phone and eager to help.  Staff is very good.  I will specially mention one Mr Narender who took care of everything with a smile.",Jitender G,/Profile/348jitenderg,,50
shimla,"If you are looking for a place where you want to forget about your hectic and busy city life, mahasu house is the one. This is a perfect getaway for family, friends, couples and solo travelers.  Starting with the location, this place is situated in mashobra 15-20km far from main shimla city. This is much serene place with less pollution, people and just nature.   The place is actually a heaven in Himalayas with beautiful view. Mahasu house as compared to other hotels is very spacious. Even the rooms are spacious and everything is beautifully placed. This place also have GYM, SPA and a recreational activity Room with carrom, pool, room housing TT , etc. Moreover, the property is PET-FRIENDLY , isn't it cool?  The staff is so helpful and warm welcoming. They all are well trained",Tanya arora,/Profile/Tanyaarora30,,50
shimla,"Calm and quite place from, away from hustle bustle of Shimla. Enjoy viewing snow clad mountains from comfort of your balconies or while eating delicious breakfast at breakfast deck. Polite and evercaring staff, expert master chefs always ready with delicious and homely stuff. Coupled with excellently maintained recreation room housing TT, Carrom, pool and karaoke system and of course a modern gym with all facilities.",Sanjay,/Profile/snjse,,50
shimla,"Perfect place for the family, couples and friends to rejuvenate.  Location - A little ahead of Shimla; quiet serene place. Mountain view, cleaner air, less population. The road is narrower while going there ; just be careful. 5/5  Accommodation - Luxury, every room is nicely designed and different. Hygiene well maintained and very comfortable.  4.8/5  Hospitality - Something to vouch for; the staff takes care of your every single need. 5/5  Food - Less options but tasty. they have a buffet system for lunch and dinner. Breakfast menu includes lot of options. 4.5/5  Activities Area - Pool table, table tennis, badminton, library,   SPA AND GYM ALSO AVAILABLE  Nearby - You can take a walk down the village; the surroundings are very serene and beautiful.  The owner Mr Anil is very",Kavita Dhanuka,/Profile/travelwithkd,,50
shimla,Mahasu house is an amazing place to come with friends or family. A classy place that feels like home. The food here is an absolute treat and the staff is superbly well trained. Very warm and hospitable and the location is just the best here. Walks and treks are arranged on request. A walk down to the village is breathtaking too.A place I would like to come back to again and again.,Shalu Goel,/Profile/Shalvish,,50
shimla,"I travelled with my Wife & 3 yr old son in June, the place is about 30 mins ahead of Shimla & boy am I glad that i booked this place. Nestled amidst Mashobra Forest, this has a Wonderful View to the Valley & the Mountains. This is the Kind of resort, where if you donr want to do anything, this is the best place. Jungle treks or just walk on the roads, No traffic, No disturbance, just you & Nature. The air is Clean & the water is Good. I had my car, so I drove to Chail , Kufri, Shimla, Naldhera from here. most of them were a couple of hours drive, so i would start after my Bfast & Come back by Dinner time. The rooms are Spacious & Clean. The Complimentary Bottle to wine is Good :-) I was in Room no 2 & it had the most beautiful view of the mountains. It Rained & the view from my",TheMonk9,/Profile/TheMonk9,India,50
shimla,"Fresh food. Friendly ambience. Helpful staff. Engaged owner. All this made the the wonderful location and great weather even more enjoyable. Was my second trip. Looking forward to many more, with friends and family, and maybe even solo!",Connector12215825530,/Profile/Connector12215825530,,50
shimla,"The place is an absolute example of perfect getaway with all amenities and superb hospitality. The rooms are luxurious with open sitting place to enjoy the scenic beauty.  Breakfast spread was great and was decided everyday keeping our priorities in mind. The staff went all the way to make our trip ever relaxing and comfortable.  Not to forget Mr.Lalit, who was always there without fail.  Mr. & Mrs. Walia, owner of the property were the perfect host. Overall, I would definitely recommend the place and would stay there ever n ever again during my visit to hills. Cheers ",Friendashish,/Profile/Friendashish,"New Delhi, India",50
shimla,"The body and soul gently soothed into calmness....that is Mahasu. The Zen like views of pine forests and the snow clad Himalayas greeting you in the morning from your bed to the mesmerising evening sunsets over the mountains from the sitout. Above all, the genuine warmth, pampering and love imparted  by every staff member and the wonderful owner and host Tina is unparalleled and unforgettable. Can't wait to get back to Mahasu.....after all Paradise once found....is impossible to leave.",RajivDhir,/Profile/RajivDhir,"Kolkata, India",50
shimla,"One of the best stay we had with family and friends.......Property makes you feel in the lap of nature !!!!overlooking snow capped   mountains ,meadows and cedar forest ..... quite place with all required amenities and staff is  hospitable,prompt with a smile.....",Jasveen K,/Profile/JasveenK16,,50
shimla,"This is a home stay with about 9 rooms in the property. But has all the facilities of a hotel. We reached there after a long drive from delhi, and were super awed at the property. The house is created in british style interiors, very tastefully done. The rooms are big and airy, and have all the facilities like huge window with unobstructed view of the himalayas. Pin dropped silence with only voices of birds. The weather was awesome when we reached. The room has a big heater, coffee/ tea makers, large comfy beds, easy chairs, balcony with sit outs, and clean large bathrooms.  The staff is very well mannered and takes care of every need of the guests, the food tasted home made and fresh, that we did not even try and go out for meals. They can serve food out in the sit out, decks,",Aarthi I,/Profile/iyeraarthi,"Gurugram (Gurgaon), India",50
shimla,The booking was done impromptu as we did not wanted to stay longer in Shimla and wanted an offbeat stay and stayed here for 1 night and now regretting why only 1 night .Awesome property with superb amenities and on top wonderful amenities. The looks of Himalayas are just blissful.the place has calm and serene atmosphere. Definitely going to visit again for a longer stay. The property is made so tastefully and each and every detail has been taken care of when comes to quality and hospitality. One word review- AMAZING,Rajneesh J,/Profile/rajneeshjalora,"Ahmedabad, India",50
shimla,"Mahasu House was the last stop on our way back to Delhi....we reached after a long drive from Kinnaur & at first couldn't locate the place,gps led us wrong & the rather inept manager was not helpful at all. We arrived tired & hungry in the evening,were not offered water or tea (both available in the room but would have been nice if offered).Despite booking well in advance we were given 2 rooms on different floors,one on the first & the attic obviously on the top. That was upsetting & to make matters worse the attic room despite being large had sloping roof both in the room & bathroom( my husband is tall ),the bed was unmade & dirty. While the bed in the first floor rooms were made up nicely with fluffy comforter & bathroom well lit well ours was very poorly lit & the sink",travelbugDelhi,/Profile/travelbugDelhi,"New Delhi, India",30
shimla,"The word House in Mahasu House says it all,a home away from home! A quaint lil place nestled in the mountains away from the congestion of Shimla when we booked was skeptical of the location but it turned out to be a very good decision! They spoil u to no ends,from the warmth in the hotel to its rooms to its fantastic staff there is no scope for improvement cos it’s the best! The decor,the breakfast n meals were fantastic,they are so accommodating that we checked out at 6am n they treated us to a scrumptious breakfast that early,if u looking for calm n serene with class don’t think twice Mahasu House is the place to go!",Tasneem,/Profile/tas_saif,,50
shimla,Mahasu House is a beautifully located property in a quiet part of Mashobra away from the crowd  It is run by very attentive and friendly staff. They are so polite and helpful. The food is delicious. I will definitely go back there if we visit Shimla or Mashobra. Had a great and comfortable time. We had gone there when it was snowing with my mother who had difficulty walking but the owner and the staff came and met us all the way out and helped my mother walk the way down on the slippery slope. ,Arwa K,/Profile/ArwaKapasi,"Singapore, Singapore",50
shimla,"We had our entire family with kids and elders at Mahasu House for a great family get together. We had the entire 9 room place to ourselves.  Mr Anil Walia and his entire team made us feel at home and we had the best time ever. Attentive staff. Great food. Made to order- spoil us Menu. Large very cosy clean rooms with great views of the mountains. Living room where we all sat together and played games.  If we wanted a cosy fireplace seating, they did it. They did an amazing barbecue with the family around a bonfire.  Games room, play area to keep the young ones busy. Popcorn. You name it. It was there.  We did a small trek too.  Super serene outdoor area.  Have to go back for more holidays here.  Thankyou mr Anil for a fabulous time and looking after us even after we left the",sujata70,/Profile/sujata70,"Mumbai, India",50
shimla,"Stay at this lovely property last week and had one of the most wonderful experiences. The property is beautiful, nicely designed, very spacious and well kept. Staff and service are excellent and they did everything we expected. Food menu is as we make it and their butler team does its best to deliver tasty food at all times.  This place is a must visit. ",adit1975,/Profile/adit1975,"Nagpur, India",50
shimla,"I don't have words enough to describe the fantastic stay we had at the Mahasu House. The level of attention to detail provided by you and your entire team, including Lalit, Rajendra and Shobha (and also the chefs and other staff) was exceptional. The room was spacious and warm (with radiator and space heater) with excellent views of the Himalayas. All the meals we had were delicious and the personal touch by the staff during the meals by asking us what we liked, wanted and serving us warm rotis was fantastic.The menu was changed each day so we never had a chance ti get bored.   The snow we had at the hotel was an icing on the cake and our kids went absolutely bonkers playing in the snow. Surprisingly, there was hardly any snow in Shimla which is not too far and only pockets of",prashantkataria,/Profile/prashantkataria,bangalore,50
shimla,We had the most amazing time at mahasu house...one of the best places to visit. Superb location...very courteous n helpful staff...beautiful property with awesome views....very nice n cosy rooms....highly recommend to all,Paras,/Profile/zaverip2,"Mumbai, India",50
shimla,"Excellent stay , excellent hospitality  35 to 45 min drive from property to Shimla  But a better stay then crowded city. The air quality was very pure , we had a homely feeling throughout our 3 night stay . Would recommend for all nature lovers ",Vinay Gupta,/Profile/vinayjaipur,"Jaipur, India",50
shimla,"A cozy retreat located with a glorious view of the mountains in mashobra. A hiking distance from the Wildflower and the President's Retreat. Tastefully decorated rooms with great facilities. Loved the service quality, personalized and engaging from all the staff.  Would have been great to have better food, without having to do a buffet everytime. Also, the rooms need better insulation from the cold and better heating.",Vasant V,/Profile/starpeak,"Bengaluru, India",40
shimla,"Without doubt one of the favorite homestay I stayed during my time in Mashobra!  Regrets that I stayed only for a day…Upon arrival we were warmly welcomed by the staff and general manager, Lalit. The staff was extremely friendly, the restaurant very flexible (appreciate this!) and the restaurant supervisor deserves a special thanks. We had one great evenings here, which obviously also added up to the experience. To top it all a lovely and informative conversation with Tina(co owner of the place).She adds so much personal touch to everything including meeting the guest personally.  We did a village trekking which was guided by one of the hotel staff, who works as a waiter in the hotel as well. I truly enjoyed walking the three of us through the village. The scenery was beautiful",niki131,/Profile/niki131,"Mumbai, India",50
shimla,"We had travelled as a group of 12 friends in February 2018 and i somehow never got round to writing a review ...... Mahasu House is beautifully located away from the hustle of Shimla and is a excellent small resort . The place is so well managed .We had excellent meals there and it was cold at nights so we had a wonderful dinner by the bonfire where the owner and his wife very kindly joined us too. We went on long walks .On one of the walks ,we had an awesome picnic lunch organised by the resort ,which was so beautifully packed  and  served . The rooms are very tastefully done .We had a lovely view !  All in all ,we had a great trip and would definitely return  someday .... ",PGdesai,/Profile/PGdesai,"Mumbai, India",50
