location,review,name,user_profile,userloc,rating
shimla,"I travelled to Shimla with my family and decided to stay in Shimla Havens Resort.  Stay was excellent. Rooms were clean. Staff was very friendly. Food arrangements were excellent. Facilities were amazing.  All in all, it was a perfect stay. I would definitely visit again. ",Jay J,/Profile/jayjoshi810,"Hyderabad, India",50
shimla,Very Nice Hotel Friendly Staff food is excellent when buffet is there when u order its good but not like buffet view is very beautiful rooms are also very nice refreshing stress free atmosphere will visit again ....👍🏻👍🏻👍🏻😘😘😘❤❤❤⛄⛄🏔❄,Ashutosh,/Profile/799ashutosh,"Pune District, India",50
shimla,"Hi there, Stayed for 2 nights from 23-25 Feb. Room No 205. Writing this review so that one may take an informed decision. Despite few hiccups(beyond our control) and location part (which hotel management well takes care of by their complementary pick n drop) rooms are spacious, tidy and offers valley view. Hotel also offers outside activities like trek, Burma bridge, etc. But their best part is their restaurant Evoke where food is heavenly. I tried everything & each was better than d other, I mean food is simply the best. Both breakfast n dinner covered ample options. Special thanks to Chef Inder & Tej Ram. Value for money experience. Overall a very fulfilling stay. Best wishes n enjoy.",Vivek A,/Profile/Abrol_viv27,,50
shimla,Property value for money 4/5 Staff friendly 5/5 Food  5/5 Variety of break fast 3/5 Late check in was managed well and also they well arrange the dinner. It’s bit away from the main rush city but no worries you can get transport to mall from the property.  Special thanks to Mr. Rakesh in FnB. A special Thank to Mr. Singh the property manager. He is trying attain each and every gust personally. Special thank to the team for arranging the birthday dinner. The cake and flowers was really great.  A true place to spend time with nature to fell your own breath.  It’s a great stay with my family and positively willing to come again.  Few note on improvement/Suggestion 1. Complementary short jungle and village tour. 2. Adding of Foot towels in wash room. 3. Welcome drinks. 4. Some,Dey,/Profile/souren1975,,50
shimla,"The resort is nice one in deep valley. We deliberately chose Shimla Havens Resort in summer hill which is away from Shimla rush. The rooms are comfortable & most of the staff are very good & helpful. The hotel offers free ick up & drop to summer hill railway station which is a nice gesture. Our stay was going comfortable till second last day when snow fall happened. We had great fund at Jakhu temple & mall road during the day and never knew that difficult moments were awaiting us. We got stuck on shimla roads. The hotel cab picked us and it took three hours for us to reach hotel which was 15 minutes drive. The driver ""Sanjay"" was good patient driver. The jam was due to snow on road. He left us on top as car couldnot go down the valley and he advised us to walk slowly to the",Bhushan P Singh,/Profile/BhushanPSingh,"New Delhi, India",50
shimla,We stayed for 2days and it was great experience but road to resort is little risky and one should ask staff to guide properly to reach hotel. Ours was family trip & hotel & manager Anek is very cooperative to make our stay great. ,Saurabh J,/Profile/sjain449,,40
shimla,Nice hotel and staff is very polite good service buffet breakfast and dinner also good.Hassele free check in and check out specially Bhim singh on reception very helpful.Rooms are good and spacious overall i give 10 numbers out of 10 numbers☺️☺️☺️,Baldeep Singh,/Profile/rippy20000,"Ambala Cantt, India",50
shimla,"wants to hangout with friends, its an awesome place, good location and service, very cold this time but feeling the natue is something different experience which we all love to feel, whistling air and high hills make this bananza",sumit,/Profile/sumitvlogs,"Patna, India",50
shimla,"After 15 hours of journey to Shimla I finally reached the resort having an online booking confirmation. The road to this resort is not commutable. If one wants to risk his/her life, definitely he/she can definitely try to self-drive to this place. When I approached the resort reception for check-in, I was asked about my name and source of booking. Then the receptionist said in an arrogant note that there’s no such booking. “It’s the fault of expedia. You go n talk to expedia. We can’t do anything. We have no rooms available. ” I along with my family went to check the nearby hotels but they were packed. We were stranded for couple of hours. After a drama for a period of 2 hours in the chilled night, the resort manager finally came and helped us to get a room. The receptionist was",Smarjit,/Profile/Smarjit,"Mahabalipuram, India",10
shimla,"The Gang of 7 travelers with different taste buds, priorities and moods  😜🤪 narrowed down our research of 1 month to ""Shimla Havens"" for entering in to 2020. And no one was aware, what a  marvelous decision it will gonna be..... The moment we arrived....it was all fun , masti, and magic. The comfort was much much better than home..😂😂 we commonly agreed on this. The staff was much more caring then mothers. And food....ufff..taste buds got active again...it was really delicious.  The New year night celebrations were very well organised and we enjoyed every bit of it.. Starting from tikki & chat with tandori snacks , cocktails, DJ.. 😋😋 The outdoor activities with full safety measures  like BurmaBridge , valley crossing, zip line...etc were so much fun. Finally the jungle",Dheeraj s,/Profile/ruchisharma12,,50
