location,review,name,user_profile,userloc,rating
shimla,Me and my friends choose this place looking at the reviews & frankly we were not disappointed. The owner is very cooperative & really took care of us. There are so many options to play & activities. They even have a  swimming pool but we did not try since it was cold here. Bonfire & Live Barbeque was awesome experience. Overall we had a fun fulfilled trip,RaShim G,/Profile/rashimg,"Zirakpur, India",50
shimla,This resort is very beautiful & away from maddening crowd. Place. The rooms are big & clean. Lot of activities & staff is co operative. Food is also great. Don't miss visiting nearby hills for trekking.Love to come bk soon,Shril R,/Profile/shrilr,"New Delhi, India",50
shimla,"Initially i was skeptical about booking a property at Shoghi instead of booking the room in Shimla.The stay at sunshine along with staff was worth it.amazing place with tons of outdoor activities , mouth watering food to taste.breathtaking view from the room and the swimming pool .Hygene,safety and security was another part to mention especially when u travel with family.  We really enjoyed a lot and would definately recommend every section of people to come and visit.",Jitendra Jha,/Profile/jitendra_jha,"New Delhi, India",50
shimla,I love this resort its a perfect package of nature with lovely stay and nice food all staff r so cooperative mr ankush manger is very nice person who attend us with smile my in laws was very with the home friendly nature of ankush i love this resort i want to cum again,Nitika arora,/Profile/Nitikaarora1703,,50
shimla,"Sunshine Courtyard Resort was recommended by my former colleague. From the moment we enter this resort, we fell in Love with this Resort. You see big lush Lawn, beautiful swimming pool and we were amazed to see that it has filter system too and chairs to relax.   I am a travel agent and trust me this resort is a best place if you want to relax with family and friends.  Location: outskirt from main city  Rooms: Beautiful  Cleanliness: its good and clean  Food: Main highlight of this Resort.  They do have adventure activities - Approx INR 1200 for full adventure too.",Trail to India,/Profile/Munish-TrailtoIndia,"New Delhi, India",50
shimla,Sun shine resort rooms are exelent and clean. The Food quality is superb. Room Service is also great. Swiming area is also clean and staff are very helpfull.Location is good.parking space is good. The staff is friendly and co-operative Some of the indoor sports activity you can enjoy here.,Nikhil Sharma,/Profile/Nikhil11_Sharma,"Chandigarh, India",50
shimla,"Nice place, located 20mins off the main road. Away from the commercialisation.  Ideal for people wanting to get away from the daily grind. Rooms are nice and clean, very home like. Resort has a swimming pool as well. The place can get a little warm during the days in summers but would be ideal for winters. ",Sushant K,/Profile/SushantK268,,40
shimla,"Wonderful resort with lot to offer. Very nice and neat rooms, good food, friendly staff and lot. Enjoyed my stay in June 2019. Very nice place to stay with family, very nice pool and wonderful food. They have lot to offer including kids indoor and outdoor activities. ",rakesh1237,/Profile/rakesh1237,"Chandigarh, India",50
shimla,6Kms away from main Shimla road. Location is OK. Rooms are spacious. The best part is the food. The Chef makes good Indian food.  The other facilities could be improved. Little expensive for what it offers.,AnkitTra,/Profile/AnkitTra,"Gurugram (Gurgaon), India",40
shimla,Just don't know why I selected this resort. It is quite interior 6kms down Shoghi main road based in a valley. And the resort has No View to offer. It was hot and the rooms don't have AC fitted in it. Plain rooms. Not worth the money I paid for the 2 star resort.Staff was courteous and helpful but that's it.,DrDee,/Profile/Drdeepakl,"Mumbai, India",20
shimla,Today visited sunshine this was my second time here awesome place great pool great food excellent hospitality luv it ........... stay was pleasant close to nature I recommend family ppl to visit this place ........,Gaurav Sahni,/Profile/GauravS4567,"Solan, India",50
shimla,"I visited with my family in sunshine resort in the month of June'19. It is about 6 KMs down the highway right in the middle of valleys and in the lap of nature. It is far far away from city hussles.   This is a perfect getaway for nature lovers and who wants to spend a quality time to kill mundane in a peaceful nature environment.  Topping on the cake are as follows:  1. Very well maintained swimming pool, which you usually get in 5 star only. It's a small pool but very well maintained.  2. The quality of food is very good & tasty. It feels like they cook organic food with no extra oil and masalas. Serve the food the authentic way. Menu varieties are also good and you can get it customised of your own choice.  3. The service is stupendous. I want to thank Mr.nekram and his team",Manish behl,/Profile/manishm1165,,50
shimla,It's always been a pleasure visiting Sunshine Courtyard resort.. this was our 4th visit to this place and like always it was a memorable trip.. The staff and the hospitality is wonderful...The food is awesome... The rooms are neat and clean...the washrooms are well ventilated and clean...it's a safe place for kids...you can easily sit back and enjoy the soft music while kids enjoy their activities...it's a safe place for kids...overall it's always a bliss vising this place..and not to miss the addition of the pool in the premises...it was like a cherry on the cake....looking forward to many more visits in the future...,panzy v,/Profile/panzyv,,40
shimla,Visited this resort with my family and enjoyed our stay. Courteous staff and good food makes it worth staying.   Activities offered also adds an element of fun and adventure to this property.  Highly recommended.😊,nikhilsehrawat,/Profile/nikhilsehrawat,"New Delhi, India",50
shimla,"Only the only con is 6KMs down from Khawara chowk in Shoghi...   Otherwise, its such a peaceful place, with Nature all around. Food was very good. Service too was at par.  Rooms were spacious, neat and clean.  Staff was courteous. Activities for kids.  Overall, A big thumbs up...  If you love peace, rather than the overcrowded Shimla, this place is for you. Just go for it.",Gauravkalra85,/Profile/Gauravkalra85,"New Delhi, India",40
shimla,"I visited here with my family in June 2019, View was amazing, if you are nature lover then must visit this place. or you are looking some days rest from your busy life and want to be relax then must visit there. Staff behavior/service was very good, awesome food peaceful serene place, nearby tracking, but food is little bit costly. Room are very spacious, view from all rooms amazing. Swimming pool amazing you can play your fav. songs and enjoy swimming.",Vikas A,/Profile/440vikasa,,50
shimla,It was nice stay in sunshine courtyard resort. Perfect for family vacation.nice pool. excellent food.nice staff.very good activity in resort for kids. Thanks ankush ji & Team for your warm hospitality,Sanjay Rana,/Profile/Sanjaymyown,,50
shimla,Sunshine courtyard resort at shogi is a perfect place for spending your holidays. It’s a new property with amazing views. It is built in the lush tropical 🏝  🌴 greenery. The rooms are spacious with modern furnishings. Each room has it’s own terraces to enjoy the surroundings. There are indoor and outdoor games for children and adults as well.  The staff was very attentive and helpful. The mess is very neat and clean and food served was of excellent quality. All three meals were served. Tea and snacks were made ready on demand. The stay was very comfortable.,Samreet G,/Profile/SamreetG11,,50
shimla,"Looking for some phenomenal destination around shimla than SUNSHINE COURTYARD RESORTS is the best place to spend your quality time with family or friends. All over property is way beyond amazing as its surrounded with lush green area. The foremost important and best part is you will found big rooms which is very rare in shimla. They also offers adventures trip, journey to shoolini mata, village visit and much.  Value for money 5/5 Hygiene 5/5 Food 5/5 Service 5/5  Highly recommend. 👍🏻 ",Santsev Johar,/Profile/santsevjohar,"Chandigarh, India",50
shimla,"Location: It is 6km descend in a valley from Khwara Chowk, in Shoghi. Single vehicle road but safe and well built except for last few meters which is muddy. We went in August, hence it was very green and pleasant. Will not expect much cold temperature if you want to go in May/ June. Ideal for September to March.   Around it: very peaceful, no other hotels/ resorts/ market. Places to trek to a temple at hill Top and a sunset point trek all through in farms/trees. Not very hard. Even kids can go. Different and enjoyable.   Facility: spacious room, total 10 rooms with all basic amenities. Bathrooms are clean and hygienic. Lawns for play areas. Basket ball net available. Trampoline available. Good open area to sit and relax and take natural air outside the room and on terrace.",894gurpreets,/Profile/894gurpreets,"New Delhi, India",50
