location,review,name,user_profile,userloc,rating
shimla,"We four senior citizens couples visited during 12.3.20 to 14.3.20 for two night. Thanks to Reception Desk for the nice hospitality and welcome drink. The whole staff is polite. Rooms are well furnished. Restaurant staff is so polite. Even food is very delicious. Only minus point is , it’s 25 km from Shimla. But the view of nature is scenic.",KIRAN MANIAR,/Profile/kiranheena,"Mumbai, India",50
shimla,Very courteous and cooperative staff..... nice views from the rooms..... nicely located on the main road with decent parking facilities....... little more upkeeping of rooms with modern look can add value to the experience. Overall happy..,Deepak Kurera,/Profile/DeepakKurera,"Chandigarh, India",40
shimla,"Amazing hotel with beautiful location. Extremely courteous staff , always ready to serve better and better. Special mention to Rakhsha for her great hospitality..  Best hotel for families and nature lovers.   ",solo traveler,/Profile/nexttourplan,,50
shimla,"The property is remotely situated between Chail and Kufri. When I wrote remotely, I mean it literally. It’s a massive property that cannot be missed. I booked Royal double valley room that was actually quite a small room. The washroom was also below average. I upgraded it to suite later on.   The rooms offer beautiful view but it’s of no use because there is a huge problem of Monkeys in this resort. You simply cannot stand in the balcony because they are always there. So basically you are confined to your room.   The breakfast and dinner was quite good. The taste of food of authentic and even the portion size was decent.   Overall a good property for one night stay. ",Pathfynder,/Profile/Pathfynder,"Jaipur, India",40
shimla,The hotel is situated in a great location giving us the pleasure of being close to nature.  The rooms are very spacious and clean.  The staff is extremely  courteous. We enjoyed our stay with their amazing hospitality. The balcony gave a wonderful view of the nearby mountains and the sunset. The restaurant has a plethora of options serving  delicious and homely food. They also have an ayurvedic spa with reasonable price. It's worth to stay in this hotel for all its amenities and amazing location. We enjoyed our stay thoroughly.,Anup,/Profile/anupkumar57,,50
shimla,This is best property to stay.we were 11  Pax and stayed here for 2 nights and it was a wonderful experience.Hotel Service very very good and prompt.Food is also good. Staffs and hospitality is very good.,Sourav Jain,/Profile/SJ99jain,,50
shimla,"One of the best located hotel near chail and kufri. Away from the concrete jungle of Shimla, this location is ideal for nature lovers. Rooms are sufficiently big and comfortable. Food is excellent and the best part is the service. Efficient and prompt service. Overall an excellent property.",Anil J,/Profile/598anilj,"New Delhi, India",50
shimla,"Excellent location, good rooms with facilities. food was awesome. we were 5 couples with kids in this trip. Jeetendra was from hotel team who attended us and took care of our demands & served us completely. We called him ""bala"" because of his mustache. we were completely bowled by Jeetendra's service and his colleague raksha support for  admin & facility. only cons i would highlight is food was slightly costly.  the purpose to write this review is because of Jeetndra ""bala"" who was on his toes for customer service, satisfaction & hospitality. Highly recommend him.",Vineet,/Profile/reach4smiles,,40
shimla,"View from all over the hotel was exlnt, service was also very good , Ms.Raksha Shandilya from reception take good care n kept in touch with family through out the stay, food was also very good and served very hot in chilled weather, service staff always met with smiles. We will dfntly recmnd  this place to our family n friends.",AJAY RANA,/Profile/ajayrana2001,,50
shimla,I reached Shimla due to heavy snow fall roads were blocked and I wasn’t able to reach to the hotel just one day before hotel confirmed me about the road and asked me to pay I paid the amount and when I reached Shimla there’s no way to reach hotel they denied me to refund my money where I had paid the full amount... contacted them multiple time since 6 am in the morning all you hear an uneducated staff  who has no idea what is going on. This is not ethical it wasn’t my fail you should have refunded me the money... Never recommend this to anyone ,Mickey,/Profile/Mickeytewathiya,"New Delhi, India",10
