location,review,name,user_profile,userloc,rating
shimla,Excellent place to stay. Beautiful location out of crowed area of Shimla. Nice meal with excellent hospitality services of staff. Everyone should try for it. Rooms are very nice and clean. Staff if very cooperative.,Scenic610221,/Profile/Scenic610221,,50
shimla,While our stay in Naldehra we were exploring various dinning options and we came across Woodstock. We used it's restaurant and found that it has a good view of Golf Course and an excellent Chef. The Manager was cheerful and helped during dinning experience. I am sure I will revisit the restaurant again.,Divya A,/Profile/DivyaA688,"New Delhi, India",50
shimla,Hotel is in excellent location.Rooms are hill faced and we enjoy a lot.Food quality is excellent.staffs are very cooperative.Gulf club is situated in front of room.One entertainment program had arranged by hotel manager and we enjoy a lot.,Bapi,/Profile/Gfnmcn,,50
shimla,The overall experience was great. I reached the hotel around 1 at night and the staff was really welcoming. The atmosphere was peaceful and quiet and the view was just so beautiful. The area around the hotel was also really pretty. I went for walks and the weather was totally complementing the view. It was a nice experience. I’m definitely going to visiting again.  ,Sheenam Sharma,/Profile/sheenamsharma,"Chandigarh, India",40
shimla,"Amazing place to be at home while you are away from home. All in my family enjoyed including the kids. Food and service was good. Pretty decent rooms , nice and clean. Staffs were friendly and helpful",sunilkumarms,/Profile/sunilkumarms,"Ghaziabad, India",50
shimla,We visited in july 2019 with 2 3 hours of rain in a day cloudy weather and nice view form the hotel. Lush green in the month of july. 23 km from shimla.  Golf course is nearby to this hotel.  Good place to stay.,Sahil Narang,/Profile/shelnarang,,50
shimla,"It was a nice property with nice food and good services. We had a pleasant stay. Room was good, maintained and clean. Only suggestion is to make washroom more hygiene to use. Rest awesome stay with pleasant weather.",Jyoti,/Profile/Ranbirbabbar,,50
shimla,The Hotel is located at a nice spot and both our rooms had a perfect view. The food and service in the hotel is outstanding. There is nice sitting area outside the entrance incase you want some sun. I will definitely visit again.,bratbharadwaj,/Profile/bratbharadwaj,,50
shimla,Lovable place located deep inside away from busy roads. We took a suite room and it was neat & clean.people in Woodstock are very friendly. The hospitality is very good . The place is surrounded by nature & air is pure & adorable. Very peaceful & lovely place to stay .Although we stayed only 2 days we felt heavy heart while we departed. People are with good heart. Will visit again,siva s,/Profile/sivas2018,,50
shimla,We had a pleasant stay at Woodstock. The hotel is at a good location far from the crowd with serene view. The staff was very supportive. The food was also fine. We would recommend this hotel who really wanna have a perfect peaceful stay in the hills.,Rachna Chopra,/Profile/rachnachopra_7,,40
shimla,It was a very nice stay of 4 days at this Hotel in Naldehra in September End. We were 6 families in total. Hotel Room were clean.  Sh.Narender (Manager) was very cordial and very good in arranging games and activities during Bonfire.   The food esp. Mix Veg was good.  I will give best ranking to this Hotel for the stay in Naldehra.,Sudhir Sharma,/Profile/sharma346,,50
shimla,Spent a day and a half at the hotel and was stuck indoors due to constant rain. The view from the room made up for the confinement and the staff were extremely helpful and polite. The room was cozy and comfortable. The food was good and the service prompt.,SameerMan,/Profile/SameerMan,"Mumbai, India",50
shimla,Extremely pleased with the hospitality of Stock Wood Resort. I had heard about Sh. Narendra Verma regarding his hospitality services and I actually realized the same when we reached at the resort. He is truly a gentle guy and provided us upgraded room even though I had booked it for the base room. Food of this resort should never be missed by guest who comes to stay at this resort. Preparation of food along with presentation was very nice.   This is a very nice property located at a serene place and has a worth for money and very closeby to Golf Course. One should never expect luxurious rooms but it has all what a resort should have. Beds and other furnitures are intact and good. I can't forget to mention that Sh. Verma's team memembers are also very good and nice. I remember,jitenderkrchalia,/Profile/jitenderkrchalia,"Chandigarh, India",50
shimla,"Nice place. Nice location. Service and hotel staff is very supportive. Manager is very much friendly,  personally take care of his guests. Overall excellent stay. If i will get chance in future, i would like to stay again. Thanks for the stay",Sumit S,/Profile/SumitS2442,,50
shimla,A very peaceful place.Pleasant weather through out the day ...Resorts light music in corridor and hall was soothing to the ears..Very good staff managed by Manager Mr NK Verma.My family enjoyed a lot .Good ambience .Rooms are clean .Very quick service. Thumps up to the very cooperative staff.Thanks for the event organised for the guests which made the trip more enjoyable in the night....,Ajay V,/Profile/659ajayv,,40
shimla,"It was time once again to go on a family trip and like always I chose an offbeat place called Naldehra. Had heard a lot about the place and it’s picturesque scenes.  We stayed at the WoodStock resort and had an enjoyable and pleasant stay. The deluxe room had a great view full of dense deodars and green mountains. The food served was also of homely taste. We enjoyed a good get together and team building games organised by Mr. Narender, the manager of the resort. The resort itself is located among a dense green forest filled with deodars and the air was so pure out there. We loved it.  We did water rafting in the river Sutlej, along with horse riding in the vicinity of the golf course. I recommend the resort due to its mystical location and good accommodation facilities.  ",Sameer S,/Profile/SameerS1709,"New Delhi, India",50
shimla,"Resort is located 20KM away from city, in the peaceful valley, where the view is also great. Staff at the property is also very accommodating & their food is also good. Lot of attractions nearby to catch up....",1979sandykool,/Profile/1979Sandy,"Gurugram (Gurgaon), India",40
shimla,"Great location. Adjacent to the road on an incline. The resort is 40 minutes from Shimla. Mr. Verma, the manager, is a pleasing person and goes the extra mile to make the guest comfortable. The car parking is 100 m away at a vacant place near a temple. Service is quick and food is great. Rooms are clean and spacious. Our room # 202 was elegant and the view from the window was soothing. Indoor games are available to keep the little ones busy . . Strongly recommended, especially if travelling with family.",vksdel,/Profile/vksdel,"New Delhi, India",50
shimla,"Best place to visit IMO, not as busy as Shimla. The manager and staff were excellent. Room was spacious and clean. Good attractions nearby and the food was good also. Place is ideal for those looking for a hill station getaway and avoid huge crowds. We can't wait to go back.",Harman D,/Profile/HarmanD62,,50
shimla,"Visited  this place recently .. location is good except its  on road  so sleep quality is not very great .. food is ok type a professional chef missing .. the best part of the resort is Mr Verma ( Manager ) ,very nice guy specially in playing games in evening to keep all  guest engaged  & second best part of resort is its surrounded by village , peaceful & green for walk lovers ",Mohan S,/Profile/MohanS281,,40
shimla,A Group from I AM TOURS INDIA from Pune stayed at Woodstock Resort in May2018. I must say that it was an amazing experience...the hotel surrounding is great...very quite and peaceful...far from the city area...meals / rooms great...and hotel staff very co-operative...i would surely recommend this hotel... Leena Shinde from Pune,LEENA S,/Profile/LEENAS457,,40
shimla,"We visited Woodstock in early may. The options we looked at was either Chail or Naldehra and we decided on Naldehra because of its vicinity to Tattapani. This is indeed a hidden gem, a quaint property surrounded on all sides by trees and hills. The room we stayed in was Super Deluxe which had a sitting area by the windows with breathtaking views of the Shimla hills. The manager and his staff totally pampered us. They arranged a trip for us to Tattapani what has a beautiful lake. In the evening we enjoyed a bonfire and snacks. The food was simple yet homely and delectable. Overall, a great stay and will definitely want to come back again. A perfect place for connecting with nature.",gursagarpuniah,/Profile/gursagarpuniah,"Chandigarh, India",50
shimla,We wanted to get away from the blazing heat of the city and ended up at Woodstock. Our visit to the property was wonderful. The rooms were clean and the food was delicious. The view from our room (the suite)  was something I could never grow tired of. The staff was very friendly and helpful. The manager of the hotel kept an entertainment night for all the guests which just added to the fun. The hotel is located in a very peaceful area and is the perfect getaway destination!,malikasingh17,/Profile/malikasingh17,"Chandigarh, India",50
shimla,Though outskirt what a lovely and peaceful and pleasant location.  Service provided was best in class.   Rooms neat and clean furniture in room was of superior  class  Can be recommended to anyone who is true nature lover.  Overall Rating 9 out of 10,prashantppakle,/Profile/prashantppakle,"Mumbai, India",50
shimla,"We visited there in march and it was a very pleasant stay.This is a peaceful place in lap of nature away from hustle and bustle of city. It is around 25 kms from Shimla. They have courteous staff, provides awesome service. Food served was fresh and delicious.   All rooms have nice view. Mr. Verma is a good host . He even organised get together in evening for all guests, various games were played, it was refreshing and engaging activity.   I would definitely want to visit there again.",Garima D,/Profile/705garimad,,40
