location,review,name,user_profile,userloc,rating
tehri-gharwal,"This campsite in total has 25 tents and 2 cottages with attached washrooms, iron beds and 24/7 electricity. The tents are spacious enough to accommodate 3 people.  This place can easily accommodate large groups.  They have an activity area to give you a gist of adventures. You can even go for a trek/ nature walk nearby.  The staff was very cooperative and friendly.  NOTE:  - Meals provided were basic (c'mon guys its a camp, not hotel)  but good  Menu like poori bhaji, bread butter, poha etc  - ROUTE TO TAKE: The preferred route should be via -Mussoorie as Rishikesh route is under construction 🚧. - Parking is not a problem.",Sonakshi & Samyak,/Profile/shortsnshots,"New Delhi, India",40
tehri-gharwal,"Stayed at camp carnival with friends and family last week. Things that stood out for us were cleanliness in general, great location and courteous staff constantly taking feedbacks and ensuring that service is upto our expectations. Food was good and rooms were neat. It has quite spread out area. Some of the step-farms are east-facing (providing nice morning sunshine) whereas others are west-facing ( that hold good amount of snow even after couple of weeks of snow fall). Having stayed at multiple camps at Kanatal, can say that this was my best experience so far. ",Pankaj G,/Profile/pgairola,"Noida, India",50
tehri-gharwal,"Camps in this area have more or less same facilities and and available services. However Camp Carnival stands out from others on account of its better services and courteous staff, always ready to help. We just walked into this camp as we got fedup with the one one we were staying and with in 5 minutes we decided to move in. I would say it was a good decision which paid off in terms of excellent service (thanks to Mr. Venkatesh , the manager) which included a nice and personalized bon-fire , neat and clean tents, sumptuous food , in general hygienic environment, all coming at a very reasonable cost. I would recommend this camp in this area as value for money proposition.",Ashwin S,/Profile/ashwinsahay,"Gurugram (Gurgaon), India",40
tehri-gharwal,We 3 couple with kids went to Kanatal to enjoy the snowfall. Earlier we had booked ourselves in a resort after hearing rave reviews but the shabby quality and the service made us cut short our stay. While walking around we came across this somewhat non descript place. Taking a chance we booked this place for 1 night. This indeed turned out to be a very good move as this place is very clean well maintained and headed by an exceptionally customer friendly manager Mr Venkatesh. Not only was he always supportive but also going the extra mile to ensure customer delight. He handled tricky situations with finesse and tact thereby ensuring all his guests remain happy. Typically in hill stations kitchens shut down bit early in evening and hotel management compels guests to have their,hpant,/Profile/hpant,"Noida, India",50
tehri-gharwal,It was a very nice experience staying in camp carnival good food quality & very cooperative staff! Location & service of staff was awesome! I would like to suggest if anyone wants to enjoy campING please book you will not be disappointed by the staff!👍👍👍,A Ram,/Profile/A9727S,,50
tehri-gharwal,Great experience with amazing food and service. Tents were neat and clean with supply of hot water. staff is really friendly and cooperative. Amazing scenic view. A truly nice experience recommend to visit this place with Family. Thank you Camp Carnival for lovely memories..,Devjeet S,/Profile/DevjeetS9,,50
tehri-gharwal,"extremely mismanaged, extremely impolite staff, even the basic amenities are missing, most of the activities were said to be UNAVAILABLE, staff misbehaved with my family members. would never recommend this to anyone.",sanchit g,/Profile/331sanchitg,,10
tehri-gharwal,First of all Good Food and Staff was friendly. Service was nice. Location of camp site is pretty good. Various adventure activities are also included which were performed under supervision of group of experts. Recommend others to visit this place   ,Atul T,/Profile/554atult,,50
tehri-gharwal,"Was initially hesitant to leave the comfort of a hotel and stay in a camp. Had extensively done research and had found mixed reviews of camp stays, including Camp Carnival. Decided to try it out after insistence from spouse who had a pleasant experience with this camp, and can say it ended as a good 2 days spent here. Folks from other groups were fun to be with and we enjoyed the bonfire to the core. The camp facilities were up-to-the mark and clean. Even the food was good. Being a foodie, good food is a MUST HAVE for me.  Honestly, the camp stay is good from the infrastructure wise, but the real fun is when you have decent company from other travelers.",Amit V,/Profile/Amit_Vashishtha,"New Delhi, India",40
tehri-gharwal,"amazing trip  we were planing for camp but we were amazed to see location,service,place,food,dancing,arrangement's,party, adventure activity  staff very friendly and happy to assist you and owner is a jolly person. guys camping here was the best experience my friends and i ever had",Nitin V,/Profile/NitinV259,,50
tehri-gharwal,It was a great experience with all amenities provided by camp . staff was very friendly.  Meals - V.Good Camp - good (as expected ) nature beauty - memorable  overall - i will recommend to visit and enjoy the moment :),Ashish P,/Profile/AshishP1560,,40
tehri-gharwal,"we enjoyed a lot, it was really a wonderful trip. The beautiful mountain scene, i felt as if i am more close to the nature.all in all it was really an awesome trip. will suggest everyone to go their at least once",nikhilsingh1106,/Profile/nikhilsingh1106,"Ghaziabad, India",40
tehri-gharwal,I had a wonderful experience staying there for a night...  I appreciate their hospitality...  Nice food and beautiful location... Memories created here will be cherished for a long time ....  I would recommend Travellers to choose this place..  It would be a cherry on the cake..,350dikshag,/Profile/350dikshag,,50
tehri-gharwal,Good Food and Decent Tents. Staff was friendly. Service was nice. Location of camp site is pretty good. Various adventure activities are also included which were performed under supervision of group of experts. Recommend others to visit this place. 👍🏻  ,Jasveer S,/Profile/JasveerS35,,40
tehri-gharwal,My first trip in hilly areas. Decent and tasty food but tents are not great and 24*7 hot water supply is not there. Camp is situated in the lap of nature and had really good time there.I recommend people to come and stay here as this maybe your one of a lifetime experience same as us.,Ananya N,/Profile/405ananyan,,40
tehri-gharwal,"A very nice experience there, thought we missed our first day breakfast, we enjoyed the fullest. The Food is awesome especially Paneer tikka, chilli paneer and chilli chicken which they serve as 2+2 snacks. Thank You Sunil Ji for being there to set a milestone for HOSPITALITY.  We were a group of 38 people from Tech Mahindra Ltd. And each and everyone now can say that they have a lifelong memory with them.",Kunal G,/Profile/KunalG483,,50
tehri-gharwal,"A basic adventure campsite with decent tents with clean washrooms, fresh and tasty home like made food, wonderful service by dedicated staff and above all a great location with sunrise and sunset views.  Groups are engaged in various adventure activities conducted by trained instructors like rappelling, rock climbing, zip lining and river crossing technique.  A couple of night stay is recommended as you can take a trip to Tehri Dam Lake for water sports activities which is just 35 kms /1.5 hrs from Camp.",royalescape,/Profile/royalescape,"Jaipur, India",50
tehri-gharwal,"The camp is located roadside and its back side is covered with dense Deodar trees. Tents are tin covered with actual Tents and inside of the tin covered with white or printed cloth. Tent interiors are plain and bedding could be improved. Washrooms are ok and hot water is provided kn the morning. Food is good. There are many tents so you can ask for a secluded front tent, as many tents are on terrace steps but their fronts are adjacent to each other. Some tents can accommodate more than 3 persons too, with some extra cost paid you can ask for them too. Food is good. And staff is friendly. Weather can change real quick so keep woolens whichever time of the year you reach there. Ours was a weekend trip so was a little tiresome. Parking space in this camp site is huge. The",Sanchit G,/Profile/30_Sanchit,"National Capital Territory of Delhi, India",30
tehri-gharwal,"Ambience, weather, adventure and safe place to camp.. If you are looking for all this then you can put an end to your search..Mr Sunil along with his team is an active caretaker of this camp and he will not let you down.. He along with his boys took utmost care of all of us and made our stay absolutely memorable :) ",Shamila S,/Profile/379shamilas,"Goa, India",40
tehri-gharwal,"I was at camp for two days 26th May and 27th May.  Stay was good all arrangements right from tents food and hospitality also surrounding was excellent.  To mention the food was good , even with family I didn't faced any problem.  The total staff was very cooperative and helpful. ",rv_rajan,/Profile/rv_rajan,,40
tehri-gharwal,"Superb location, Comfortable Stay, coordinating staff and Lip smacking meals. ""Each tent has attached bathroom, service, amenities, food are at its best.""  It was really nice experience , the food was really nice not expected that the tent is so clean and services are amazing the location of this camp is mesmerizing , staff is really helpful plus they have the most amazing DJ who played really rocking songs, if i have to visit Kanatal again I will prefer camp Carnival , Amazing experience.",rohit p,/Profile/1raysupertramp,"New Delhi, India",40
tehri-gharwal,"When I rate them 5 Star it is not for the 5 star amenities that one should start expecting. These 5 stars are for the following :  1. Scenic location of the camp 2. Beautiful setting of the Tented cottages 3. Highly motivated and helpful staff 4. Awesomely lip smacking food. Hardly any camp would offer such a wide spread menu. 5. Adventure activities under the supervision of trained and experienced staff.  I have been at Camp Carnival on four occasions with my family and other groups, and they have never let us down. Their staff under the able leadership of the owner Mr. Sunil Sherawat, is very helpful and they are always on their feet to serve their guests to their delight. We thank Camp Carnival for excellent hospitality and look forward to visit many more times. (Shailesh",Shailesh_Indore,/Profile/Shailesh_Indore,"Indore, India",50
tehri-gharwal,"Camp carnival provides best food with best quality and hospitality. camps are well maintained with clean attached bathroom.  they offer activities with very best safety and arrangements, now thinking to visit again with my family.   Special Thanks to Mr. Sunil.",yogeshkumarsharma89,/Profile/yogeshkumarsharma89,"New Delhi, India",50
tehri-gharwal,It's a very good trip for kanatal. Camp Carnival is a very good choice for us. Food was really very nice and staffs are very friendly & politie. Location is very good. Include package was really good and we are enjoying very much. Thanks Mr.Sunil/Mukesh and Subham from Camp Carnival.,Chandranshu R,/Profile/ChandranshuR,,50
tehri-gharwal,"My family had visited the place earlier once and the scenic beauty along with the overall hospitality that the camp has to offer made us choose it as the perfect place to start the new year. The location of the place is, cleanliness of camps and the hospitality provided by the owner is what makes this place a perfect destination to go for a short stay with friends and family. The adventure activities such as river crossing, rock climbing that are included in the package makes the experience further more enjoyable and fun. Both children and adults enjoy the activities they have to offer and as we went on the new year's eve, they were also hosting a grand party for the guests. Another best part about this place is the food, the food they prepare is very homely which further",Kunal B,/Profile/103kunalb,,50
tehri-gharwal,"We were visit there at the tym of new year and the camp was very neat & clean. Food was Awesome. Awesome Crowd. and really enjoyed bone fire , Music , Adventure rides and very well maintained staff . best deal for us..",sahilkalra424,/Profile/sahilkalra424,"New Delhi, India",50
