location,review,name,user_profile,userloc,rating
tehri-gharwal,"I had stayed at this resort for two days , property and view from the property is too good . This resort is good for enjoying the scenic beauty and peace .  The few things which bothered me a lot is untrained staff and over price food items.  Otherwise it’s a good resort to stay in this area .",Mind Your Style,/Profile/mindyourstyle,"Sahibabad, India",30
tehri-gharwal,#host Mr Pardeep all F&B team Club mahindra kanatal  Great experience with the Family. Homely environment.Food also gorgeous. Thanks CMH for making my stay memorable specially Mr. Sandeep.   Wish all the best to the kanatal team.   Thanks Harish Tyagi,Harish Tyagi,/Profile/Harishtyagidelhi,,50
tehri-gharwal,"I with my sis and mom stayed at Kanatal club mahindra for 2 nights in Nov last week.. Its a huge property with a good location. It has ample amount of space for Car parking, huge entertainment/fun/activity zone with Karoke (which we enjoyed a lot and hence started expecting it to be at all CM properties) , badminton, TT, chess,ludo, cards etc. The activities carried out in the evening by the hosts were fun and interesting. It has a gym with basic amenities and superb view. Food as usual is over costly at CM properties and hence we always hogged at the small adjacent eating joints. There are not much options nearby but just two small eateries to sit and eat. Monkeys are a problem in the entire of Uttarakhand and so was the case in kanatal as well. So u cannot enjoy the balcony",rmarkar,/Profile/rmarkar,"Thane, India",40
tehri-gharwal,Had wonderful stay at club mahindra kanatal. Staff hospitality & service  were so good. Kodiya range is best view point.  Beautiful location from rooms blaconey. Host team front office were so good during our stay.,shahsurgicalvalsad,/Profile/shahsurgicalvalsad,"Valsad, India",50
tehri-gharwal,"We enjoyed a lot at club mahindra kanatal.  Went for kodiya forest amazing view point natural beauty. Staff  hospitalty were so good. Host team front office made it possible. I wolud like to mentioned few name, Sanjeevmanoj, neha, ajay.",Janmey P,/Profile/janmeyp2018,,50
tehri-gharwal,Wonderful stay at cm Kanatal. Beautiful property & staff hospitality. Amazing Shivalik range view from rooms balcony. Kodiya trail one the best attraction of the property. Thanks to team front office who made our holiday memorable.,Vj1403,/Profile/Vj1403,"Mumbai, India",50
tehri-gharwal,"Stay was wonderful & comfortable. Staff hospitality were very good. Rooms location were very good. Team front office were good their hospitality. Kodiya landscapes were so beautiful. Sanjeev, manoj, Neha, were very good.",Jayesh.shah,/Profile/Jayeshshash12,,50
tehri-gharwal,"Wonderfull stay & services at club mahindra kanatal. Kodia forest was one of the best nature trail. Staff hospitality were very good. Front office were wonderful. Thanks to them for making our holiday memorable. Sanjeev,manoj,neha,ajay.",Satish.londhe,/Profile/Satishlondhe,,50
tehri-gharwal,"Great stay, awesome property with mind-blowing views of the mountains surrounding the area, very humble and supportive staff, good in-house activities and outside activities as well, Mr. Nitin did a great performance and Mr. Pawan was a humble and patient Host.",Himanshu Chhabra,/Profile/Heman012,,50
tehri-gharwal,"Wonderful stay at Club Mahindra kanatal. Staff hospitality & property were awesome. My daughter enjoyed a lot.Team front office made our holiday memorable. Sanjeevani, Negative, Manoj, Upendra were amazing.  Would like to visit again.",Neha123,/Profile/Neharagu123,,50
tehri-gharwal,"The location is very peaceful, few kilometres from Chamba and 1 hour away from Mussorie. Food and services - 5/5 Rooms - 4/5 Staff helpfulness - 5/5 The only drawback is the quality of the gym equipments. It is not well maintained. Also, a swimming pool, jacuzzi, etc would be great in this location.",Sagar Rachh,/Profile/rachhsagar,"Mumbai, India",40
