location,review,name,user_profile,userloc,rating
tehri-gharwal,"Stayed a couple of weeks. In this time received no fresh bed linen EVEN after requesting. No fresh towels either. The staff pretended they’d run out. Water heater didn’t work at all so cold showers the whole time. Cafe is mediocre. Not open all the time. Sometimes they didn’t have change when I paid for food but never got reimbursed. Staff hung around smoking weed. Evenings are hellish if you’re trying to sleep, due to the constant parties that happen on the roof.",Hughdunitt,/Profile/Hughdunitt,,20
tehri-gharwal,"We had a great time at the hostel, the staff were very engaging and welcoming, the accommodation was excellent, and just an all round positive and friendly atmosphere. Would definitely recommend, thank you!",Foxglove,/Profile/Scarlets4949,,50
tehri-gharwal,"A fine place to stay, each dorm has a dedicated comfortable bathroom with conventional toilet, not the Indian traditional one. There are lots of areas in the building to hang out and have a great time, hostel staff are literally Rock Stars, they play as a band on their own concerts when they don't work on the reception desk. There are lots of interesting customers to get acquainted with, and the rooftop cafe inspires to get in touch.",Gleb Syrovatskiy,/Profile/GiuseppeGlebinho,,50
tehri-gharwal,"We stayed 3 nights. The staff are incredibly friendly, fun and polite. Cleanest hostel i have ever seen. I'm lucky to stay there. I would definitely stay there if I go again to Rishikesh. It has a rooftop with excellent views. The foods are very tasty. There are many restaurants, cafes, shops around the hostel. You can easily reach the center of rishikesh from here. I highly recommended! 🖤",Derya T,/Profile/561deryat,,50
tehri-gharwal,"I all honestly enjoyed my stay there for more than a week, cool people, damn friendly why maybe i spend most of the time in the rooftop cafe playing cards and chess and so much laugh and fun. Everyone spread positive energy. Clean and tidy room and great service. Anyone would love here.",Suhail soudha,/Profile/suhailsoudha,,50
tehri-gharwal,"Best place to stay at Tapovan! This is located in the Mahananda Complex on the highway. Bonus is close proximity to Cafes, Restaurants, Bus and Taxi stand, Lakshman Jhula. It's a very comfortable and quiet place. There's a cafe on the terrace has a natural affinity with like minded people.Cafe filled with Books,Music,the view of the mountains at the back drop -what else! Yoga classes also available on request.Like other travelers, I have extended my stay than expected. It's a great place for the people looking for a long stay. Thumbs up for the good, quality, comfort stay at affordable prices! Staffs were very polite and helpful. They have provided all the travel tips and directions accurately.Thank you very much!  Note: The room with balcony has more privacy than the other.",Root_to_sky,/Profile/Root_to_sky,"Bangalore District, India",50
tehri-gharwal,"Delicious food,Friendly staff members,  cosy rooms and  goodvibes what more do you need ! I wish i was there for longer period.  A place for seekers and adventurers.  There are yoga classes,  didgeridoo classes daily. ",Vijin V,/Profile/vijinv2019,"Byron Bay, Australia",50
tehri-gharwal,Into the unknown is a wonderful place located close to Tapovan area . People are excellent and rooms are well maintained but only basic facilities are provided . Honestly value for money what one spends . Excellent place for solo travelers and backpackers . Thank you for ur hospitality. Look forward to visit again . ,Balagi C,/Profile/balagic,"Dubai, United Arab Emirates",40
tehri-gharwal,"I was supposed to stay in this hostel just for few days and I ended up staying more than one month! The atmosphere here is very friendly and I really felt like home! The stuff is very helpful and the rooms are clean. There is also a rooftop with a noce view of rishikesh.The location is also good, a nice ten min walk to laxman jula. They organize many activities such as yoga classes, trekking, sound healing and more... highly recommended",Desi,/Profile/Desi1994abc,,50
tehri-gharwal,"it was good, just want to add that there should be drinking water facility at every floor . it was my first of this kind of stay. so i enjoyed it. met people of different countries had a chat with them and what's their purpose and all. people at reception were good.",TARUN,/Profile/kedia21,,40
tehri-gharwal,The room was very clean and the structure well made and well cared. The guys that working here are very funny and available to any request. The food is also good! The hostel is in the upper part of Rishikesh and so very close to the city's heart. I knew many friends in my permanence here and I'll enjoy to come back if I'll be near Rishikesh in future!,Luca Gangarossa,/Profile/LucaGangarossa,"Milan, Italy",50
tehri-gharwal,"This hostel has 2 different options for sleeping: 1. Sharing. Room with 3 other people ( not mix rooms  , just with your gander) . 2. Private room for a very good price , especially if you’re couple .  I will be very specific about what i liked the most in this place- the stuff are AMAZING! Young, open minded people whom you can talk just because. There are some open areas where you can practice in yoga or chilling. You can get there food most of the hours every day(8-24) for normal prices compare to the city. The location is a bit far from the yoga centers( around 15 minutes walking) but its also closer to the city itself (other words- you can arrive/left easily)! Very safe, quite place. They have hot water the all day long which is something to mention in this city. I’m young",Hagar Bar,/Profile/hagar_bar,"Tel Aviv, Israel",50
tehri-gharwal,"If you want somewhere safe and clean with good price, I recommend this hostel... some of the staffs were friendly and respectful, some other careless in social communication, however it should be considered that the water supply in 4th floor was not good at all... the hostel has elevator but unfortunately it was out of work in 9days I was staying there...",Sarah,/Profile/sarahrezapour,"Tapovan, India",30
tehri-gharwal,"Clean rooms, allowed early check in without extra costs. Nice environment and ambiance. Please hire scooty from outside.Owners follow the Indian Standard Time( so expect delays ). Nicely located property. Jumpin Heights office just opposite( For bungee jumps).",Shivendra,/Profile/estshivi,,40
tehri-gharwal,"At this price, it is an amazing hostel to chil & relax.. 4 bed dorms are quite spacious with attached bathroom (i was lucky enough to have a balcony as well).. Its guys who are working there (vicky, rohan, rohit etcc) steal the show.. they are so nice & haopy souls that i enjoyed talking to them.. the only thing which needs to be improved is the social environment.. the common areas is awesome but it was lacking the backpackers vibe to some extent.. else totalt satisfied.. cheers to all happy souls there.. :)",jigs14,/Profile/jigs14,"Jamnagar, India",50
tehri-gharwal,"I will stay 12 days in this place and I really liked it! Rooms are clean with a balcony with a nature view 😍 The staff is really sympathic, always in a good mood, all this guys are very smily everyday! Sometimes they play music, or skateboard or baseball.., you can join them after your journey and it's a real pleasure. The cooker is also sympathic and a very good cooker. The food is simple but tasty and healthy. Good place to stay 😉",Alicia fez,/Profile/Aliciafez,,40
tehri-gharwal,"Stayed with these guys last year and came straight back this year. Great vibes awesome staff as well. Vickesh is the man. They are Honest and genuine and definitely looking out for you while your with them. Seriously cool bunch a great laugh and you know you can trust them.   Rooms and beds are fine, nice chilling area, always something going on.   5*",Michael C,/Profile/H3101HImichaelc,,50
tehri-gharwal,Liked the presence of everything here!! The welcoming counts a lot and these people have made it very lovely. Though we couldn't use much of time here as we have arrived late but we liked the stay over all.,Sherpa40173545139,/Profile/Sherpa40173545139,,50
tehri-gharwal,"Budget friendly accomodation.Very helpful and friendly people.Very clean and have a creative chill out place on ground floor.There are lot of options for food and other neccesaties near by .For elderly,its a bit far away from Ram Jhula,takes 30-40 minutes of walk to attend Parmarth Aarti,if you have a vehicle then it shouldn't be a problem.",Tanishk Singh,/Profile/BackpackingWithWind,,50
tehri-gharwal,"The location of the hotel is very sorted having easy access to restaurants, regular shops and the best thing is Laxman Jhula is walking distance. Talking about the ambiance of the hostel. The reception area is big and spacious and has provision for relaxing..reading ..meditating along with playing PS4.  The sitting space has enough capacity for a group of atleats 15 pax to sit and relax. The rooms are spacious with comfortable bunk beds.. provision of hot and cold water in bathrooms. Totaly safe for one and all. SHOULD TRY IF IN RISHIKESH..!!",MATEUS,/Profile/away_wander,,50
tehri-gharwal,"Room was very nice and Clean, Service was very good, And staff was very helpful. Location was near to places we wanted to roam around. Staff helped us in renting an active as well. The place we stayed was very peaceful.",Jigisha,/Profile/JigishaPrajapati,"Ahmedabad District, India",50
tehri-gharwal,"Cooperative team, the stay was very nice and above expectations. The place was clean and beautiful. Environment was full of peace with the beautiful view and one can feel the creativity which is spread all over the place.  I just love my stay with Into The Unknown.",Happiness829689,/Profile/Happiness829689,,50
tehri-gharwal,"I joined the Yoga Teacher Training at Rishikesh which included the accommodation. So, I stayed there for almost a month. I was so brave to visiting India on my own as a female. The staff is so warm & friendly. I had a wonderful experience being there.  The only drawback was unstable supply of the hot water. I went there in winter time which was around 10C, I remember I had several cold showers at night during my stay. Fortunately, I didn’t get sick, haha~ Anyway, I recommend this hostel to you. ",Michelle Yau,/Profile/michelleyau1231,"Hong Kong, China",40
tehri-gharwal,"This place is really pretty and is such a nice place to relax in. The guys that work here are cool and really helpful. We were in a pretty incredible location, with loads of things to do nearby. It was a lovely place to stay in Rishikesh, and we would definitely come again!",UshaBholah,/Profile/UshaBholah,"Bristol, United Kingdom",50
tehri-gharwal,"We stayed there for three nights in a dorm room with a/c, fan and great views with personal toilet and terrace. The room was clean.  The staff was super helpful specially ""Honey"" and Roshan. Always with a smile and good attitude. ",Federico S,/Profile/742federicos,,40
tehri-gharwal,"Friendly, relaxed stay...loved everything at this hostel...Staff are pleasant and good service...beautiful green environment...people i met here were awesome...this is the 3rd time I stayed at the property.",sukhdeep2014,/Profile/sukhdeep2014,"New Delhi, India",50
tehri-gharwal,"Sometimes as a solo traveler you can feel a bit lost and lonely, but you will never feel that way at ITU! Such a friendly atmosphere and the communal spaces are full of laughter, music, yoga and art! The staff really works to make sure you're having a terrific experience in Rishikesh, and by the time you move on you will have met some lifelong friends!Staying at ITU made my time in Rishikesh more fun and meaningful. Rahul is especially caring and kind.",Riley J,/Profile/RileyJ74,,50
tehri-gharwal,"Love The Name ""Into The Unknown""  Hostel has a very pleasant environment. Staff is friendly and they keep you engaged with lot of fun activities..hostel is clean and its a giant structure. Would recommend it to my fellas.....keep it up team Into The Unknown!!",rebeccabagde,/Profile/rebeccabagde,"Dharamsala, India",50
tehri-gharwal,"I happened to book this place very last minute, and i love it.  Would recommend this to every traveller going to rishikesh. Its one big hostel with the cool vibe..! Nice and clean environment..friendly staff.",elizabethchapman74,/Profile/elizabethchapman74,"Rishikesh, India",50
tehri-gharwal,"It's very low cost budget hotel with nice staff, whose make an arrangement of yoga session, live music concert at free. get interacted with various people who came from across the world. In a one word: Memorable.",Nimesh S,/Profile/NimeshS106,,50
tehri-gharwal,The hostel is 10 minutes walk from Laxman Jhula Bridge. They have a hanging out area downstairs that is very cozy and you can meet a lot of people staying at the hostel.  The staff organized trips for us to nearby temples. The staff is great and we got along very well. Helpful and friendly.  Rooms are clean and they offer you the minimum necessary for sleeping.,dorinoltean,/Profile/dorinoltean,"Cluj-Napoca, Romania",50
tehri-gharwal,This place was very neat and comfortable. The location is very close to Laxman Jhula and its on the main road. Himanshu was so nice and a very good person. He helped me out throught out the stay. I will come back again very soon.,Manoj P,/Profile/manojp684,,50
tehri-gharwal,Zostel is far better than this though they are trying to catch the ambience of zostel But the design is confining them. The room is average n staff is not serious at all.Always trying to have a joke all the time,Teja S,/Profile/TejaS212,,30
tehri-gharwal,"the stay was cool, budget hostel with good comfort levels for backpackers If you are visiting Rishikesh for a few days or months, it's the best place to stay in. Into the Unknown we will be back for sure.",vishnu_macha,/Profile/vishnu_macha,"Hyderabad, India",50
tehri-gharwal,"After having a stressful experience with the hotel in Haridwar, Into the unknown was a breeze of fresh air( literally). Everything was up to the mark, we experienced a top notch facility with a beautiful view from our window for peanuts. The guy at reception Vicky was super friendly. If you are visiting Rishikesh for a few days or months, it's the best place to stay in. Into the Unknown we will be back for sure.",dhananjai p,/Profile/dhananjaip5,,50
