location,review,name,user_profile,userloc,rating
tehri-gharwal,"This beach is around 12 km from Rishikesh it is famous for river rafting, beach is very neat & clean, you can drink these water as well, it is a white send beach, there is many option available for rafting. if you want to stay in camp then you want to go 12 km ahead from Shivpuri to Malakhundi, there is many camp sight around 2000 - 4000 Per Night",Himanshu Jain,/Profile/HimanshuJ346,"Jaipur, India",50
tehri-gharwal,"The river rafting in the clean cold water of Ganges gets a five star along with the camps of the MHE beach camp. we traveled in a group of 10-12 people, all vegetarians and were bowled over by the hospitality and the good food. loved the barbeque spread that they arranged for both the nights. The beach sand was so clean. no mosquitoes too. we went in Feb; sorry for a delayed review though. but it was pending. had to recommend MHE beach camp because of the location, view, tents and hospitality. we had an awesome time camping.",EffortlessTraveller,/Profile/EffortlessTraveller,"Mumbai, India",50
tehri-gharwal,"7+ hrs from Delhi, road not great, worth the trouble, Ganges in its might. Basic amenities, tents, fantastic hospitality, good food, carry your own toiletries, relax on the sand, take a dip in the river, life jackets is a must. Overall a worthy experience .... Adventurous kind can do more on request .... ",NadeeemA,/Profile/NadeeemA,"Bengaluru, India",40
tehri-gharwal,"I I travelled solo to the mhe beach camp and was bowled over by the professionalism, crew service and the beauty of the place. I went rafting with Arjun and apart from being a great story teller he made sure I had lot of fun rafting, body surfing and most importantly making it a safe activity. Sonam, Ben dhruv and pavan made for great conversations and it was awesome to know so much about the place, the sort of stuff mhe does n justinteresting travel n adventure stories. There are tons of camping operators at rishikesh which may give you a camp n a raftactivity, but if you want a well rounded experience,I would certainly recommend these guys. And the best part about this is the camp location... It looks like a million bucks n will definitely make you cut away from all the stress",Disha H,/Profile/DishaH,Bombay,50
tehri-gharwal,"Excellent three days and two nights at this beach camp.  Our tents were clean, the food was EXCELLENT, and toilets/showers hygenic.  This camp is located right next to the clean, cool, beautiful Ganges as it gently bends around a hillside.  Absolutley lovely.  Staff were attentive and took great care of us.  Did I mention the food was great?  =)",KoosKoos23,/Profile/KoosKoos23,"Berlin, Germany",50
tehri-gharwal,"So this was my 8th trip to Rishikesh for rafting, and my first stay at MHE. Overall the camp was not bad from any angle, however they really need to improve on their efficiency.   We drove from delhi With Drivers and I informed the camp before leaving that we would require stay for 2 drivers as well. The person said it costs Rs. 1000 per night per driver, and I told them that it would not be an issue.  We reached there and went towards the camp. I told the drivers to relax and lie down and rest after a hectic 10 hour drive.  I called my driver 4 hours later to ask him how the room was and he said that they are still waiting at the office as the person has not given them rooms. I went to the camp manager and informed him. He said he will take care of it in 5 mins. I called my",kunal686,/Profile/kunal686,"New Delhi, India",30
tehri-gharwal,"i spend two days with my friends in camp,,really very nice place.Never thought something this much adventures with excellent food,beautiful and comfortable tents and awesome facilities..wanna spend my 1 week in a year at same place.i had much adventure there with lots of activities..this place not only refresh us also we gain lot of experience from it.",07anuja,/Profile/07anuja,"New Delhi, India",50
tehri-gharwal,"Been there second time and with office group. An awesome experience, everytime feels like new.  Too bad two days are too short a time for this bliss.  Professional staff, good food and amazing hospitality are still the benchmarks.  Keep it up.  Shishir Miglani",ShishirMiglani,/Profile/ShishirMiglani,"New Delhi, India",50
tehri-gharwal,Had a wonderful weekend with my boys.  Their first camping experience. Expected them to 'rough it out' but the camp and staff were such great providers that it was hardly a survival trip. The split level camp site offers a breathtaking view of the river from every tent. Rafting at Mhe is well organized. The staff is sensitive to and caters well to kids that leaves them with a feeling of achievement. A great getaway for the family... superfun!,Samta D,/Profile/SamtaD6,,50
tehri-gharwal,"MHE Camp :-) ) !!! Amazing place with the fantastic location, most comfortable and beautiful tents, quality food and very professional staff, I loved every bit of a moment during my stay, I thx the team MHE for the most  memorable stay with an awesome rafting experience. I strongly recommend MHE Camp not only  for the beautiful location but also for their professional attitude and guaranteed client satisfaction.",18ektasharma,/Profile/18ektasharma,Gurgaon,50
