location,review,name,user_profile,userloc,rating
tehri-gharwal,"It was an incredible experience, the breathtaking view of the himalayas, silence, peace, courtesy.  Although many things seem to be missing at the beginning, you immediately realize that instead there is just everything you need to start one of the most unforgettable trips you can do.  Times do not exist here ... Shiva from far controls and protects everything... sometimes he seems to be able to feel it . No word can be enough. Thanks for all.",Giovanna I,/Profile/137giovannai,,50
tehri-gharwal,"A beautiful little place called ranichauri nestled between chamba and masoorie,A place where you find your inner self. This place is a must for anyone travelling up to the lower himalayas in uttaranchal. A yoga retreat where you just need to see the snow capped mountains and heal your self.Thnks Mr Abhay Sharma for this lovely experience and am hating my self for living there just for 3 days...  The life of a village is something I wanted to show my boys and it turned out way more than that... The two little puppies taught my boys some real compassion. I discovered the other soft side to my boys when they were chilling with the pups. The staff was like a family and felt at home... Can't wait to be there again and just spend a week there just absorbing the energies this world has",sarthakp,/Profile/sarthakparikh,,50
tehri-gharwal,"The best staff you'll get anywhere. Extremely hospitable and took great care of us. My only feedback is - the approach road is difficult to find, have more sign boards and probably appoint someone from the staff to come to the main road to get guests",Kanwar C,/Profile/KanwarC4,,50
tehri-gharwal,Had a really good experience in pahadi house.The facility and gesture they provided was awesome and the hospitality is unforgettable.The food was also good and the staff was so co-operative.we would love to visit again. ☺️☺️,kajal,/Profile/kajalsaini,,50
tehri-gharwal,It was worth visiting there to refresh our mind. Best part of Pahadi house is Food and the service they are providing🎀All the staff members are very supportive👍will visit it again Recommend all to visit dis beautiful place,Sakshi,/Profile/Gargsakshi93,,50
tehri-gharwal,"Stayed here for a weekend. Just loved the place. The views of pine n grasslands make u feel like u r undoing ur city life for the time u r there. The lovely in house dog Monty is a darling. The kids kept playing with him till he had had enough of it ! Do not expect super luxury but the staff is very sincere in whatever they do. Also, the food is droolingly awesome, ended up earing almost double of what I usually eat on normal days. Reaching there can be tricky.The google maps direction ia a bit messed up. Ask for proper directions from the person coordinating with you for the stay , and you shall reach without problems. The walk from the parking to the actual place of stay feels like one of those retro bollywood movies shot in the hills, the song ""suhana safar aur ye mausam",Somanshu K,/Profile/somanshuk,"Gurugram (Gurgaon), India",50
tehri-gharwal,Pahadi House is located far off the main town i.e Chamba. Road to Pahadi Houses itself is very scenic.Motorable  road cut offs well before 300meters.There itself one can understand the what is the Pahadi House is. Situated in the heart of pine trees. There are Pacca house (4 Rooms) and three/four swiss Tents. Hotel staff is very helpful and expert in servicing the clients.Food is awesome. Cleanness is also appreciable.   Best place for family & friends.,shaileshu10,/Profile/shaileshu10,"Dombivli, India",50
tehri-gharwal,"Located at an edge of a beautiful valley of nature's bounty of trees and bird chirps, far off the concrete jungles and noisy daily life, sits this prettiest stay. I would highly recommend this place for those who really wants to dive in the heart of nature and wants to enjoy meditation, yoga, naturopathy & hiking, etc. If You are planning for a Calm and Peaceful kinda Stay, THIS ONE IS FOR YOU!",Arindam Roy,/Profile/arinz007,,50
tehri-gharwal,"best place for families and friends for trips . the rooms are really good . the best thing was that we didn't get bored even a single moment , because the view from the balcony is real natural beauty . and the rooms were clean and hygienic. services was also very good , all staffs are very much friendly . i would suggest for  if  you are looking for home like stay then you must book this one.",naveen singh,/Profile/dernaveen,,50
tehri-gharwal,The place is 2 hours from rishikesh. Perfect hideout for peace lover. Food is very nice and they grow organic vegetable in their farm. Team is very nice and helpful with good knowledge of pahadi culture and tradition.,VIKAS,/Profile/KomalPath,,50
tehri-gharwal,"This is really a nice calm place far away from cities hustle & bustle. I would highly recommend this place for those who really want to closer to nature want to do meditation, yoga, naturopathy & hiking,  etc. Apart from this those who love to read books this place is really a blessing for those. And this place is not for those who want to noisy place for their DJ party etc.",Vivek Sharma,/Profile/Wayfarer_507,"Mumbai, India",50
tehri-gharwal,Such a nice place for outing with friends & family to enjoy the nature of Pahad with this unique concept of Pahadi House in Himalayas I recommend people to visit and stay with Pahadi house team good hospitality nice food coprate staff and one thing their special tea with pakoda and spicy chatani in chilly weather of mountains,amit,/Profile/Solotravelleri,,50
tehri-gharwal,"If you are looking for a home like stay then just book this hotel fro yourself. It is good for both friends and families. We went along with my friends.  The stay was so good. We enjoyed every moment. When you are inside youe room, just enjoy the outside beauty from your balcony. Loved it.",Som S,/Profile/soms234,"Mumbai, India",50
tehri-gharwal,A perfect stay and a mesmerising trip for us. I will surely remember this place for a very long time. The facilities were too good.  Rooms wete clean and hygienic. The staffs were goodm. We did not go out for any meals and had it in the cottage. Nice and beautiful place for us. Recommended one.,Akshay Mathur,/Profile/i_am_akshaymathur,"New Delhi, India",50
tehri-gharwal,"We 4 friends visited pahari house from 10th Nov to 12th Nov.The cottage rooms were not at all good. It is understandable that these are meant to be like pahari house but basic amenities were lacking at this price point. Food was average. Owner Mr. Abhay Sharma was humble and understanding but it seems his staff is not supporting him.In nut shell ,not worth the money, can get better options in Kanatal.",Dr Vikas Aggarwal,/Profile/drvikasagrawal,,30
