location,review,name,user_profile,userloc,rating
tehri-gharwal,"I belong to uttarakhand and work in tehri garhwal. So being a localite I saw the resort from outside many times and this time decided to give a stay with family just b'coz of its location. My since thanks to Mr ashutosh,vikas and rajender ji who helped me n my family in all they could. But other staff has all the ego that you could ever satisfy.there is a lot of roadside construction work for all weather road going on the way so my car was fully laiden with thick dust on Windows and windscreen till I reached the resort.as driving on hills with a poor visibility is dangerous and doesn't look good for a guest  to wash his car in parking in front of other guests and passerbys So I politely asked one of the worker for a couple of buckets on the windows( of course with an extra tip).",Snowy,/Profile/Dehraduntraveller,"Dehradun, India",10
tehri-gharwal,"This resort undoubtedly has the best location in Devprayag and could have gone far and done fantastic business if marketed properly. However, such a beautiful property has fallen victim to its own policy failing, it seems.  When I tried to book it online, it showed ""Sold Out"" on all sites. However, on calling them 1 hour before we arrived there, they said rooms are available. When we reached there we were the only guests in the resort and we would remain so for the whole night. An eerie experience, somewhat!  The property looks neat and clean from outside but inside its shabby and lacks maintenance. I had to go through three rooms before I could find one that was livable. In one of the rooms lizards had made themselves comfortable, much to my disgust.  Even in the room I chose,",Debashis Mukherjee,/Profile/debmuk-traveller,"Gurugram (Gurgaon), India",20
tehri-gharwal,"Stayed here on 26 May for one night. It is undoubtedly the best hotel in Devprayag. The view of Sangam from the hotel is simply mesmerising. The rooms are good with scopes of improvement. The hotel staff are cordial and cooperative,particularly Mr. Vikash who is always ready to offer his helpful hand to everyone. The quality of food is good with moderate prices. Wish to come here again.",201411pp,/Profile/201411pp,"Naihati, West Bengal, India",40
tehri-gharwal,"We checked into this hotel thankfully for one night as part of our Ganges Tour.  Firstly we were the only guests in the hotel and were promptly shown to our room. The room was cold, damp and none to clean! Our bed was strangely made up with bottom sheet on the mattress then a blanket with a quilt on top. The quilt and pillowcases was badly stained and when shown to a member of staff they did change the quilt which in fact was not much better!  There was NO hot water supply but we were told they would turn it on on the morning so we could shower. The room was so cold and damp we asked for a heater which was duly supplied but this proved to have no effect on warming the room up as it was so damp. Plus the electricity supply went off half way through the night.  The night we stayed",lovetravelling247,/Profile/lovetravelling247,"East Sussex, United Kingdom",10
tehri-gharwal,"The location I'd like to he biggest draw. You can't have a better view of Sangam. The rooms are big in size, instead of balcony I would call it terrace. The food is average and room needs renovation. Since this is the only quality resort in Devprayag, you don't really have a choice. Most likely you would not stay here for more than a night and it's good enough for that. The resort manager is very polite and helpful. ",Vivek_Singh,/Profile/Vivek_Singh,"New Delhi, India",40
tehri-gharwal,"Every room has direct view to Sangam. Rooms are spacious and have balcony. Bathrooms are very spacious. For Gujarati community, food is the best. Resort requires overall renovation/ maintenance. For third floor, one has to climb too high. ",Vijay Patel,/Profile/Viijayhpatel2001,"Ahmedabad, India",30
tehri-gharwal,"I love to stay in Ramkund resort as they are comfortable and we can see the amazing view of the GANGA.  This view is amazing. I love to visit again and again for meeting, talking and blessing of Mother",Geetanjali2015,/Profile/Geetanjali2015,"New Delhi, India",50
tehri-gharwal,We stayed for a night in this property in Dev Prayag on our way to Chopta. Its location is beautiful overlooking the confluence of river Bhagirathi and Alakhnanda which is a must visit place for tourists visiting Dev Prayag. Service is efficient and staff is courteous. Not far away from the National Highway....,Chaman K,/Profile/ChamanK12,,40
tehri-gharwal,"The best part about the Ramkund resort is its beautiful location: overlooks the Devprayag sangam. You can access the river by a 5 mnt downhill walk. We just loved it.  The other aspect that we loved about our stay was the ever hospitable staff: Very warm, welcoming and tried their fullest to make our stay comfortable.  Room were nice: We had a river facing balcony and the view was amazing. Cleanliness was good as well.  The one aspect that requires improvement is the capacity of the restaurant staff: It was a holiday season and the room occupancy was pretty good. The restaurant staff found it difficult to cope with the rush. You had to pre-order your meals: We ordered our dinner food options at 5pm to make sure that we get it on time. I would have expected a better management of",Amiya-Poonam,/Profile/Amiya-Poonam,"Hyderabad, India",50
tehri-gharwal,"I stayed in this hotel with my parents for 1 day. Location of this property is just awesome and view from the room balcony was just amazing. Room service was very prompt. It was just food, which was okayish (may be they don't know how to make food without onion and garlic). Staff was friendly, overall we enjoyed the stay a lot.",SpaceDelhi,/Profile/SpaceDelhi,Delhi,40
tehri-gharwal,"Since I was travelling with my family to Joshimath from Dehradun, I decided to do a break Journey rather than travel 10 hrs directly to Joshimath and I seleted Ramkund for my overnight stay. When I arrived, I thought that I should have booked an extra day here. Resort is amazing. Based on the banks of Ganga (the Sangam). It has the best of the views you can get. Fresh air all around. All rooms have good views. I visited this resort in the last week of March and we were the only family in that resort since it was the off season. The location is just amazing and ever rooms has a amazing view of the sangam. Food was ok but all other things are good. Rooms are good but the bathrooms had some foul smell all around. I guess they recycle the water due to which there is a stink. It not",NitinDabby,/Profile/NitinDabby,Pune,50
tehri-gharwal,"best place to be near mother GANGA, lovely, lifetime experience.  must visit this hotel which is surrounded with mountains and the ganges flowing.  love to visit again and again for peace and blessings.",Geetanjali2015,/Profile/Geetanjali2015,"New Delhi, India",50
tehri-gharwal,"Best place to stay in DevPrayag, Utrakhand , India with Wi-Fi.  Mind Blowing View. Morning Tea with Aloo Ka Parantha what else one can ask. On the top Friendly Support Team. I will say best place to stay",anandrk2017,/Profile/anandrk2017,"San Francisco, California",40
tehri-gharwal,This is the best place to stay in Devprayag. The beautiful and perfect view of the Divine confluence of the rivers ...Right there from the balcony of our room.  The hotel staff were very helpful and catered to all our whims smilingly. .. Devprayag has a divine peaceful aura ....We enjoyed and had a wonderful time here... Do not miss the quaint and divine Ganga Aarti at the sangam of Alaknanda and Bhagirathi.which we were lucky to experience... Thanks to the perfect suggestion of the hotel management... ,Ruchira1,/Profile/Ruchira1,,40
tehri-gharwal,Located right at the bank of Ganges river the hotel is probably best in Devprayag. you can have a stroll to the river which is hardly 5 mins walk away. Sangam which is another important place in Devprayag is around 15 min walk from the hotel.   the hotel gives a grand view of confluence of Bhagirathi and Alaknanda rivers.   full marks must be given to the management which has very beautifully maintained this hotel. Mr. Sudhakar at Rishikesh booking office and Mr. Vikas at the hotel are very cordial and helpful persons.   the rooms are spacious and well maintained with private balcony.   ample of parking space and easy access to this hotel makes it a perfect place to stay.,Anurag C,/Profile/Anurag_Chaudhary,delhi,50
tehri-gharwal,"I have stayed several times in The Ramkund Hotel.  The beauty of this Hotel is the Mother Ganga (bhagirathi & alakananda) which flows in front of the Hotel.  Good to stay with the family, with good food, spacious rooms.",Geetanjali2015,/Profile/Geetanjali2015,"New Delhi, India",50
tehri-gharwal,"Right next to the confluence Bhagirathi and Alakanada Rivers, this hotel had an awesome view from the room balcony. The rooms are quiet and comfortable. Currently undergoing renovation, the hotel was being upgraded when we were there and some things were not yet working, but the staff bent over backwards to make sure we had what we needed. The manager made it his personal  mission to fulfill all our requests, all with the warmest smile. The food was excellent. We had a wonderful time here and would highly recommend it. The best part of our trip to India.",Vajra M,/Profile/vajram2017,,50
