location,review,name,user_profile,userloc,rating
tehri-gharwal,It is a small and homely hotel resort run by Suman Bhatia and her team. The ambience is beautiful you are into the lap of Shivalik hills. I am thankful and grateful to Mr akhilesh and moni who went out of the way to make us comfortable. The chef mahendra ji use to come and ask for food requirements. The bonfire lit at night made our day as we used to sit beside it and watch the open sky and twinkling stars. And the freezing cold with a glass of old monk. Wow what a pleasant way to spend your vacation in a quiet hill station. Which is just 3 hrs away from Dehradun.,Haresh K,/Profile/hareshkundnani,"Mumbai, India",40
tehri-gharwal,"Believe everything you read about this charming hotel.  We so enjoyed our stay there and hope to return.  The location is perfect, our room was lovely and we had a terrace! WOW. wonderful service and hospitality from the staff. Our room had all the convenience And my son loved the breakfast service every day.  Wish I could of stayed longer next time",KAPIL KHANNA,/Profile/Kapilkanika,,50
tehri-gharwal,"First of all Kanatal is beautiful place and this property is excellent.  The location , rooms , hospitality and every thing is really good.  The management was very helpful and arranged for forest safari at decent rates.  I would recommend this to anyone going with family and do enjoy your meals and breakfast here.  Last but not the least .. thank you suman ji for making our shirt stay fantastic",Vikas Goel,/Profile/vikasgoel76,"Greater Noida, India",50
tehri-gharwal,Our stay was pleasant in vomb of Himalayas. Immensely cold in the nights and pleasant with ~20 degree C in daytime. Peace that we seek on travel and found in plenty. Hotel and room Services require better attentions specifically from kitchen team. Owners are interactive and attentive towards each and every guest. Food is Nice. Good place to stay. ,shashank s,/Profile/376shashanks,"New Delhi, India",40
tehri-gharwal,"It was an adhoc plan with friends to go out of hustle of delhi and spend a day in hills but not very far. As Mussoorie and its nearby places are always crowded, so we plan for Kanatal which is a little distant from Mussoorie about 30kms on dhanulti road. So we didnt do any prior booking and plan to first check property then will decide, as a backup we plan to go to mussoorie, if nothing works out.  It was a good 7 hrs drive from delhi and took chamba route to Kanatal. Its was very small place on the highway, if you dont look out, you might miss it on the way.   We saw this hotel on the way and plan to check out. From outside its look like any hill house but when you go inside you will see all basic facilities for a comfortable stay. We met with Mrs. Bhatia (owner), who provided",A T,/Profile/atyagi31,"Gurugram (Gurgaon), India",30
tehri-gharwal,Loved the experience.. lovely staff and good spacious clean rooms.. ammenities were good. The Breakfast was fantastic. Will Definitely visit again. Everything from Check-in to Checkout was smooth. Great View from the hotel room as well,Aaqyl C,/Profile/aaqylc2019,,50
tehri-gharwal,"The  Hermitage was just the kind of place we were looking for . Located very conveniently on the main road with  beautiful views from every side. There were nice sit outs and balconies . The  breakfasts in the beautiful sit out outside the dining hall were the highlight for us.Little details taken care of, very tastefully done interiors, cosy rooms, delicious local food presented well,super cordial and friendly staff....all in place.The owners of the property were very friendly and gave us great tips to move around in the tiny town. We thoroughly enjoyed our stay at the Hermitage. Would love to stay there again whenever we visit.",Sangeeta Saikia,/Profile/psychia,"New Delhi, India",50
tehri-gharwal,"IN jun 2019 we decided to have a family get togethers in the Himalayas.  Mussoorie having become very crowded, we decided to look for quieter places nearby. Being a Club Member, we decided on booking at the resort in Kanatal. We managed to get only 3 rooms there. Since we were 14 people in all, we searched the Net and came across an interesting property called ""The Hermitage"".  Surely it turned out to be the right choice. Located 40 kms east of Mussoorie, it is located on top of a narrow ridge, giving an all round view of mountains and forests. Rooms were very nice and clean and the property was beautifully maintained. Staff were very pleasing and friendly, Food was very delicately prepared that one could keep licking ones fingers. Best of all was the attitude of the owners Ms",arun j,/Profile/arunj793,"Secunderabad, India",50
tehri-gharwal,"Amazing place to stay. The place is well located and easily approachable. The valley view rooms were really nice. The rooms had amenities like electric kettle, toiletries, towels... The bathrooms were nice and spacious. What we liked the most was the homely atmosphere the place offered.It has nice open common places which allows to soak in the nature, mountains and winds. A little play area with table tennis and other games, along with books were small details that added to the experience.  Suman ji was always concerned about our comfort and made sure we get the best experience. A special mention for the entire staff who did everything with a smile on their face. The food was AMAZING. The place is wheelchair friendly and good for even senior citizens.",Deepika,/Profile/deepikaseth21,"New Delhi, India",50
tehri-gharwal,"The name could not have been more suitable :-) Hermitage is a fabulous place to enjoy some quiet time.  The peace and silence was therapeutic and perfect for R and R.  Great food, well appointed rooms and warm hosts.  Will be back soon ! ",Hang on S,/Profile/S_hang_ons,"Bangalore District, India",50
tehri-gharwal,"Pathetic, small rooms, mosquitoes, no water, no leisure space,disgusting atitude of owner Mrs. Suman Bhatia. .have everything in written or she can take uturn from her commitments at any moment. .Only one good reason to visit this place is Mr.Bhatia but sadly he doesn't have too much say in the affairs of this property. .Mr.Bhatia I would suggest to please take it in your hands or ""The Hermitage "" would be a history. .",Akash Aggarwal,/Profile/Akashaggarwal123,,10
tehri-gharwal,"Perfect location for holiday with family especially during summer. Very nice location, cooperative staff, friendly management. This is one of my best holiday destination and would love to plan another trip with family/friend.",Hirendra Kumar,/Profile/hirendrak2018,"New Delhi, India",40
tehri-gharwal,"Amazing place. Great views, very good food and service, host was great. Really enjoyed our stat though of one night only. It rained weather was amazing. Carry light woolens even in summers. Was a little cold",drvkbansal,/Profile/drvkbansal,,50
tehri-gharwal,"it is nice hotel  being located at nice position, having nice view from sit out area, being having jungle at back. the rooms are very spacious and so is the bathroom. the bathroom and rooms are nicely decorated that you can chill out in the room and enjoy T.V., sit out in the open and enjoy view, or play table tennis, carrom, or other sports, and  even can sit out and have a nice view with jungle at back of it. kindly note not to miss the tehri lake, for water sport or spectacular view  when you stay at this hotel or nearby areas. the staff and the manager were very cooperative and very helpfull. aweome place to chillax and relax. just prefer stay for 2 nights if travelling in numbers.",Sagar P,/Profile/tanvisagar,"Bharuch, India",50
tehri-gharwal,It was a very pleasant stay. The food was excellent and very homely. Overall the place has a very good vibe and being close to nature adds to its value. The property has different sections so you can choose your own quite corner and relax.,Varsha N,/Profile/38varshan,,40
