location,review,name,user_profile,userloc,rating
tehri-gharwal,"Had a great time. Staff was amazingly polite,helpful. Food was the best part. Resort requires more greenery. Gr8 view and full of activity. Tents and toilets were clean with no smell.  Must visit again.",Kamal jeet singh,/Profile/Kamaljeetsingh888,,50
tehri-gharwal,My stay at whispering pines resort was a memorable one . The calm and serene surroundings provided the best possible outdoors for relaxation and the super helpful staff ensured that we were well taken care off. The good was simple and tasty.,Shivani,/Profile/Hodophile13,,40
tehri-gharwal,"we have booked 6 tents in the end of may for 1 night.  first the positive points. 1) the location was superbly awesome. have never been to such a amazing place covered just by mountains and greenery, far from any traffic or city hustle. 2) the tent was also nice. nice feel inside. bathroom was clean. 3) the ambience of whole property is very awesome. 4) the food was also nice. although they have limited options in food. if you want something exact in food, kindly confirm with them 3-4 days advance about your requirement.  5) they provided jain food of decent taste.  6) they have camp fire option. camp fire at such a altitude is awesome experience. even they had basketball court in over there 7) the staff over there was very friendly and helpfull.  now the drawbacks. 1) between",Sagar P,/Profile/tanvisagar,"Bharuch, India",50
tehri-gharwal,"We visited for a couple of nights. It was a very last minute booking. Anmol from Delhi Office was very helpful and our host Mr Shobha Ram was wonderful. We booked an alpine Swiss tent - it’s spacious, bathrooms are clean and warm water was available on demand. The tents have a great view and there are plenty of nice hikes around the campus. Mr shobha ram and the staff made sure we were comfortable and took us personally on a short trek.   The food was fantastic, very homely and fresh. Chai was served anytime we asked for it.   We definitely recommend this place - it’s worth every paisa.   ",Abhy K,/Profile/abhyk,"Mumbai, India",50
tehri-gharwal,"A comfortable,memorable, serene stay in lap of nature, free from pollution of the world, handled with care by attentive staff. Only low point is non availability of water supply in taps in extreme cold, in morning hours. However, support system is in place, alternatively. Food is sumptuous, gourmet caring for your taste buds.",vasundhara1083,/Profile/vasundhara1083,"Ghaziabad, India",50
tehri-gharwal,"We recently visited this place and we have to mention, it was an amazing experience. The mountain view is amazing and if you want to do star gazing, then this is the place. Go on the other side of the mountain and you will find the best view. We missed the snowfall by couple of days else it would have been an experience of another level. I must say, the staff was very cordial and accepting. We were the only couple on that weekend, even then they provided the service which is certainly appreciated. Whatever you request, it will be cooked. Narendra, the service guy is very humble and would take you places and would provide all the help required. We were delighted to meet Mr. Chauhan who was the manager there. He made sure everything is in place and made our stay comfortable.  If",Devesh S,/Profile/DeveshS186,"Gurugram (Gurgaon), India",50
tehri-gharwal,"The firs time we approached the resort, it looked daunting - up into a height and the car won't go as the road is dug up for an upcoming road widening project - but when I found somebody in that wilderness to answer that I did have a booking on that day, thing started to look easy as they even sent a couple of boys to carry my seventy year old mom up to the main part of the resort. And there it was - food from their own farm tasted in a wintry and cold night delicious to say the least. The manager went out of his way to fulfil our every need and one needs very little when confronted with sheer majesty of nature. It rained that evening and prepared us for a Great Himalaya Show the next morning. It takes two minutes walk in a Village Road to come face to face with the imposing",DayTrip21114958234,/Profile/DayTrip21114958234,,50
tehri-gharwal,Hotel was booked by one of our friends. We were a totalnof four families out there and stayed at resort for two days. We enjoyed a lot with lot of activities to do at resort plus a great country side scenerio with good tracking to do around. Staff at resort under shobharam ji was great very helpfull and on there toes all the time to make our stay pleasent.,shiv prakash si... R,/Profile/BackPacker788308,,50
tehri-gharwal,"Me and my 6 year old daughter stayed at this camp. My daughter's first ever experience of staying in a tent and her first experience of hailstorm and thunder in the mountains and it was totally worth it. The manager Mr. Shobharam who also arranged short treks for us, Pashupati ji, the chef Khem Singh ji and Mr. Chauhan were extremely hospitable. A bonfire, local food, a trip to the adjacent village and the friendly camp dog Hero... everyone and everything about Whispering Pines is incredible. Am probably going back for a Nag Tibba excursion next year, without the kid of course",Amrita D,/Profile/AmritaD159,,50
tehri-gharwal,"We stayed 1 night at this camp.  Few importance points: This place is little off the main road. So I agree with Hem Joshi that the approach road to the camp site is a little broken. But we are not here for a smooth ride. So it adds up to the adventure feel.  Second, the camps are a on a higher ground from the road. So you have to take a small but steep walk up, maybe around 300 mtrs. Again, no complains. The camp quality and washrooms were very neat and clean. Food was basic but very tasty. They serve snacks during evenings which was tasty. The best food during our stay in Uttranchal. These guys arrange bon-fire during the night after dinner. Again very refreshing. Words of caution : There is not much to do in this area. Surkanda devi temple is a very steep walk of 3.0 kms/ The",Krishna K,/Profile/krishnak859,,40
