location,review,name,user_profile,userloc,rating
tehri-gharwal,"Me and my partner stayed a week at the Zostel in Februari. Very clean and proper place, good accomodation.   What really touched us is the Yogic F6 5 food I ate in my life. Now it's March and we still come here!!   6 weeks in Rishikesh and this is truly the best food place we found! The chef with 32 years experience kept suprising us everyday, a true delight for the senses. I recommend this place to everyone.  Also cosy, very friendly staff, the place has good vibes and attracts very interesting people from all over the world. ",Yannick VE,/Profile/YannickVEtravel,"Grobbendonk, Belgium",50
tehri-gharwal,I ended up extending my stay by one night because this place made my stay comfortable to another level. Staff is extremely helpful and the people who share the rooms are also friendly. Surely visiting again,Hitakshi,/Profile/Hitaz,,50
tehri-gharwal,"I had a comfortable stay at Zostel Rishikesh . Staff is friendly & helpful and feels like home  , Most of the places are 10-15min walk away . They will help in arrange in river rafting and also have various activities planned for everyday (even though I wasn’t lucky to experience any). As compared to other zostels ,I feel its rooms need some renovation apart of this it’s a good stay .",shafali agarwal,/Profile/shafalia,,40
tehri-gharwal,"It's great place to stay with friends. I liked silent area, hang out zone, terrace where friends can meet and chill. Staff including receptionist are very good. Cleanliness and food quality may be improved.",Jagdish Ahir,/Profile/Jagdish_Ahir,,50
tehri-gharwal,"Whatever request we made to them, they accepted it. Their chef was on leave when we went there so food wasn't up to mark but still I'm rating 5 because the staff was so professional yet humble and chill. Everyone from staff was helpful. When going to Rishikesh, just book Zostel and they will handle everything.",Ashwani K,/Profile/ashwanik07,"New Delhi, India",50
tehri-gharwal,"Is a budget stay option for backpackers. Had a good terrace for eating and chilling. They arrange a lot of activities like going for sunrise, bonfire in winters etc. Has a separate game room for board and card games. They don't allow groups to stay together always, to accomodate solo travelers mix up with others. One bathroom for eight is a bit inconvenient. Towels are to be paid separately for use. No ventilation though.",jayesh m,/Profile/jayeshmjd,"Mumbai, India",40
tehri-gharwal,"Consistent brand  Third zoster v r using after Khajuraho, Chikmagalur  Amazing graffiti everywhere  Very vibrant  Clean room  Washroom leaky  Bed sheet clean  Have kitchen  Common area very colour ful Location nice",Bela,/Profile/VinodBela22,"Mumbai, India",50
tehri-gharwal,The best experience of A lifetime. Amazing stay. Best service. And an amazing volunteer : tasneem rangoonwala.She took good care of us and was always ready to help us plan our trip in Rishikesh.  She was an amazing host too .Must visit.,Ruchit G,/Profile/Ruchitgokani,,50
tehri-gharwal,"Starting with the best part of any Zostel is ""The Activities"", Tasneem the Activity organizer is just amazing. From singing alongside the Ganges to bonfires to choreographing dance on Govinda's song. Best Zostel in terms of activities I have visited so far.  Then comes the accommodation part, Veer and rakhi were amazing as well. They made my stay feel at home. In 2 days we talked as we were a family. Any request I made, they tried there best to fulfill it.  The rooms were very spacious and very cozy to stay in and also very clean considering it to be a hostel. Where bed sheets were changed every day.   Coming to the food at Zostel Rishikesh's canteen was okayish, not good, not bad.  Instead of eating at Zostel you could order or explore food in Rishikesh, there are very amazing",Nishit Chaudhari,/Profile/DopeEngineer,,50
tehri-gharwal,"This was my 1st Solo trip of life and I choose to stay in Zostel, which was an unbelievable start to my journey. The place is really awesome, with a perfect view of the mountains all around you.One of the best Zostels I have visited. Rishikesh provide you tonnes of experiences and great views & Zostel's Hospitality is just out of this world, u will feel like u are at ur own home. The rooms, graffiti, library, meeting place, just enhances your over all stay experience. The Cafe is just too good to satisfy all your delicacy needs and hot beverages specailly hot chocolate at night post dinner and morning masala TEA with peanut jam butter toast. The staff is too friendly and that makes the best part of ur trip, because they will arrange all what u need and that's the best part. ",Parth K,/Profile/ParthKothari,,50
tehri-gharwal,"One of the best Zostels I have visited. Rishikesh provide you tonnes of experiences and great views & Zostel's Hospitality is just a cherry on the top! The rooms, graffiti, library, meeting place, just enhances your over all stay experience. The Terrace Cafe is just too good to satisfy all your delicacy needs and hot beverages compliments the pleasant cold of Rishikesh! I am just short of words... Just 3 words to sum up - I loved Zostel, Rishikesh!",Aman,/Profile/aman1234567890000000,,50
tehri-gharwal,"Starting with the hospitality of the staff,I think you will feel more than just welcome, you wouldn't want to leave the place, it's an advice to pre-book the dates till when you want to stay because the rooms get booked very quickly. For food they have a cafe on top where you can order food till 11. The activities which they plan are ahmazingg and will help you get along with other traveller. If planning a trip to Rishikesh you know where to stay",Abhishek,/Profile/Abi_alpha,,50
tehri-gharwal,"This was my first solo trip and also the first stay at Zostel. Had an amazing time down here at zostel and a special thanks to Tasneem and Rakhi to help me plan the days introducing me to other travellers.  Pros:  The activities were well coordinated,  the location is good,   traveller friendly.  Opportunities:  In-room infrastructure can be improvised including the interiors,  bathrooms can be made a bit more spacious which should also include some dry area.  Overall experience was good.",Bhavya,/Profile/Bhavyasavla,India,40
tehri-gharwal,"Have to say it was an amazing experience staying at the Hrishikesh zostel. You will find each and everything you will want over there, from affordable rooms to tasty food and super helpful staff. The activities kept on a day-to-day basis are one of the best things.",Dhruv Shah,/Profile/dhruv81012,"Mumbai, India",50
tehri-gharwal,"It was my First stay in zostel Rishikesh as an solo traveler and it was really awesome all the days. The overall interiors and decor was also really awesome. The food was tasty and quite reasonable, also the zostel location was quite convenient to travel nearby attractions. Also it was an hub point for trekkers. Had and amazing bollywood night dance also. The only problem was my roommate who snored a lot and I wasn’t able to sleep. Rest all assured the stay and trip was really awesome.",Mayank N,/Profile/199mayankn,,40
tehri-gharwal,"So much heard of Zostel through my friends who have explored many Zostels but first time I have been to Zostel family at Rishikesh.  I went solo to Zostel having so much in mind that I would feel so much alone there but team zostel and specifically volunteer Tasneem has never let me feel isolated and it was like I am with my new family.  Rooms and ambience are very much attractive and they have many games to play apart from other activities like Bollywood Dance Class, Yoga Class and many more.  Volunteer is very active and takes everyone to explore the beauty of Rishikesh. She took us to many new places in Rishikesh.   Overall, been to Zostel Rishikesh is amazing experience and inspires me to explore new Zostels across India.",Ishan Gandhakwala,/Profile/ishan14591,,50
tehri-gharwal,"This is one hotel which is completely different experience. The best part is the staff at hotel. They are very friendly and helpful. Also, very chilled out property with options of private room, bunk bed dorms. Suits all budget types. Very convenient location if travelling towards hills. Also, walking distance from Laxman Jhula.",Kumar A,/Profile/kumara599,,40
tehri-gharwal,Colourful little hostel with good food and fine private rooms. Atmosphere is really friendly and we enjoyed our stay. The best thing is this cute rooftop terrace with a peaceful vibe. Definately your place to go in Rishikesh!,Nandu Moosa,/Profile/nunciamb,Croatia,50
tehri-gharwal,"I have always stayed in hotels ... but since a while Zostel properties had been on my mind. Recently I had booked a trek and that company had a pickup arranged outside Zostel so what better reason to stay in Zostel. Loved the living area - it’s so colourful ... walls of Zostel is full of colours and artwork drawn by people who stay there ... loved the vibe of the place ... rooms are good and basic toiletries like toilet roll, soap and shampoo ... hot water available ... food was awesome .... ",Rinku P,/Profile/patelrinku,"Mumbai, India",50
tehri-gharwal,Zostel was one of the finest staying experience. I meet a lot of like minded people. Our activity manager Tasmeen made sure that we were together and had great fun at an open mic cafe. Worth the time and price. Since i was there for 3 days i felt that it was too less will surely plan for a longer stay because of the good vibes. Our cafe manager was also very welcoming. Inspite of being solo meet a new family which felt like my own. #zosteldiaries #travel2019 #travelarch_khush,Travelarchkhush,/Profile/Travelarch_khush,,40
