location,review,name,user_profile,userloc,rating
uttarkashi,"Camp Nirvana is around 6 km from the highway to Barkot, on the Yamunotri road. A very serene property, right on the banks of the scenic Yamuna. We were allotted a cottage with a lovely view of the river from the verandah. Comfortable room, clean Toilet, plenty of hot water. The staff went out of the way to be warm and helpful. Really enjoyed the food served - piping hot, tasty and lot of personal attention. Loved the Khichadi + Kadhi served for dinner and crisp Aloo Paranthas and porridge for breakfast. Very comfortable and enjoyable stay.",whirlwindexplorer,/Profile/whirlwindexplorer,Chennai,40
uttarkashi,"We stayed for 2 nights while visiting Yamunotri.  Swiss camp having basic amenities but there is no running hot water !!!  You have to ask for bucket of hot water in morning and wait for that..Moreover, if you are on Half Board, they are not providing afternoon Tea Coffee.. It is required..  Staff much co-operative.. Good breakfast and dinner.",FAVOURITETOURS,/Profile/FAVOURITETOURS,Rajkot,40
uttarkashi,"Stayed here from 10/12 to 10/13/18- as part of Tour group Tirtha Yathra...during Chardham visit in October 2018 nice place to stay, right in the banks of Yamuna, both Cottages and Camp tents. Very clean and well maintained. The camp has two variants.....(tent and cottage)..we Stayed in the cottage..very clean, good customer service. No hot water in wash basin...only for shower. No hot water kettle in the room, so was deproved of early morning coffee before the trek to Yamunothri. No restaurant available, no kitchen, make your own arrangements. Our tour operator had a fully equipped mobile kitchen along with us so had to make special arrangements for tea in the early hours. Recommend to stay in the place....",gkv2014,/Profile/gkv2014,"San Francisco, California",40
uttarkashi,Had been at camp nirvana with friends it camp site location  is superb near to nature tents are good in size clean and with apt amenities inside. Services and food were good. Overall was excellent experiance,Vasudha K,/Profile/VasudhaK38,,40
uttarkashi,Great stay Stayed 2-nights as part of our char Dham. Amazing views of the valley and Yamuna from your tent. Very decent facilities and good home cooked food. Very very polite staff. Ideal base to visit yammunotri,rama b,/Profile/581ramab,"King's Lynn, United Kingdom",50
uttarkashi,There is no better description that I can give that when you wake up you hear the mighty Yamuna river flowing just meters away from the hotel. Do take a short walk near the river it is worth it! Living in the nature is an experience of its own so don’t expect a luxurious tent but instead a very basic tent which caters to your basic need. Warm clothes are a must since the mornings can be very cold,Srishti Misra,/Profile/srishtimisra,"Dubai, United Arab Emirates",40
uttarkashi,We enjoyed a wonderful stay of 2 days in camp nirvana in yumonotri.  The senic beauty around the resort along with their hospitality is really mention worthy.Inspite of too many odds resort service team always in our doorstep for any thing if we required. Love to visit again.,tiyasha1975,/Profile/tiyasha1975,"Kolkata, India",50
uttarkashi,Visited on 18 june. Its very good property with nice location. Food quality is good services are good Staff is nice with good service quality Only one thing spread for breakfast and Dinner need some variety,Vasudha K,/Profile/VasudhaK38,,40
uttarkashi,"Stayed in Camp Nirvana Barkot for two days in May 2018 during our Chardham Yatra, the camp is located in a very scenic spot, what with the mighty Yamuna on one side and mountains on the other. The tent provided was basic but clean. The scenary was breathtaking. Run by teenage boys who provided good service ,hot water in the morning and packed breakfast before starting for Yamunotri dham. Improvement is required in food items provided by the hotel.over all it was a good experience.",Vijaya G,/Profile/793vijayag,Hyderabad,40
uttarkashi,"It is situated on the banks of roaring Yamuna just ahead of Barkot. The tented rooms are excellent and has attached toilets. All the facilities are well maintained. The food and the service are very good. The staff is very accommodating; they gave us hot water, tea and packed breakfast early morning at 0430h so as to facilitate our pilgrimage to Yamunotri dham. They also updated us with the local conditions and rates. A must stay.",Sheshadri S,/Profile/sheshadriS,"Bengaluru, India",50
