location,review,name,user_profile,userloc,rating
uttarkashi,"Sankri is the most beautiful village in Uttarakhand range.... it's amazing scenic view, here is small Market to rent or buy trekking gears for Har ki dun & Kedarkantha Trek... people are so kind and helpful.",Rajput Abhay s,/Profile/rajputabhays,"Patna District, India",50
uttarkashi,"I stayed at Meraki Sankri on my solo trip for the Kedarkantha trek. Nitish and Sandeep were extremely helpful in guiding me in planning my trip and resolving my multiple queries. When I finally landed at Sankri, I was blown away - the location was stunning, the place was extremely clean (this when there's trekkers with dirty boots tramping in and out all the time!), and the crew were super warm and hospitable. The experience of a homestay was all that I was looking for and more. The trek itself was fantastic, and though we could not summit due to heavy snowfall closing the route, the Meraki guys ensured we were still able to make the absolute most of whatever was possible (maggi and popcorn up on the mountain wasn't something I was expecting :).   Furthermore, knowing that we",Abhisathe,/Profile/Abhisathe,Pune,50
uttarkashi,"We stayed at Meraki Homestay during the mid of December, 2019. The scenic views from this home is amazing. The location is perfect for a perfect escape. And the service is mind-blowing, the staffs took care every aspects of our tour. The food was amazing too. If I visit sankri again, I undoubtedly will choose Meraki Sankri homestay.",Shakil Hossain,/Profile/shakil080,"Dhaka City, Bangladesh",50
uttarkashi,"First of all i would like to thank everyone (sandeep bisht, gaji bhaiya, kanhaiya, kamal and khush) for making us feel super comfortable and creating a family environment over there. I'm sorry if i missed out anyones name here, Be it any kind of assistance of service you would need you'll find them with you for their guidance and services  Accommodation - easy and comfortable perhaps a good one(one thing everyone should keep in mind that you've chosen to travel to sankri which is little off beat destination and you wont find brands like ramada hyatt park vista fab etc etc and honestly speaking this is the beauty where in terms commercialization it can be lil away from those fancy hotels or resorts but hats off to Meraki Homes  Because,these accommodation units have been designed",Avinash2989,/Profile/Avinash2989,"New Delhi, India",50
uttarkashi,"Meraki homestay has now become my home,away from home. This time i stayed here and did the kedarkantha trek. Apart from kedarkantha and har ki dun trek,Sankri has a lot more in store. I thank the whole team of meraki triangle to help me explore the local villages saur and jakhol and introduce me to their beautiful culture and tradition.  There is something unique and peaceful about this place. Cozy and comfortable rooms,beautiful artworks,amazing music and pretty lighting elevates its beauty and makes you enchanted. Also it has the best view with the mighty swargarohini at its backdrop and surrounded by deodar,cedrus and other trees and a variety of birds.  Talking about food,you will get almost everything, you name it and you have it. I cannot thank enough Sandeep for",Pallavi,/Profile/954pallavim,,50
uttarkashi,"Though we are not trekkers we decided to spend diwali in a quiet and beautiful hamlet of sankri at Meraki triangle. It's a beautiful property overlooking the mountains. The rooms are spacious, cozy and comfortable. We had a room on the first floor which had wooden floorboards hence the room was warm. The entire first floor has a sit out where you can enjoy reading a book over a cup of tea or coffee. The staff is very attentive and efficient and takes care of all your needs. They do not have attached toilets or bathrooms. They have a separate bathroom for women apart from common ones. That is one concern. The food is wholesome and tasty prepared by the cook, mr. Thapa, a very genial person. For those who are not avid trekkers, there are a lot of intersting village treks one can",algaari,/Profile/algaari,"Mumbai, India",40
uttarkashi,"For those out there to start treks in the Har-ki-Doon valley from Sankri, Meraki homestay is the most affordable place to stay in an eco-friendly manner. Spacious and cozy rooms that opens to a balcony overlooking the tips of mount Swargarohini and Lekha top, Meraki is truly perched at the right spot.   Food: It's foodgasm during the stay. Name it and you can have it.   Location: A few hundred meters from the Sankri main market area.   Entertainment: Play area, engaging in the artistic endeavors around the whole property.   All in all, if you romanticize mountains and looking for a short getaway, the buck stops here.   Cheers to Sandeep's efforts to make this place so lively!  Best Rohan",Rohan M,/Profile/rohanm479,"Hyderabad, India",50
uttarkashi,"In love with Meraki Sankri! I stayed with my partner last year same time before our Kedarkantha Trek. This year too, we chose to stay in this beautiful art house before our Har Ki Dun trek. Amazing food, cozy rooms and above all...warmest people.   Plan to go for Phulara Ridge next year. Will come back again to Meraki Sankri. See you then Sandeep, Suraj and the rest of the gang!",aurko_dg,/Profile/aurko_dg,"Kolkata, India",50
uttarkashi,"Wanted a break from routine and attempted a trek to kedarkantha last winter through eUttaranchal, and was provided stay at Meraki,Sankri! You will come across trekking communities when you reach sankri, but there is something unique about this place! That Hippieish and Trance Music(Ohh boi, he really has good playlist), Wooden House, Homely Food, Hospitality from Sandy and his boys!  Unfortunately I couldn’t complete summit that day but this place made it up for me! Loved that Buransh Juice🥤  Gonna visit it again, not for a trek though! 😉 Food - 5/5 Ambience - 5/5  Hospitality- 5/5",Dinakaran Joseph,/Profile/Dhinnu521,,50
uttarkashi,"I promised my daughter a trek and a village experience and both got completed when I reached Sankri,  It was an awesome experience at Meraki, great support team. I never felted that I am eating at hotel, excellent food and the best part was all the DOGs in the neighborhood very friendly...",Vikaash Thapliyal,/Profile/vikaashth,,40
uttarkashi,"Meraki is actually like your own home at sankri. The staff  is cordial and are eager to help, no complaints what so ever. Special apprecial for kamal ji the cook, excellent home style food and of course mr sandeep himself for overlooking everyting. Had a really wonderful stay.",Ashwani Godara,/Profile/AshwaniGodara,,50
uttarkashi,"It was my first trek and I’m grateful I found this team. They were experienced and took care of us superbly. Meraki Sankri homestay was beautiful and clean. Friendly and helpful staff, amazing view, tasty food. I didn’t want to leave this place.",Ann Ade,/Profile/aderanni,,50
uttarkashi,"We fell in love with this place the first night when we arrived. The mountain views, traditional art and the music gave the place a magical and homely feel.   The rooms are spacious, clean and cozy. The food is even better, I still crave for the fried paneer and potatoes, pizza bread, mashed potatoes and a special pasta dish.   The surrounding village is beautiful and quiet, with lovely good-hearted people.   The host, Sandeep, is an amazing person. We enjoyed many conversations with him and learned a lot of the surroundings.  He also has exceptionally good taste is music.  For all of these reasons we decided to extend our stay.",Maria A,/Profile/MariaA8647,,50
uttarkashi,"I recently went for Kedarkantha trek via EUttranchal and had a Homestay at Meraki Triangle in Sankri.  Not to mention, the stay was so hospitable and comfortable, I almost felt like home.  The moment I reached the homestay after 8 hours travel from Dehradun,I was served with tea and fries.that was so home-like. And the entire stay was quite good.  The rooms are warm and comfortable.  The staff is quite courteous and kind.  The food served was awesome. Plus the design of the homestay made of wood is quite unique and beautiful.  Also, there's a meaning behind the name - Meraki ! ;-)  Mearki stands for putting our heart and soul into something that we do with love and creativity.  The place very well resonates with the meaning !  Try out a stay at Meraki Triangle and I'm sure you",Swati,/Profile/Swatt94Bali,,50
uttarkashi,"I was with Meraki staff at Sankri for 5 nights with my wife and 3 children. We stayed there and also did Kedarkanth hike planned by them. Thanks to good planning by Sandeep and great support by Pramod, Gajendra Rawat & staff we all managed to reach the peak and finished hike 1day ahead of schedule. The youngest one is just 4.5yrs old so we had to pick her up but Pramod managed that very well. Nice views of waterfall, snow capped mountains and step fields from the home stay itself and also opportunities to do many short walks around Sankari. There is a long zipline also nearby. The food was also very good. 5 days seemed short for this place. Thanks again Meraki Crew for making it memorable off-beat holidays.",Parikshit Chhabra,/Profile/ParikshitChhabra,,50
uttarkashi,"We stayed in Meraki homestays for one night on our way to Kedarkantha trek and one more night after we came back. As one would expect, a trek starting point should offer nothing fancy but a good night's sleep, clean toilets and homemade food. The Meraki homestay offers all of these and additionally, warm hospitality, calm and serene locale in the lap of the mighty Himalayas. During winter, you can see snow clad peaks from here. Last but not the least, it is designed beautifully to give you an escape from the humdrum city life. Fight club movie quotes, Murakami and Marquez books and Himalaya... Contemplate about life, reenergize and rejuvenate. Overall, highly recommend.  Ohh, did I mention that it snowed in Sankri this year?",Riddhi Pratim G,/Profile/RiddhiPratimG,,50
uttarkashi,"Visited this Guest house in recently Christmas time. The temperature is almost in negative  1. The place is set in amazing location below the cedar tree and Sankri mountain range. Amazing full moon view and stars seen as crystal  2. We had breakfast with the amazing views of Swaragrohini.   3. Thanks to Sandeep music choices, Any music lover will instantly fall in love with the vibes 4. The host, Sandeep Bisht is an amazing guy , Montu cab owner, rajveer rana and other staff are polite and helpful",SamySingh,/Profile/DUDE1602,,50
uttarkashi,"It was my first trek and thankfully it was adventures and wonderful. Guide and other facility was good, Meraki team was experienced and taking care of everything superbly, surely gonna take Meraki services for my next trek.",Dipankar Baghel,/Profile/dipankar_baghel,,50
uttarkashi,"It was a very cold time of the year when we visited Sankri i.e. Dec 2018. We stayed here on the first and the fourth night of our trek. The other 2 nights were spent in the base camp. The food was awesome, served on time and piping hot ! Sandeep and Montu played a very crucial role in our complete trip and the logistics were handled in a very well manner. All in all it was 10/10 experience.",Hungrryrider,/Profile/hungrryrider,,50
uttarkashi,"Beautiful View, Amazing Food, Warm People.  Must Stay here if you are going to Kedarkantha Trek.  Also, the ambiance of the place is unmatched.  Bathroom is not attached , if you are looking for attached bath then this is not the place for you",Sanjeev Dogra,/Profile/sanjeevdogra95,,50
uttarkashi,"Amazing view,indie music, hygiene food, friendly staff and delighted room. At first we were not sure where to stay but it turn out our best decision to book Meraki. In Sankri village its one of the best budget place for homestay.",Atul Beast,/Profile/bishtvsbeast,,50
uttarkashi,"Meraki is a bliss in the lap of Himalayas. Such a warm, welcoming and cozy place to be. If you've got trekking plans then look no further than to stay here to relax and rejuvenate. Food and stay has been exceptionally good enriching the overall trekation experience.",aneesh2,/Profile/aneesh2,"Hyderabad, India",40
uttarkashi,"Sankri village's most sorted homestay. It sits on the edge and has everything that a homestay should be. Very cozy rooms with white sheets and extra air beds. The food, best of Sankri, is cooked by a Nepali person who has 17 years of experience and every element of the meal is simply better than the other.",Bhavye S,/Profile/bhavyes,,50
uttarkashi,"Beautiful place to be at. Homely.. amazing food. Lovely host. also, if you are the kind of person who would want to play TT or read or maybe just laze around, then meraki triangle is the place for you!!",Ankita S,/Profile/AnkitaS1031,,50
uttarkashi,"This is surely one of the best places to stay at Sankri. This homestay is located in village Saur, a little away from the little market place of Sankri. The rooms are spacious, warm and very clean. The toilets are clean and the best thing about this trekkers abode is you get plenty of hot water for your bath!  The food is delicious too. We stayed just one night before we left for Gaichwan  Gaon on the other side of the hill to join our trekking group for Kedarkantha. We wished we stayed more. Special thanks to Suraj, whose hospitality made our day!  Will definitely stay at Meraki Sankri when we are back for another trek!",aurko_dg,/Profile/aurko_dg,"Kolkata, India",50
uttarkashi,"Three of friend, among them two from Odissa and one from Dehradun itself I in February started our trek to kedarkantha mountain.The summit of the mountain is 12500 ft high from the sea level. We started from Dehradun on 10th of Feb and reached Sankri on the same date around 5 pm. Our friend arranged our homestay at Meraki Sankri Homestay and we were amazed by it. We got more than we expected. It is indeed like a home stay, gives you feel like home. They have clean rooms and toilets.Food is included. They also have games, books and other activities for recreation. In a nutshell the art the stay was worth having once in a lifetime.",Sounak Poddar,/Profile/Sounakfoodie,"Kolkata, India",50
uttarkashi,"When we went Meraki, we knew it will be a best place to stay but we didn’t expect the food which Meraki offers + the behaviour of the staff was exceptional and I am reconnecting to all to visit Meraki once in a lifetime!! ",Sunil J,/Profile/SunilJ678,,50
uttarkashi,"An amazing homestay with some amazing food and the TT,  carom and bonfire was some of the best things about meraki. Clean rooms and washrooms all the people were friendly. Looking forward to visit again",Vehaan S,/Profile/vehaans,,50
uttarkashi,We went Meraki Triangle on January   We checked in the evening and the caretaker had the room ready for us staffs were so helpful indeed. They also arranged lemon tea for us which was refreshing. We have tried the local dishes in Meraki which was delicious.  You can even see The Himalayas ranges cover with snow from your room and the room was super clean. The colourful paintings were just too adorable which tells you the Uttarakhand culture. In MERAKI I have seen first TENT study room and they have also some indoor games which you play outside.  Thank You rMERAKI for the beautiful memories  SEE YOU SOON!!!,thats_abhi,/Profile/thats_abhi,"New Delhi, India",50
uttarkashi,"Visited this Guest house in Feb on a rainy day. The mist and sound of rain instantly cured our tired city body.  1. The place is set in amazing location below the cedar tree and Sankri mountain range.  2. We had breakfast with the amazing views of Swaragrohini.   3. The food is delicious! I recommend you to try the Bread pizza.   4. Any music lover will instantly fall in love with the vibes around Meraki guest house.   5. Recommended for all weary hikers who are looking for a place to rest/chill/enjoy delicacies of Garhwali food.   6. The host, Sandeep Bisht is an amazing guy and knows quite a lot about the local area and hikes. ",NitishhThakur,/Profile/NitishT57,,50
uttarkashi,"We stayed at Meraki Triangle on the second week of February 2018 during our Kedarkantha trek. A chill hangout place with spectacular view - one of its kind in Sankri! The rooms were clean and tidy. Although the loos were separate, they were clean and hygienic. The cafe area serves as an open area where one could play table tennis, chess, play guitar or just relax with friends. The artwork adorning the wall is so pretty. Not to forget the delectable food on the menu!  Honestly, it's the good vibes of a place thatI look for, and it was certainly present at Meraki.",Abhay A,/Profile/548abhaya,,50
uttarkashi,"First thing to remember is that 'Meraki' is trekker outpost and not a hotel. A trekker outposts go it's excellent. The loos are not attached, the food is excellent and the host - Sandeep, is a great guy to chat with.",kapildhawan,/Profile/kapildhawan,"New Delhi, India",40
uttarkashi,"Recently attempted the treck but could not complete due to raging 24 blizzard. I dropped into this amazing place, had the most amazing pasta whilst enjoying the most amazing views. Played cricket with the locals such a humbling experience. There is some serious young talent in the mountains and at altitude they can certainly generate some good pace...LOL. The owner Sandi is a wonderful good hearted person and good host. I recommend this place to any traveller looking for good food, and a warm heart..Thanks for the great memories Sandi.........Jamie from Australia.",jamie pearce,/Profile/justcolour,"Adelaide, Australia",50
uttarkashi,A quiet wooden mountain house with amazing views. I loved the hospitality and personal attention by the hosts topped with Pahari anecdotes. There is a beautiful waterfall  nearby. The food is simple but delicious. Would love to visit again.,shellysb,/Profile/shellysb,"New Delhi, India",40
uttarkashi,"At the time of my winter trek to Kedarkantha, I booked my room here. The rooms were clean and food was also good. The hotel owner was so polite and he helped me a lot to plan my trek to Kedarkantha from this tiny village, Sankri. I don't know about other but for my upcoming trek to Har ki Doon, I'm surely gonna choose this hotel cum homestay. Don't forget to to enjoy the exotic views of mountains while having a hot cuppa tea from the balcony of this wooden masterpiece & yes their cafe on that remote hamlet of Uttarakhand is a cherry on the cake  :)",Manoj B,/Profile/ManojB1188,,50
